"sex","period","year","proportion","lower","upper"
"male","42-120",2015,0.171080945316886,0.129005504563693,0.229557210062286
"female","42-120",2015,0.253802520297304,0.158167846535375,0.367915692911565
"male","7-180",2015,0.355909662519891,0.273318249429812,0.45707103150458
"female","7-180",2015,0.552421122373946,0.372568730883137,0.730982273178067
