"sex","period","year","estimate","lower","upper"
"male","42-120",2015,4536.74866491903,2916.18547819844,7001.73872417399
"female","42-120",2015,10086.5556171039,5590.88042009716,16051.9440694336
"male","7-180",2015,9438.06268592983,6178.3930275651,13941.1519251146
"female","7-180",2015,21954.1806297302,13169.473241637,31892.3242222836
