COUNTRY_NAME,REGION,COUNTRY_CODE,REGION_CODE
Nigeria,Sub-Saharan Africa,9124,12
Niue,Oceania And Antarctica,1504,7
Norfolk Island,Oceania And Antarctica,1102,7
Northern Mariana Islands,Oceania And Antarctica,1406,7
Norway,North West Europe,2406,4
Not Reported,Not Known,0,0
Oman,North Africa And The Middle East,4211,3
Pakistan,Southern And Central Asia,7106,10
Palau,Oceania And Antarctica,1407,7
"Palestinian Territory, Occupied",North Africa And The Middle East,4202,3
Panama,Central America,8308,2
Papua New Guinea,Oceania And Antarctica,1302,7
Paraguay,South America,8212,8
Peru,South America,8213,8
Philippines,South-East Asia,5204,9
Pitcairn,Oceania And Antarctica,1599,7
Poland,Southern And Eastern Europe,3307,11
Portugal,Southern And Eastern Europe,3106,11
Puerto Rico,Caribbean,8421,1
Qatar,North Africa And The Middle East,4212,3
Reunion,Sub-Saharan Africa,9218,12
Romania,Southern And Eastern Europe,3211,11
Russian Federation,Southern And Eastern Europe,3308,11
Rwanda,Sub-Saharan Africa,9221,12
Saint Helena,Sub-Saharan Africa,9222,12
Saint Kitts And Nevis,Caribbean,8422,1
Saint Lucia,Caribbean,8423,1
Saint Pierre And Miquelon,Northern America,8103,6
Saint Vincent And The Grenadines,Caribbean,8424,1
Samoa,Oceania And Antarctica,1505,7
San Marino,Southern And Eastern Europe,3107,11
Sao Tome And Principe,Sub-Saharan Africa,9125,12
Saudi Arabia,North Africa And The Middle East,4213,3
Senegal,Sub-Saharan Africa,9126,12
Serbia,Southern And Eastern Europe,3214,11
Seychelles,Sub-Saharan Africa,9223,12
Sierra Leone,Sub-Saharan Africa,9127,12
Singapore,South-East Asia,5205,9
Slovakia,Southern And Eastern Europe,3311,11
Slovenia,Southern And Eastern Europe,3212,11
Solomon Islands,Oceania And Antarctica,1303,7
Somalia,Sub-Saharan Africa,9224,12
South Africa,Sub-Saharan Africa,9225,12
South Georgia And The South Sandwich Islands,South America,8299,8
Spain,Southern And Eastern Europe,3108,11
Sri Lanka,Southern And Central Asia,7107,10
Sudan,North Africa And The Middle East,4105,3
Suriname,South America,8214,8
Svalbard And Jan Mayen,Oceania And Antarctica,2408,7
Swaziland,Sub-Saharan Africa,9226,12
Sweden,North West Europe,2407,4
Switzerland,North West Europe,2311,4
Syrian Arab Republic,North Africa And The Middle East,4214,3
"Taiwan, Province Of China",North-East Asia,6105,5
Tajikistan,Southern And Central Asia,7207,10
"Tanzania, United Republic Of",Sub-Saharan Africa,9227,12
Thailand,South-East Asia,5104,9
Togo,Sub-Saharan Africa,9128,12
Tokelau,Oceania And Antarctica,1507,7
Tonga,Oceania And Antarctica,1508,7
Trinidad And Tobago,Caribbean,8425,1
Tunisia,North Africa And The Middle East,4106,3
Turkey,North Africa And The Middle East,4215,3
Turkmenistan,Southern And Central Asia,7208,10
Turks And Caicos Islands,Caribbean,8426,1
