"year","cumunique_female","annunique_female","cumunique_male","annunique_male","cumunique_all","annunique_all","migrationrate","migrationrate_lower","migrationrate_upper","propstay","propstay_lower","propstay_upper","deathrate","deathrate_lower","deathrate_upper"
1980,0,0,1,1,1,1,0.00131857617421201,0,0.00263715234842402,0.9923077,0.9846154,1,0,0,0
1981,0,0,1,1,1,1,0.00131857617421201,0,0.00263715234842402,0.9095993,0.8191986,1,0.61731884057971,0.586452898550725,0.648184782608696
1982,0,0,1,1,1,1,0.00147165677353577,0,0.00294331354707153,0.9923077,0.9846154,1,0,0,0
1983,0,0,0.962442442524841,0.953053053156051,0.962442442524841,0.953053053156051,0.00167081129481352,0,0.00334162258962705,0.9923077,0.9846154,1,1.01394297984035,0.973224843141227,1.05386201267925
1984,0.728768175211071,0.728768175211071,0.910490467538892,0.907983132838798,0.904412081897778,0.901725491128006,0.00142435404300312,0,0.00284870808600623,0.990298589068826,0.980597178137652,1,1.11313348395168,1.05697321488569,1.1693632388799
1985,0.824789467284209,0.841293126859279,0.929877028290205,0.935228783495066,0.922679386053794,0.927605890515917,0.00117039858832698,0,0.00234079717665396,0.990034685460993,0.980069370921986,1,0.185180084938397,0.177261960071935,0.192979406642145
1986,0.866752452685228,0.920551151917305,0.918108218024502,0.901922073494688,0.909735871383501,0.892006855408745,0.00116551640338864,0,0.00233103280677727,0.989738556239782,0.979477112479564,1,0.082152635934024,0.0786512458794131,0.0856008657627235
1987,0.895852451257528,0.959538513706742,0.849414567735739,0.719716408327293,0.838486643391754,0.702883273988104,0.00124613890599983,0,0.00249227781199967,0.989257107903651,0.978514215807301,1,0.065991503918284,0.0630650604573825,0.0688846580490198
1988,0.913906893603493,0.992819006778554,0.843977077744212,0.823099257168757,0.83527647426922,0.822867120062068,0.00121890693651532,0,0.00243781387303065,0.989136063971463,0.978272127942925,1,0.0570642845025647,0.0544415267814222,0.0596664556456269
1989,0.9248728984156,0.984438242735906,0.847372626428082,0.864086404932074,0.840294030000845,0.865117726778358,0.00146722597990178,0,0.00293445195980356,0.988854825048544,0.977709650097087,1,0.0804840241476255,0.0766436241481567,0.0843087032065767
1990,0.934204952305493,0.978967176895998,0.852353060618405,0.88703674913495,0.846764414130681,0.890764683162126,0.00176880666063746,0,0.00353761332127493,0.988640653897878,0.977281307795756,1,0.0896105506391261,0.0850718126207605,0.0941587897119221
1991,0.932259683587636,0.918954045557493,0.852314722986549,0.851997541140261,0.846027203447117,0.839998898099101,0.0017198937037793,0,0.00343978740755859,0.988334468549446,0.976668937098893,1,0.0915347300211103,0.0865422985669429,0.0965781659970095
1992,0.938063088510117,0.985457562043713,0.859101581738064,0.934517624244123,0.853834171859557,0.938828189432573,0.0016027673766554,0,0.00320553475331081,0.988044380412371,0.976088760824742,1,0.0927824133732985,0.0873405946631096,0.0983259558896887
1993,0.943164940461348,0.999285311924891,0.864808322607095,0.94357031593704,0.85933070743716,0.934069574626249,0.0015841671327365,0,0.003168334265473,0.987788622224003,0.975577244448005,1,0.100741188802503,0.0944173245613813,0.107236787257446
1994,0.950501124904633,1.02463519927888,0.861821668175136,0.814648807608306,0.859277891886707,0.858470906526684,0.00151061006571517,0,0.00302122013143034,0.987460048061316,0.974920096122633,1,0.107612055841211,0.100322190430179,0.115175333448438
1995,0.949344892528647,0.933080557106438,0.86738028242369,0.969279730353121,0.864260440428836,0.953920062614233,0.00153811206595107,0,0.00307622413190213,0.987144346277205,0.97428869255441,1,0.0957028297422592,0.0886731383339553,0.103081469172145
1996,0.951921571269871,0.988777862125352,0.873040256858657,0.986751229573543,0.868899721504779,0.959799374412318,0.00155482144948748,0,0.00310964289897496,0.986600548630887,0.973201097261774,1,0.0771537632609219,0.0711184001607592,0.0835490561032032
1997,0.953556092489961,0.975513160879844,0.873516298375557,0.884849920369167,0.869407296267312,0.880924076448096,0.00163911363822504,0,0.00327822727645008,0.985925511135857,0.971851022271715,1,0.0396482850038822,0.0364117103947789,0.043099820171432
1998,0.95637892597389,0.99341792289937,0.873184025343445,0.864086143596055,0.86986127607471,0.881463568800984,0.00178769802872078,0,0.00357539605744156,0.985241270549064,0.970482541098128,1,0.0279026220857779,0.0255878489940535,0.0303749794983118
1999,0.959878517777537,1.02511090899752,0.877721434546729,1.01083498448136,0.874243208586317,0.997966591520498,0.00202175460814696,0,0.00404350921629391,0.984689425366622,0.969378850733244,1,0.024426226743329,0.0223781618788362,0.026614669487678
2000,0.956897346359316,0.906423030278413,0.878907387522066,0.913104954394597,0.87433311170794,0.876805215244775,0.0022903671462715,0,0.004580734292543,0.983976878082192,0.967953756164384,1,0.0243171780044255,0.0222604714424601,0.026514667173198
2001,0.958706132855157,0.986923202190269,0.881098756855141,0.946384363279612,0.876813720630042,0.946248734582844,0.00245532178358907,0,0.00491064356717815,0.983196294376983,0.966392588753966,1,0.0218177641419187,0.0199443562689997,0.0238213205329809
2002,0.956927693206404,0.925851800396623,0.884747388222318,0.985262674976087,0.880812403624305,0.986541469601068,0.00250287662491244,0,0.00500575324982488,0.982808786136177,0.965617572272354,1,0.0190229280065532,0.0173707129763909,0.020790252606464
2003,0.956170423845283,0.94156594330937,0.886033320970316,0.921814521920312,0.882795321567556,0.936219186927271,0.00272908543863202,0,0.00545817087726403,0.982534733592924,0.965069467185848,1,0.0170151304048491,0.01552995182465,0.0186021673362335
2004,0.957789630347304,0.98114162411864,0.889426949032535,0.987124775638917,0.886562083745588,0.98745632687807,0.00308540311003645,0,0.0061708062200729,0.982143337661051,0.964286675322101,1,0.00938735177865613,0.00582501627863977,0.0149151031930883
2005,0.958262850233649,0.967794850801448,0.89217420111322,0.96572492149407,0.888633244834683,0.942706024670464,0.00317061091813655,0,0.0063412218362731,0.981955178986486,0.963910357972973,1,0.0128141941843273,0.00855944074957042,0.0190012491796027
2006,0.958526839138025,0.962101904561994,0.896707100077678,1.02463441744224,0.893031362709729,1.00745155308567,0.00336443300795776,0,0.00672886601591551,0.981408803866878,0.962817607733756,1,0.0135462022254475,0.00919050991036652,0.0197927838564638
2007,0.96066671246744,0.994675413595652,0.899457335468895,0.975432963866463,0.896166462012006,0.977893003254872,0.00356726153223042,0,0.00713452306446085,0.980761127534399,0.961522255068799,1,0.0124580737901294,0.00832118520906657,0.0184750197157213
2008,0.960060234674818,0.950302955902359,0.899018238922115,0.885798909320665,0.896050107668818,0.892782918899478,0.00369768050988039,0,0.00739536101976078,0.980191553114017,0.960383106228033,1,0.0104961832061069,0.00675180107596318,0.0161274066333975
2009,0.962044856825217,0.995729794945502,0.902812049502716,1.01356512602077,0.899849292655204,1.00436752222485,0.00378265005300787,0,0.00756530010601573,0.979521541442161,0.959043082884321,1,0.00729594163246694,0.00432229289683664,0.0120998215202293
2010,0.96228778866454,0.966301445140303,0.908023658930657,1.06867094558115,0.904597802573926,1.04074100229227,0.00397790611410935,0,0.0079558122282187,0.978832384388398,0.957664768776797,1,0.011068539804172,0.00739175232408204,0.0164207395367905
2011,0.963236397491737,0.981565339282992,0.910513806855208,0.982184926950564,0.908633141938268,1.01993131059758,0.00390679777041302,0,0.00781359554082604,0.978439652797559,0.956879305595117,1,0.00901269971323228,0.00579638274995248,0.0138544513850508
2012,0.962548666211055,0.95003026921852,0.911687736219079,0.943656462912259,0.911344718764717,0.982022044007953,0.00388934539915241,0,0.00777869079830482,0.977961519702034,0.955923039404067,1,0.00667976424361493,0.00402380025983122,0.0109125369266964
2013,0.964858288029817,1.00840718135948,0.911106011492502,0.894439759367581,0.912385351218661,0.940843480241614,0.00394525016706533,0,0.00789050033413066,0.977456092007325,0.95491218401465,1,0.00791139240506329,0.00497181436318858,0.01242775007027
2014,0.966770526568564,1.00083938183187,0.911166974595437,0.912866155573078,0.913125271282547,0.932718199501193,0.00356994690195057,0,0.00713989380390114,0.976945335932792,0.953890671865584,1,0.0113867425782839,0.00772331932632405,0.0166470714790875
2015,0.969143821362496,1.0180280768517,0.913262023611872,0.977667822792424,0.91546681416704,0.984238865301746,0.00372883995763931,0,0.00745767991527862,0.976425362955554,0.952850725911109,1,0.00504838031131679,0.00273754832462167,0.00906987651114244
2016,0.968548810385628,0.955544079454078,0.915600988420306,0.988694703786227,0.918206183242718,1.00041540713202,0.00394699584406967,0,0.00789399168813935,0.97574289556384,0.951485791127679,1,0.00782859497321796,0.00485673261901647,0.012445176842462
2017,0.96794732345498,0.954902575646548,0.922588069911296,1.15253188280857,0.923824376040482,1.09985510053782,0.00403395019884979,0,0.00806790039769958,0.975144875109522,0.950289750219043,1,0.0101957585644372,0.00675074127420666,0.0152501962641189
2018,0.967844653915884,0.96518257943791,0.922780725553191,0.929975634873345,0.924155212048727,0.935996274483544,0.00388265522822105,0,0.00776531045644211,0.974460942422936,0.948921884845872,1,0.00797984040319194,0.00495066638887795,0.0126849495120752
2019,0.970451916896213,1.03085593689299,0.925485196688979,1.02080063096101,0.92710872394087,1.02606088444324,0.00490173817823506,0,0.00980347635647012,0.973643005295459,0.947286010590918,1,0.00799644602398934,0.00489202001026133,0.0128758734073099
2020,0.969551919589034,0.946376988929187,0.931347438177271,1.21869422929613,0.936220176641171,1.34550013740218,0.00326628069994563,0,0.00653256139989127,0.993031269125408,0.986062538250816,1,0.00642292490118577,0.00357552174792507,0.0112684357094042
2021,0.972160795478728,1.06671150715844,0.93376910352768,1.08682847639046,0.937245094198164,0.997430836046968,0.00601155189387692,0,0.0120231037877538,0.992879811364979,0.985759622729959,1,0.0109756097560976,0.00671740049212076,0.0176540204693666
