"year","cumunique_female","annunique_female","cumunique_male","annunique_male","cumunique_all","annunique_all","migrationrate","migrationrate_lower","migrationrate_upper","propstay","propstay_lower","propstay_upper","deathrate","deathrate_lower","deathrate_upper"
1980,0,0,1,1,1,1,0.00131857617421201,0,0.00263715234842402,0.9923151,0.9846302,1,0,0,0
1981,0,0,1,1,1,1,0.00131857617421201,0,0.00263715234842402,0.9095993,0.8191986,1,0.61731884057971,0.586452898550725,0.648184782608696
1982,0,0,1,1,1,1,0.00147165677353577,0,0.00294331354707153,0.9923151,0.9846302,1,0,0,0
1983,0,0,0.962438081174757,0.953047601468447,0.962438081174757,0.953047601468447,0.00167081129481352,0,0.00334162258962705,0.9923151,0.9846302,1,1.01393887188004,0.973216875493197,1.05386201267925
1984,0.728768175211071,0.728768175211071,0.910811387682468,0.908324552735826,0.904731058050522,0.902064374911694,0.00142435404300312,0,0.00284870808600623,0.9899897562249,0.979979512449799,1,1.1131306724906,1.05696176563998,1.16937000414152
1985,0.824783934943032,0.841286643646963,0.929685462752576,0.934897390081581,0.922521829137747,0.927321436590258,0.00117039858832698,0,0.00234079717665396,0.989980968077601,0.979961936155203,1,0.182257374057229,0.174520562510105,0.189873221125176
1986,0.866750481246424,0.920553745737951,0.918499914807943,0.903108306962948,0.910146768484684,0.893188352034191,0.00116551640338864,0,0.00233103280677727,0.989669987696477,0.979339975392954,1,0.0814707368248717,0.0780090976231494,0.0848789103156988
1987,0.895853694223898,0.959546791477881,0.849780298167143,0.719910095364482,0.838880709121965,0.703124610922954,0.00124613890599983,0,0.00249227781199967,0.989215969239416,0.978431938478831,1,0.0658307588134031,0.062919818529149,0.0687078518397044
1988,0.913905335774672,0.992805207271876,0.843722567863918,0.820492519479858,0.835077599918332,0.820393837075511,0.00121890693651532,0,0.00243781387303065,0.989112093851611,0.978224187703222,1,0.0569499711188782,0.0543385628136309,0.0595403405452712
1989,0.924873254322662,0.984448993708331,0.84698247506172,0.86303080643725,0.839959875433275,0.864117309147317,0.00146722597990178,0,0.00293445195980356,0.98884199449807,0.977683988996139,1,0.0801758770835565,0.0763575192862174,0.0839779441293058
