cascadeName,targetGender,targetAge,targetCob,targetExposure,targetAtsi,targetState,targetLocalRegion,targetGlobalRegion,useImputed,nImputedSets,excludeAborig,doRetained,doUnique,yearUnique,saveUnique,ecdcData,ecdcVersion,excludeOS,excludeNew,adjustmentStart,adjustmentStop,adjustStart,adjustStop,projectPldhiv,projectYear,projectName,projectOption,projectDecrease
All-2023,all,all,all,all,all,all,all,all,TRUE,10,FALSE,TRUE,TRUE,2017,FALSE,TRUE,1.3.0,FALSE,FALSE,0.266,0.35,2015,2020,FALSE,2029,future_sq,status-quo,0
All-2023,all,all,all,all,all,all,all,all,TRUE,10,FALSE,FALSE,TRUE,2017,FALSE,TRUE,1.3.0,TRUE,TRUE,0.29,0.29,2015,2020,FALSE,2029,future_sq,status-quo,0
