"sex","period","year","proportion","lower","upper"
"male","42-120",2017,NA,NA,NA
"female","42-120",2017,NA,NA,NA
"male","7-180",2017,NA,NA,NA
"female","7-180",2017,NA,NA,NA
"male","42-180",2017,NA,NA,NA
"female","42-180",2017,NA,NA,NA
