"sex","period","year","proportion","lower","upper"
"male","42-120",2016,0.288070895469215,0.238799864404528,0.340867508118367
"female","42-120",2016,0.242319188737701,0.19972814978561,0.315872704775714
"male","7-180",2016,0.415068000491802,0.361824613852834,0.470311459272711
"female","7-180",2016,0.357452002308505,0.308850472750915,0.434135360611915
"male","42-180",2016,0.3595348915961,0.307631143523897,0.414076035576613
"female","42-180",2016,0.293590159842069,0.248216372784533,0.368909016940571
