"sex","period","year","estimate","lower","upper"
"male","42-120",2016,2710.96716125768,1550.61025870321,4624.45788139579
"female","42-120",2016,6927.91338705707,4680.60331801265,9961.95219140957
"male","7-180",2016,3906.1069227051,2349.45258235621,6380.58918126391
"female","7-180",2016,10219.5642240451,7237.87082131103,13691.7044164583
