"year","indicator","value"
2010,"unsuppressed","250 (0‒0)"
2011,"unsuppressed","360 (0‒0)"
2012,"unsuppressed","280 (0‒0)"
2013,"unsuppressed","200 (0‒0)"
2014,"unsuppressed","140 (0‒0)"
2015,"unsuppressed","140 (0‒0)"
2016,"unsuppressed","140 (0‒0)"
2017,"unsuppressed","50 (0‒0)"
2018,"unsuppressed","70 (0‒0)"
2019,"unsuppressed","100 (0‒0)"
2020,"unsuppressed","60 (0‒0)"
2021,"unsuppressed","80 (0‒0)"
2022,"unsuppressed","50 (0‒0)"
2023,"unsuppressed","120 (0‒0)"
2004,"diagnoses_exclude","120 (0‒0)"
2005,"diagnoses_exclude","90 (0‒0)"
2006,"diagnoses_exclude","140 (0‒0)"
2007,"diagnoses_exclude","110 (0‒0)"
2008,"diagnoses_exclude","110 (0‒0)"
2009,"diagnoses_exclude","120 (0‒0)"
2010,"diagnoses_exclude","110 (0‒0)"
2011,"diagnoses_exclude","100 (0‒0)"
2012,"diagnoses_exclude","100 (0‒0)"
2013,"diagnoses_exclude","110 (0‒0)"
2014,"diagnoses_exclude","100 (0‒0)"
2015,"diagnoses_exclude","110 (0‒0)"
2016,"diagnoses_exclude","90 (0‒0)"
2017,"diagnoses_exclude","110 (0‒0)"
2018,"diagnoses_exclude","80 (0‒0)"
2019,"diagnoses_exclude","90 (0‒0)"
2020,"diagnoses_exclude","80 (0‒0)"
2021,"diagnoses_exclude","60 (0‒0)"
2022,"diagnoses_exclude","80 (0‒0)"
2023,"diagnoses_exclude","100 (0‒0)"
2004,"diagnoses_include","130 (0‒0)"
2005,"diagnoses_include","100 (0‒0)"
2006,"diagnoses_include","150 (0‒0)"
2007,"diagnoses_include","140 (0‒0)"
2008,"diagnoses_include","150 (0‒0)"
2009,"diagnoses_include","150 (0‒0)"
2010,"diagnoses_include","160 (0‒0)"
2011,"diagnoses_include","140 (0‒0)"
2012,"diagnoses_include","160 (0‒0)"
2013,"diagnoses_include","160 (0‒0)"
2014,"diagnoses_include","180 (0‒0)"
2015,"diagnoses_include","170 (0‒0)"
2016,"diagnoses_include","160 (0‒0)"
2017,"diagnoses_include","170 (0‒0)"
2018,"diagnoses_include","150 (0‒0)"
2019,"diagnoses_include","170 (0‒0)"
2020,"diagnoses_include","160 (0‒0)"
2021,"diagnoses_include","120 (0‒0)"
2022,"diagnoses_include","160 (0‒0)"
2023,"diagnoses_include","210 (0‒0)"
2004,"diagnoses_os","10 (0‒0)"
2005,"diagnoses_os","0 (0‒0)"
2006,"diagnoses_os","10 (0‒0)"
2007,"diagnoses_os","30 (0‒0)"
2008,"diagnoses_os","40 (0‒0)"
2009,"diagnoses_os","30 (0‒0)"
2010,"diagnoses_os","50 (0‒0)"
2011,"diagnoses_os","40 (0‒0)"
2012,"diagnoses_os","60 (0‒0)"
2013,"diagnoses_os","60 (0‒0)"
2014,"diagnoses_os","80 (0‒0)"
2015,"diagnoses_os","60 (0‒0)"
2016,"diagnoses_os","70 (0‒0)"
2017,"diagnoses_os","60 (0‒0)"
2018,"diagnoses_os","70 (0‒0)"
2019,"diagnoses_os","80 (0‒0)"
2020,"diagnoses_os","80 (0‒0)"
2021,"diagnoses_os","50 (0‒0)"
2022,"diagnoses_os","70 (0‒0)"
2023,"diagnoses_os","110 (0‒0)"
2004,"infections","100 (100‒110)"
2005,"infections","100 (100‒110)"
2006,"infections","110 (100‒110)"
2007,"infections","110 (100‒110)"
2008,"infections","110 (100‒120)"
2009,"infections","100 (100‒120)"
2010,"infections","100 (100‒110)"
2011,"infections","100 (100‒110)"
2012,"infections","100 (90‒110)"
2013,"infections","100 (90‒110)"
2014,"infections","90 (90‒100)"
2015,"infections","90 (80‒100)"
2016,"infections","80 (80‒100)"
2017,"infections","80 (70‒90)"
2018,"infections","70 (60‒90)"
2019,"infections","70 (50‒80)"
2020,"infections","60 (40‒80)"
2021,"infections","50 (30‒70)"
2022,"infections","40 (20‒70)"
2023,"infections","40 (10‒70)"
2004,"propdiagnosed","76·5% (0‒0%)"
2005,"propdiagnosed","77·4% (0‒0%)"
2006,"propdiagnosed","78·5% (0‒0%)"
2007,"propdiagnosed","79·7% (0‒0%)"
2008,"propdiagnosed","80·9% (0‒0%)"
2009,"propdiagnosed","82·1% (0‒0%)"
2010,"propdiagnosed","83·2% (0‒0%)"
2011,"propdiagnosed","84·3% (0‒0%)"
2012,"propdiagnosed","85·3% (0‒0%)"
2013,"propdiagnosed","86·3% (0‒0%)"
2014,"propdiagnosed","87·2% (0‒0%)"
2015,"propdiagnosed","88% (0‒0%)"
2016,"propdiagnosed","88·7% (0‒0%)"
2017,"propdiagnosed","89·4% (0‒0%)"
2018,"propdiagnosed","90·1% (0‒0%)"
