year,pldhiv,diagnoses,duplicates,deaths,emigrants,diag_departs,inter_departs,inter_arrivals
1980,2,2,0,0,0,0,0,0
1981,1.515993350816629,1,0,1.296369566,0.006835683183370817,0.1808014,0,-0
1982,3.479456806444418,2,0,0,0.005767344372211458,0.03076919999999994,0,-0
1983,18.565416086500438,20,0.9389389368789836,3.6668673541860657,0.014987628847242815,0.293246800031691,0,-0
1984,474.2800203640574,540,53.06823479087674,21.709715088292857,0.06748523216671197,9.439960611106752,0,-0
1985,2285.7529168663555,2095,151.87276493222546,91.52627708180371,1.4081384351167083,38.719923048555906,0,-0
1986,3778.953216863217,1942,210.84428941936218,195.67980543946004,6.7521358903428625,35.52346925397296,0,-0
1987,5171.595915068062,2418,716.4842502660712,260.401544269833,11.917012366515708,36.554494892735555,0,-0
1988,6307.440230843405,1816,323.31819660368,308.5345627436114,15.87293942164072,32.429985455724925,0,-0
1989,7263.002553997923,1786,240.8989843508571,531.8568644942501,23.24616320970259,34.43566479067139,0,-0
1990,7906.730353270742,1562,170.62470330156424,683.969740657482,32.0718167733231,31.60593999481121,0,-0
1991,8331.481543655085,1491,239.50046297533294,763.713614976134,33.84151257582769,29.19321908836328,0,-0
1992,8631.380171437659,1256,76.82995080969161,818.0395041435012,33.04168049042806,28.190236773805168,0,-0
1993,8672.594238233645,1098,72.39014473515272,925.5814090015851,33.77061444454931,25.043765022727293,0,-0
1994,8519.557298668036,1049,148.4623548639138,998.8473085850055,32.14581287726306,22.581463239427542,0,-0
1995,8491.23582948528,949,43.729341872887716,878.1890399466174,32.13140952415079,23.27167783910006,0,-0
1996,8608.935914817554,920,36.983969234843244,709.4190035668801,32.23721960621825,23.65972225978424,0,-0
1997,8918.450718720596,836,100.51911405544158,371.03547870254016,34.23125649774433,20.699346841230867,0,-0
1998,9271.299420176503,774,91.74660399164352,270.89475669423155,38.375184213264276,20.13475364495366,0,-0
1999,9685.948879534453,728,-0.9229478573578671,246.74994149015365,45.207125588680434,22.31642142057414,0,-0
2000,10035.896771370362,774,92.17998596397227,256.7549391797217,53.259664283874685,21.857518736521484,0,-0
2001,10459.235473878702,788,41.81442621206227,238.93676797879792,58.82667602863619,25.083427272163526,0,-0
2002,11002.929078949153,864,11.090465692177563,217.3251010691874,62.55957121331292,29.331256954870913,0,-0
2003,11523.938368181261,881,54.88719708825007,204.5574350339779,71.67256628711748,28.873512358547135,0,-0
2004,12143.239089926357,918,10.637856249024441,171.62716651116034,84.01227069504408,32.42198479967497,0,-0
2005,12711.016503468543,978,55.405517967312306,230.05883757850717,91.44926260939697,33.30896830259811,0,-0
2006,13348.61685407635,1018,-8.941627948374009,250.86083382953714,100.28357353276593,38.196869978264914,0,-0
2007,13983.789567883376,1055,22.288106918920718,246.0285708153509,111.76296935981392,39.74763909888798,0,-0
2008,14500.610708380795,1019,120.9369012565403,224.88063356307657,120.77727083644766,35.584053846516106,0,-0
2009,15225.352662914605,1075,-4.971166073784882,183.06440994902417,127.92711988364051,44.237681707309484,0,-0
2010,15902.442716272431,1069,-45.33599190094164,249.48215674858616,140.5838032571798,47.17997853734915,0,-0
2011,16652.814158657555,1151,-22.155448282646837,227.73555852920978,144.4593647822524,50.5890825860637,0,-0
2012,17501.544359875028,1261,26.115734279032015,181.58210240504621,150.14095324339922,54.43100885504951,0,-0
2013,18238.36938983817,1247,72.73510853052716,224.95723803003708,159.53544695235178,52.94717652393809,0,-0
2014,18978.122932487207,1338,88.508284584961,302.26737756015166,149.8388882168773,57.631906988975274,0,-0
2015,19817.792574143397,1251,19.52470909368279,171.19523236841593,162.53231686568884,58.07810001602447,0,-0
2016,20597.55387285695,1266,0.2652319219850894,245.22518695231724,179.33050012062208,61.417782291521696,0,-0
2017,21288.707582285824,1251,0,322.09676158837306,175.54996535775516,62.19956362499996,0,-0
2018,21917.706481557376,1131,0,279.3383501975554,164.87918918889295,57.783561342,0,-0
2019,22651.10188851255,1242,0,280.2235102172768,162.89655830754916,65.48452452,0,-0
2020,23244.13141461424,955,0,264.1384630647753,84.5147774485325,13.317233385000034,0,-0
2021,23460.026558959806,743,0,409.5794005301665,106.93929514426651,10.586159980000001,0,-0
2022,23767.109390998678,898,0,390.0861663142832,171.7564269108449,29.074574735999974,0,-0
