year,infections,infections_lower,infections_upper,exclude
1980,235.534805,230.227717,242.597639,yes
1981,638.003748,624.428638,656.755025,yes
1982,944.831517,924.995881,971.691295,yes
1983,1165.697807,1141.644444,1197.427324,yes
1984,1310.282312,1283.84321,1344.092325,yes
1985,1388.264726,1361.71774,1421.770989,yes
1986,1409.324745,1386.340222,1440.548002,yes
1987,1383.142063,1364.564527,1413.347436,yes
1988,1319.396375,1300.144125,1346.06816,yes
1989,1227.767375,1210.899921,1252.109179,yes
1990,1117.934758,1097.676875,1143.246243,yes
1991,999.578218,976.094457,1023.7164,yes
1992,882.377451,858.312148,908.227241,yes
1993,776.012151,748.266268,804.495237,yes
1994,690.057927,659.182467,721.013311,yes
1995,630.544809,599.04086,661.959122,yes
1996,596.144999,565.113936,627.049094,yes
1997,583.897768,554.644105,614.834994,yes
1998,590.83589,564.447215,618.761965,yes
1999,613.992135,590.760952,641.75636,yes
2000,650.399277,630.199652,676.959496,yes
2001,697.090087,680.570005,724.173375,yes
2002,751.097338,736.333316,779.496476,yes
2003,809.453801,791.93399,838.28576,yes
2004,869.19225,851.313969,899.59087,yes
2005,927.345454,903.635237,959.650093,yes
2006,980.946188,951.366655,1012.548233,yes
2007,1027.027223,992.385528,1057.412746,yes
2008,1062.622995,1024.425356,1094.060302,yes
2009,1085.18524,1046.713405,1118.099521,yes
2010,1094.046067,1057.488623,1127.065145,yes
2011,1089.443682,1057.002892,1121.212315,yes
2012,1071.642893,1045.082224,1099.302345,yes
2013,1040.908508,1012.219296,1068.176127,yes
2014,997.505333,966.506803,1026.043179,yes
2015,941.698178,909.270091,970.686076,yes
2016,873.751848,839.143338,904.625183,yes
2017,793.931153,753.232325,829.990111,yes
2018,702.5009,649.692064,750.549121,yes
2019,599.725895,533.104361,658.226498,yes
2020,485.870949,404.078286,555.703106,yes
2021,361.200866,262.204901,443.334131,yes
2022,225.980457,107.644559,321.394811,yes
