year,pldhiv,diagnoses,duplicates,deaths,emigrants,diag_departs,inter_departs,inter_arrivals
1980,2,2,0,0,0,0,0,0
1981,1.6699715692761392,1,0,1.234637682,0.004990048723860697,0.0904007,0,-0
1982,3.6499491851971793,2,0,0,0.004637784078960308,0.01538459999999997,0,-0
1983,18.852069424666603,20,0.9389389368789836,3.7008403536873997,0.01147706994834808,0.1466234000158455,0,-0
1984,480.02895949765775,540,53.06823479087674,20.984869719289012,0.05002486782379901,4.719980549019224,0,-0
1985,2313.864758533351,2095,151.87276493222546,88.89107291816146,1.0404015896419314,19.359961524277953,0,-0
1986,3832.1627708457518,1942,210.84428941936218,190.106286314328,4.989678192500857,17.761733761408653,0,-0
1987,5253.603130575727,2418,716.4842502660712,252.97623220377508,8.82191120456936,18.27724659561002,0,-0
1988,6418.541346801295,1816,323.31819660368,299.7576077237122,11.770987465517663,16.214991981521663,0,-0
1989,7412.485178304688,1786,240.8989843508571,516.6707425398424,17.268608438021076,17.21783316788618,0,-0
1990,8099.836980037962,1562,170.62470330156424,664.3262312035556,23.894293068512525,15.80297069309331,0,-0
1991,8569.925115651451,1491,239.50046297533294,741.5071253856406,25.3076664813559,14.596609544181707,0,-0
1992,8916.181498104583,1256,76.82995080969161,794.0078126479643,24.810735702311028,14.095118386902584,0,-0
1993,9005.592309795144,1098,72.39014473515272,898.2111756383242,25.46598491179329,12.521883024168616,0,-0
1994,8901.37840245953,1049,148.4623548639138,969.0933464245251,24.36747487772991,11.29073116944491,0,-0
1995,8918.634354073698,949,43.729341872887716,851.8717135329981,24.507153607759548,11.635839372185346,0,-0
1996,9077.00920603845,920,36.983969234843244,688.0936348820553,24.71768278845717,11.82986112989217,0,-0
1997,9415.911632424619,836,100.51911405544158,359.8813034249987,26.347483080516504,10.34967305287496,0,-0
1998,9795.794727504537,774,91.74660399164352,262.7264574052716,29.576466700689753,10.06737682247683,0,-0
1999,10239.4189559969,728,-0.9229478573578671,239.2723562962782,34.86815199396857,11.158211074748577,0,-0
2000,10620.274387443647,774,92.17998596397227,248.93463048566093,41.10119273535965,10.928759368260705,0,-0
2001,11076.883980631213,788,41.81442621206227,231.59024877003398,45.444017821164316,12.541714009174498,0,-0
2002,11656.16233360366,864,11.090465692177563,210.60019821688928,48.365354641050594,14.665628477435408,0,-0
2003,12214.19100871796,881,54.88719708825007,198.22016239811606,55.42720880700333,14.436756592329957,0,-0
2004,12925.850558333397,918,10.637856249024441,114.48920642419543,65.0023957651862,16.21099194615638,0,-0
2005,13595.584150780076,978,55.405517967312306,165.14600510954807,71.06040078645889,16.654483690001776,0,-0
2006,14341.490326054198,1018,-8.941627948374009,183.63548714666575,78.3015305384538,19.098434989132457,0,-0
2007,15088.43264500071,1055,22.288106918920718,178.24031553631875,87.65543904880373,19.873819549444047,0,-0
2008,15715.652650866803,1019,120.9369012565403,157.91890078305727,95.13216472201849,17.79202737228954,0,-0
2009,16550.79870522446,1075,-4.971166073784882,121.49436320983662,101.211907652637,22.118840853654742,0,-0
2010,17347.18032147738,1069,-45.33599190094164,182.80406822316533,111.56031815618402,23.58998926867464,0,-0
2011,18216.821159781935,1151,-22.155448282646837,163.1841099666626,115.03595813182004,25.294541879609554,0,-0
2012,19183.004784236953,1261,26.115734279032015,121.58851895056657,119.89661788785799,27.215504427524756,0,-0
2013,20044.421603433744,1247,72.73510853052716,158.72463204188648,127.6498519688273,26.473588261968978,0,-0
2014,20917.659195736887,1338,88.508284584961,227.2242047180162,120.21396552413663,28.81595286974173,0,-0
2015,21884.295218778447,1251,19.52470909368279,105.02591432671845,130.77430291428908,29.039050623749862,0,-0
2016,22804.418363831133,1266,0.2652319219850894,170.34067927292972,144.56205260663714,30.70889114576078,0,-0
2017,23642.09828363237,1251,0,240.33841044894652,141.88188856281394,31.099781186999998,0,-0
2018,24413.027859532238,1131,0,197.51126668098894,133.66737674814445,28.891780671000063,0,-0
2019,25295.99308594567,1242,0,193.83966092193668,132.45285040463438,32.74226226,0,-0
2020,26003.77012737362,955,0,171.66452834360942,68.89981305843826,6.658617169999951,0,-0
2021,26362.12997138646,743,0,292.01313319578065,87.33394280138081,5.293079990000001,0,-0
2022,26849.288559266235,898,0,255.4116315603054,140.89249319192317,14.537287368000037,0,-0
