stage,year,value,lower,upper
pldhiv,1980,2,2,2
pldhiv,1981,1.6699715692761392,1.515993350816629,1.827094202
pldhiv,1982,3.6499491851971793,3.479456806444418,3.827094202
pldhiv,1983,18.85020301187211,17.71485227835248,19.257426004921257
pldhiv,1984,459.13465173910464,453.0314018795783,464.91549976771586
pldhiv,1985,2230.1498757117183,2198.520056156237,2259.6153509425276
pldhiv,1986,3735.548937701371,3678.909267153037,3792.959977733675
pldhiv,1987,5142.515012441342,5056.474845179228,5234.520685382334
pldhiv,1988,6297.196068256357,6182.160453965774,6425.315719263128
pldhiv,1989,7287.015368027428,7133.925180432834,7463.596823197065
pldhiv,1990,7980.1143433230945,7784.543367254224,8213.978849716805
pldhiv,1991,8448.377796991486,8207.87998019964,8741.312662775636
pldhiv,1992,8794.688484775523,8508.98206936536,9146.4115704677
pldhiv,1993,8882.414219993767,8549.701566181011,9294.017188654665
pldhiv,1994,8769.303658714458,8389.065302026534,9239.42833443001
pldhiv,1995,8786.81205178005,8361.26076392554,9312.624573910847
pldhiv,1996,8956.95904726454,8491.529605277521,9534.615254536866
pldhiv,1997,9288.43492445539,8794.19916816327,9910.269007862527
pldhiv,1998,9662.918861216267,9142.135601130576,10329.459900985297
pldhiv,1999,10100.185973826166,9550.929900117431,10817.008920239587
pldhiv,2000,10473.19415155668,9892.82333951257,11246.244310555077
pldhiv,2001,10916.142713982143,10303.202212933891,11750.464438375515
pldhiv,2002,11475.85450325191,10828.15420794308,12375.634166039788
pldhiv,2003,12034.634860321486,11350.423550850648,13006.467274895163
pldhiv,2004,12709.901855229613,11935.217112085347,13798.552904995862
pldhiv,2005,13387.804047596272,12512.628049244595,14607.751331724075
pldhiv,2006,14110.5272512352,13128.98149220087,15473.320478814783
pldhiv,2007,14774.771697843335,13684.642730183707,16289.331499273636
pldhiv,2008,15333.11076493914,14136.09529704793,17002.510878561603
pldhiv,2009,16053.48074172869,14750.876962931987,17880.919138594363
pldhiv,2010,16663.977161030605,15249.436568480205,18665.033724270026
pldhiv,2011,17331.66831449727,15806.721044126098,19507.06835306889
pldhiv,2012,18180.356415883558,16545.80699718969,20532.062421492723
pldhiv,2013,18852.388813177524,17103.797721799958,21389.94061689428
pldhiv,2014,19389.327241939973,17522.95135419247,22110.30993019004
pldhiv,2015,20008.182938344595,18031.883397988157,22908.281274223707
pldhiv,2016,20591.685622408535,18495.09988977503,23691.641802717568
pldhiv,2017,21061.241222436565,18842.03354485595,24360.90670875303
pldhiv,2018,21481.66827108235,19145.37244987539,24968.001692590355
pldhiv,2019,21973.97917057655,19516.508360080552,25647.720747928674
pldhiv,2020,22334.62772721684,19781.64056066062,26122.566556926296
pldhiv,2021,22516.593400880636,19846.08208519096,26450.132538219732
pldhiv,2022,22684.502538968256,19868.801598108203,26819.080593122177
