"region","context","sex","year","diagnoses","period","retested","prop_retested","prop_lower","prop_upper"
"regional","shc","all",2017,1352,"42-120",293,0.216715976331361,0.195218128454416,0.239846036897766
"regional","shc","female",2017,517,"42-120",86,0.166344294003868,0.135843441135719,0.201914195788814
"regional","shc","male",2017,835,"42-120",207,0.247904191616766,0.219242936947842,0.278921445136409
"remote","shc","all",2017,19,"42-120",3,0.157894736842105,0.0416967303552795,0.404932585076039
"remote","shc","female",2017,10,"42-120",2,0.2,0.0354269437473664,0.55781857572145
"remote","shc","male",2017,9,"42-120",1,0.111111111111111,0.00582755740060351,0.493297984193994
"urban","shc","all",2017,5845,"42-120",1811,0.3098374679213,0.298026098197389,0.321900433008515
"urban","shc","female",2017,1445,"42-120",331,0.229065743944637,0.207800073168509,0.251791026032486
"urban","shc","male",2017,4400,"42-120",1480,0.336363636363636,0.322439169489342,0.350575905012985
"regional","shc","all",2017,1352,"42-180",355,0.262573964497041,0.239456565696242,0.28705791910268
"regional","shc","female",2017,517,"42-180",104,0.201160541586073,0.167968863270275,0.238883062842517
"regional","shc","male",2017,835,"42-180",251,0.30059880239521,0.269891229462442,0.33316775151525
"remote","shc","all",2017,19,"42-180",3,0.157894736842105,0.0416967303552795,0.404932585076039
"remote","shc","female",2017,10,"42-180",2,0.2,0.0354269437473664,0.55781857572145
"remote","shc","male",2017,9,"42-180",1,0.111111111111111,0.00582755740060351,0.493297984193994
"urban","shc","all",2017,5845,"42-180",2217,0.379298545765612,0.366857645414134,0.391899087031878
"urban","shc","female",2017,1445,"42-180",412,0.285121107266436,0.262100127973694,0.309298456748231
"urban","shc","male",2017,4400,"42-180",1805,0.410227272727273,0.395665079918965,0.424947306550455
"regional","shc","all",2017,1352,"7-180",449,0.332100591715976,0.307141187174821,0.358025396607755
"regional","shc","female",2017,517,"7-180",143,0.276595744680851,0.238873716778709,0.317695477853358
"regional","shc","male",2017,835,"7-180",306,0.366467065868263,0.333881033865932,0.400298474176982
"remote","shc","all",2017,19,"7-180",3,0.157894736842105,0.0416967303552795,0.404932585076039
"remote","shc","female",2017,10,"7-180",2,0.2,0.0354269437473664,0.55781857572145
"remote","shc","male",2017,9,"7-180",1,0.111111111111111,0.00582755740060351,0.493297984193994
"urban","shc","all",2017,5845,"7-180",2732,0.467408041060736,0.454557383054933,0.480301797417482
"urban","shc","female",2017,1445,"7-180",518,0.358477508650519,0.333816997885437,0.383898972093852
"urban","shc","male",2017,4400,"7-180",2214,0.503181818181818,0.488298443807488,0.518059598894561
