year,pldhiv,duplicates,deaths,emigrants,diag_departs,inter_departs,inter_arrivals
1980,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1981,1.9688928752298238,0.0,0.8526779850900098,0.013237481207001698,0.20159999999999967,0.04095647030956832,0.010870979230836676
1982,2.871291917854081,0.0,0.0,0.020827286274858435,0.1223999999999994,0.05879374459645715,0.00878816348719209
1983,8.678059050469958,0.0,1.4256346861684142,0.06864783172731141,0.5232000000000023,0.17498294403334622,0.1542671645523169
1984,280.15379641374824,4.486064339345048,11.205838897205817,1.8250964522868214,15.842205893781742,5.564783258764687,2.7037384835212035
1985,1326.0538369031958,60.36577349203453,49.29458989341693,6.888156044682938,57.69717358894241,25.95640019206976,11.406587396055368
1986,2294.9300480221855,125.69405655795373,110.3770389359258,11.543261362196919,59.14747146333789,44.28241329356497,17.116641793615845
1987,3315.6363799259284,509.06012483484744,155.96241917480444,17.352989357998432,68.35289377039275,63.08826197185806,20.865337153406472
1988,4063.750095465365,216.99505733891544,186.4635902062145,20.265024356883774,58.10711397854851,76.27188430177176,24.388041488692174
1989,4701.612683271406,147.41784083923372,316.15763299070557,27.498050661302337,54.24097927208704,87.07050765650466,28.74277933847087
1990,5067.7300617192495,97.65823031002803,397.887716439835,34.858072275830885,46.81549757238095,92.62977102987247,32.006871248360476
1991,5261.372113452765,137.17376219692568,435.9335819535499,34.355610153885145,42.30216226904591,94.94468027586117,34.1731903218615
1992,5385.084420742649,33.92484837963561,460.3109054137233,32.02242719630234,40.640500029667905,95.96567972086142,35.72983705952656
1993,5373.60270561166,37.27203982995951,511.73580566036867,30.88169288797456,34.20234203205351,94.59191438162115,36.54352427483636
1994,5196.45869684857,74.27577807590875,537.9961997338161,27.86961765138726,27.138322436424158,90.37957895957693,36.83760991510474
1995,5082.492799270072,23.419788712397587,469.77706596798043,27.180239295112152,32.039512180738136,87.36140797223327,36.20197127422597
1996,4958.0927258288575,18.243819299376426,372.1566093851155,26.261208008139793,27.981917364358992,84.244129051512175,36.37520817041666
1997,4872.2481891838415,50.57588100630642,191.82752386694796,26.66922549122122,24.33734108538429,81.85313698320219,36.38295482751858
1998,4949.395990516968,47.54792606763645,138.52956010020233,29.051757573137387,23.33350787583803,82.23082281568045,37.20875216627042
1999,5094.842590956667,2.6165033617132707,125.55365772895195,33.19451262238442,24.73868483266068,83.7302229945789,38.46876358410873
2000,5202.62646531692,44.46781104528006,128.09157114280106,37.706366205848624,22.234561030346516,84.59268134570874,39.821519163877326
2001,5304.138211061569,23.684593694523723,117.09869105744184,40.41119920202014,22.5257135262259,85.34350782010236,41.42867262201796
2002,5493.373329829802,5.814442247994263,105.2480351245772,41.94372168722365,28.209724090594893,87.48316160037868,43.2841331762033
2003,5678.217119572214,27.555700931015924,98.02328965901329,46.484694150291894,27.83999496508669,89.51765360864763,45.02433906109328
2004,5872.9389637616205,7.436862488646959,126.73558315891813,53.150159025855785,28.565558346414257,91.67327170461998,47.22611056339925
2005,6009.168381410628,21.872120678583062,119.38988310478321,54.54612317719845,27.11443913896846,92.89001687620775,50.413879616526465
2006,6172.1534541094,-5.511655379403257,97.54166373661693,58.055945217809104,28.73125591949573,94.5003571170589,53.68630743425415
2007,6354.106084226539,7.90445532613426,101.53969261296103,61.929762664200304,29.168192203583317,96.37530400016873,56.57602845680242
2008,6448.3567111740285,41.312450028399525,98.69480692794987,63.63545974637605,23.767464362664935,96.90481606072323,59.13951509503654
2009,6615.9405658248825,-4.446886653531576,115.8650689622976,65.28595574546583,29.086069465903897,98.52385130911479,62.43292128324602
2010,6742.098168996431,-16.485627371085197,111.7677202063369,68.41855806750151,28.180167796989725,99.50958338821944,66.19915468573312
2011,6900.272741972487,-7.851447749369838,82.30536369254136,67.26983122780065,30.694185453699234,100.95338761352843,69.58269084546501
2012,7140.234520954732,9.398143875650062,102.62485851985261,67.80217229835097,35.23326235615934,103.56545577953672,72.90351300797055
2013,7277.214360480174,27.697924528628104,66.93112977585078,68.59827885145516,29.597349484304885,104.65903685281349,76.36497725976805
2014,7475.009460830687,30.784081944830938,91.71878499569542,62.41502480706367,31.44836373000712,106.60857293278198,80.02040011070082
2015,7667.9167528089865,8.922361666851959,107.34165311280312,66.0653943119995,33.075699531808155,108.46377738286633,83.05014017481567
2016,7842.8229579241815,-4.802589279856255,80.32455146171024,70.67813052887587,33.76066970119418,110.04323072800022,86.99523793336726
