run,year,N_HIV_Obs_M_LB,N_HIV_Obs_M_UB,N_CD4_1_Obs_M_LB,N_CD4_1_Obs_M_UB,N_CD4_2_Obs_M_LB,N_CD4_2_Obs_M_UB,N_CD4_3_Obs_M_LB,N_CD4_3_Obs_M_UB,N_CD4_4_Obs_M_LB,N_CD4_4_Obs_M_UB,N_AIDS_M_LB,N_AIDS_M_UB,N_HIVAIDS_Obs_M_LB,N_HIVAIDS_Obs_M_UB,N_Inf_M_LB,N_Inf_M_UB,N_Alive_LB,N_Alive_UB,N_Alive_Diag_M_LB,N_Alive_Diag_M_UB,N_Und_LB,N_Und_UB,N_Und_Alive_p_LB,N_Und_Alive_p_UB,delta1_LB,delta1_UB,delta2_LB,delta2_UB,delta3_LB,delta3_UB,delta4_LB,delta4_UB,t_diag_LB,t_diag_UB,t_diag_p50_LB,t_diag_p50_UB,t_diag_p25_LB,t_diag_p25_UB,t_diag_p75_LB,t_diag_p75_UB,D_Avg_Time_LB,D_Avg_Time_UB,N_Und_CD4_3_M_LB,N_Und_CD4_3_M_UB,N_Und_CD4_4_M_LB,N_Und_CD4_4_M_UB,Version,Timestamp
1,1980,0.650374,0.650374,0,0,0,0,0,0,0,0,0.650374,0.650374,0.650374,0.650374,296.925078,296.925078,296.896402,296.896402,0.650374,0.650374,296.246029,296.246029,99.780943,99.780943,0,0,0,0,0,0,0,0,11.567122,11.567122,10.8755,10.8755,6.3895,6.3895,17.2385,17.2385,0.5,0.5,32.265441,32.265441,7.430323,7.430323,ECDC HIV Modelling Tool v.1.3.0,2024/09/09 16:46:50
1,1981,8.169088,8.169088,0,0,0,0,0,0,0,0,8.169088,8.169088,8.169088,8.169088,784.597491,784.597491,1079.899066,1079.899066,7.584824,7.584824,1072.314242,1072.314242,99.297636,99.297636,0,0,0,0,0,0,0,0,11.567122,11.567122,10.8755,10.8755,6.3895,6.3895,17.2385,17.2385,1.151932,1.151932,156.040124,156.040124,42.524395,42.524395,ECDC HIV Modelling Tool v.1.3.0,2024/09/09 16:46:50
1,1982,28.884214,28.884214,0,0,0,0,0,0,0,0,28.884214,28.884214,28.884214,28.884214,1127.096256,1127.096256,2205.721766,2205.721766,36.469038,36.469038,2169.252728,2169.252728,98.346617,98.346617,0,0,0,0,0,0,0,0,11.567122,11.567122,10.8755,10.8755,6.3895,6.3895,17.2385,17.2385,1.661852,1.661852,363.512323,363.512323,113.214138,113.214138,ECDC HIV Modelling Tool v.1.3.0,2024/09/09 16:46:50
1,1983,64.808455,64.808455,0,0,0,0,0,0,0,0,64.808455,64.808455,64.808455,64.808455,1343.211882,1343.211882,3542.37529,3542.37529,97.576653,97.576653,3444.798637,3444.798637,97.245446,97.245446,0,0,0,0,0,0,0,0,11.567122,11.567122,10.8755,10.8755,6.3895,6.3895,17.2385,17.2385,2.169691,2.169691,635.609275,635.609275,220.715866,220.715866,ECDC HIV Modelling Tool v.1.3.0,2024/09/09 16:46:50
1,1984,601.1699,601.1699,21.215862,21.215862,13.748092,13.748092,9.509045,9.509045,28.118366,28.118366,122.555943,122.555943,82.195822,82.195822,1451.734877,1451.734877,4969.501139,4969.501139,677.761683,677.761683,4291.739457,4291.739457,86.361575,86.361575,0.073487,0.073487,0.106513,0.106513,0.084703,0.084703,1.061926,1.061926,6.186176,6.186176,4.9475,4.9475,2.3865,2.3865,8.7735,8.7735,2.411795,2.411795,875.950819,875.950819,191.277438,191.277438,ECDC HIV Modelling Tool v.1.3.0,2024/09/09 16:46:50
1,1985,761.422796,761.422796,21.037232,21.037232,12.450951,12.450951,8.648869,8.648869,17.371582,17.371582,187.694643,187.694643,85.08428,85.08428,1471.45575,1471.45575,6353.356871,6353.356871,1355.335975,1355.335975,4998.020896,4998.020896,78.667404,78.667404,0.100952,0.100952,0.127195,0.127195,0.094476,0.094476,0.990611,0.990611,5.574608,5.574608,4.4205,4.4205,2.1155,2.1155,7.9095,7.9095,2.711109,2.711109,1093.179805,1093.179805,226.956497,226.956497,ECDC HIV Modelling Tool v.1.3.0,2024/09/09 16:46:50
1,1986,963.83171,963.83171,16.729221,16.729221,9.408546,9.408546,6.619584,6.619584,11.317412,11.317412,262.875924,262.875924,102.761332,102.761332,1421.16501,1421.16501,7586.75432,7586.75432,2135.931051,2135.931051,5450.823269,5450.823269,71.846577,71.846577,0.128417,0.128417,0.147876,0.147876,0.104249,0.104249,0.919296,0.919296,5.08221,5.08221,3.9985,3.9985,1.9065,1.9065,7.2085,7.2085,3.044422,3.044422,1265.224242,1265.224242,274.412511,274.412511,ECDC HIV Modelling Tool v.1.3.0,2024/09/09 16:46:50
1,1987,1143.432177,1143.432177,16.836203,16.836203,9.194514,9.194514,6.605127,6.605127,10.09416,10.09416,343.455174,343.455174,122.294637,122.294637,1319.653165,1319.653165,8654.40857,8654.40857,3032.756498,3032.756498,5621.652072,5621.652072,64.957091,64.957091,0.155883,0.155883,0.168557,0.168557,0.114022,0.114022,0.847981,0.847981,4.677897,4.677897,3.6555,3.6555,1.7395,1.7395,6.6305,6.6305,3.382104,3.382104,1377.41738,1377.41738,319.106019,319.106019,ECDC HIV Modelling Tool v.1.3.0,2024/09/09 16:46:50
1,1988,1272.300821,1272.300821,31.704499,31.704499,17.031242,17.031242,12.575097,12.575097,17.395122,17.395122,424.709084,424.709084,139.573149,139.573149,1185.710723,1185.710723,9540.545134,9540.545134,4011.637184,4011.637184,5528.90795,5528.90795,57.951698,57.951698,0.183348,0.183348,0.189238,0.189238,0.123795,0.123795,0.776666,0.776666,4.340655,4.340655,3.3705,3.3705,1.6045,1.6045,6.1455,6.1455,3.712027,3.712027,1423.851552,1423.851552,355.532023,355.532023,ECDC HIV Modelling Tool v.1.3.0,2024/09/09 16:46:50
1,1989,1338.529906,1338.529906,41.803178,41.803178,22.26804,22.26804,16.986431,16.986431,21.350903,21.350903,502.349212,502.349212,152.913375,152.913375,1038.128193,1038.128193,10065.031718,10065.031718,4843.2677,4843.2677,5221.764019,5221.764019,51.880254,51.880254,0.210813,0.210813,0.209919,0.209919,0.133568,0.133568,0.705351,0.705351,4.055802,4.055802,3.1325,3.1325,1.4915,1.4915,5.7355,5.7355,4.030475,4.030475,1407.239468,1407.239468,381.250024,381.250024,ECDC HIV Modelling Tool v.1.3.0,2024/09/09 16:46:50
