stage,year,value,lower,upper
pldhiv,1980,2,2,2
pldhiv,1981,1.6699715694574275,1.5128489360163029,1.82709420289855
pldhiv,1982,3.6499491860916438,3.4736768796339277,3.82709420289855
pldhiv,1983,18.85196122817716,18.558762092561416,19.163423076964847
pldhiv,1984,480.94521815594436,474.9976847904972,486.9249097355856
pldhiv,1985,2318.2524525384847,2289.241181960247,2347.4655689200654
pldhiv,1986,3839.668081112665,3782.3739136132945,3897.598823802843
pldhiv,1987,5260.03034348427,5168.685191828406,5352.697660036585
pldhiv,1988,6423.901264872119,6296.724291095535,6553.324015834251
pldhiv,1989,7416.354271545125,7241.540376483677,7595.003505101439
pldhiv,1990,8103.086309643915,7872.456577813086,8339.872267162124
pldhiv,1991,8570.94373360697,8283.313714203561,8867.54221455029
pldhiv,1992,8918.574998391747,8574.567048285002,9274.719668431002
pldhiv,1993,9008.745952330557,8607.732866665914,9425.597653632702
pldhiv,1994,8904.589395836412,8448.222973266707,9380.874153194602
pldhiv,1995,8922.160247731867,8413.574275565277,9454.885253807912
pldhiv,1996,9078.3004996718,8521.51227839581,9663.445720401578
pldhiv,1997,9416.838550490162,8819.280796063877,10046.727855800014
pldhiv,1998,9799.757542627027,9161.147801252771,10475.004210383122
pldhiv,1999,10244.118417273205,9559.568716997106,10970.362864254683
pldhiv,2000,10634.433558521785,9898.82520866982,11417.775998474737
pldhiv,2001,11091.573831071033,10300.46960405762,11937.222451601343
pldhiv,2002,11660.034685589055,10809.80672715901,12572.197043726035
pldhiv,2003,12221.739976780182,11306.970752771223,13206.992361034934
pldhiv,2004,12932.537622134962,11892.414776659873,14036.786692028076
pldhiv,2005,13603.861167574498,12427.291357976432,14841.35771369947
pldhiv,2006,14348.717229000982,13026.747763467756,15731.392553275553
pldhiv,2007,15095.920336468345,13620.746322260396,16633.933614898368
pldhiv,2008,15725.47939698131,14094.829273009716,17422.534482863124
pldhiv,2009,16560.60964972156,14771.17473609521,18421.506906412105
pldhiv,2010,17354.502704261256,15394.890138316292,19397.60751036881
pldhiv,2011,18224.840486327073,16093.596570034557,20453.03089376292
pldhiv,2012,19192.289628940987,16888.04312437966,21607.10431625239
pldhiv,2013,20049.682376484703,17563.725959895906,22663.69974617219
pldhiv,2014,20919.323915686502,18250.399587184264,23735.349744472227
pldhiv,2015,21883.546396277536,19028.62094416414,24899.761041306774
pldhiv,2016,22804.233429367898,19746.616965929657,26045.829465661413
pldhiv,2017,23642.90068109567,20381.87719708826,27114.526258194997
pldhiv,2018,24414.781007241927,20958.109958152076,28104.163585197282
pldhiv,2019,25295.779445562785,21637.36544493918,29207.648881235356
pldhiv,2020,25996.622865832902,22201.986012497568,30042.731989256252
pldhiv,2021,26345.28538410572,22383.702256771456,30564.62029659798
pldhiv,2022,26821.890683349233,22625.632391536805,31289.84903958965
pldhiv,2023,27651.21261336437,23203.796104660883,32387.57732648027
retained,2013,19047.198257660468,16053.24552734486,22391.735349218125
retained,2014,19916.590989327928,16729.53295491891,23458.437330786717
retained,2015,20879.821068234938,17493.6455213349,24617.563749505298
retained,2016,21805.408005161582,18206.380842587147,25759.325341539137
retained,2017,22656.20362600461,18846.442448240945,26825.30464477425
retained,2018,23446.328027287997,19435.153967859693,27813.75389481691
retained,2019,24344.658138409624,20122.749863793437,28915.572392423004
retained,2020,25138.734311260414,21469.320474085147,29051.321833610793
retained,2021,25475.89096643023,21645.040082297997,29555.987826810244
retained,2022,25936.768290798707,21878.98652261609,30257.28402128319
retained,2023,26738.722597123342,22438.070833207075,31318.78727470642
