stage,year,value,lower,upper
infected,1980,912.9428189648332,891.1767386945381,942.0621292892777
infected,1981,238.18930035063087,232.59712227036695,245.8857716360306
infected,1982,220.8038904002597,215.85700853555034,227.76646260819882
infected,1983,684.635441050932,670.4618850060194,704.5436168419287
infected,1984,3700.3819831688047,3611.533218253694,3791.092814599771
infected,1985,11407.597567549938,11125.47805621491,11685.434501904114
infected,1986,14268.080796196808,13907.34268216771,14639.313701628027
infected,1987,15537.835780850839,15126.59349727317,15962.648973861384
infected,1988,15646.955943633548,15222.046738971861,16118.839383597511
infected,1989,15664.600597239623,15199.620421511805,16211.032345300111
infected,1990,15244.504660482567,14704.857471156345,15848.25826903035
infected,1991,14615.808206567832,14022.01874395895,15265.823910943956
infected,1992,14022.879096971279,13391.678374376865,14701.801018370752
infected,1993,13333.269289546057,12668.832691959258,14066.961917394936
infected,1994,12624.94103316842,11919.242333779524,13382.375521826532
infected,1995,12219.507249119024,11481.644707708072,12990.621745401235
infected,1996,12085.19265203406,11335.961672092828,12868.34711395438
infected,1997,12179.190144874392,11426.201752816227,12969.642076065185
infected,1998,12404.833842931132,11640.467672473604,13206.242359710344
infected,1999,12780.011398246126,11988.169500118007,13622.110612600614
infected,2000,13143.170299064372,12297.647798381695,14068.750358483621
infected,2001,13614.318939452662,12699.266086145546,14618.482958358476
infected,2002,14228.645663614032,13248.727567745746,15299.7529810845
infected,2003,14832.826632502329,13787.517097480344,15972.318540406335
infected,2004,15584.49433438034,14408.080400027799,16837.59288676126
infected,2005,16300.323301525488,14988.388281211457,17681.2792786012
infected,2006,17090.13407082189,15632.054556633497,18599.56106664981
infected,2007,17857.42299418614,16251.964942477789,19509.097270458486
infected,2008,18471.63495402243,16719.166560667498,20269.378134668845
infected,2009,19301.069138543022,17391.440337414224,21264.16389947948
infected,2010,20069.37849314972,17987.321515862204,22215.527522649536
infected,2011,20909.321898060476,18636.521069202685,23241.553753142416
infected,2012,21855.727565194185,19413.429439288135,24385.133579747086
infected,2013,22682.32336348711,20033.24936448383,25423.911502691622
infected,2014,23539.75999444296,20710.965164771795,26475.880967276757
infected,2015,24503.88947415943,21497.991152043738,27641.226809114185
infected,2016,25435.54545721,22240.53977801773,28797.073323928704
infected,2017,26280.18855059299,22894.44700386948,29875.019815757492
infected,2018,27044.113518946488,23471.384400257513,30867.44342972504
infected,2019,27918.641536321215,24152.282348527795,31983.043883145758
infected,2020,28636.36115620842,24688.57044776844,32885.81578827273
infected,2021,29061.936545673223,24867.829603901693,33551.89507365918
infected,2022,29482.35392252003,24944.426400672957,34311.158775650234
infected,2023,30011.964502683015,25099.29723233998,35221.08675035641
