year,notifications,annunique,cumunique,propunique,unique,duplicates,totalnotifications,cumpropunique,cum_unique,cumduplicates,propunique_replace,unique_replace,duplicates_replace,cumpropunique_replace,cum_unique_replace,cumduplicates_replace
1980,2,1,1,1,2,0,2,1,2,0,1,2,0,1,2,0
1981,1,1,1,1,1,0,3,1,3,0,1,1,0,1,3,0
1982,2,1,1,1,2,0,5,1,5,0,1,2,0,1,5,0
1983,20,0.9530476014684469,0.9624380811747575,0.9530476014684469,19.060952029368938,0.9390479706310622,25,0.9624380811747575,24.060952029368938,0.9390479706310622,0.9530476014684469,19.060952029368938,0.9390479706310622,0.9624380811747575,24.060952029368938,0.9390479706310622
1984,541,0.9020643749116942,0.9047310580505221,0.9020643749116942,488.01682682722657,52.983173172773434,566,0.9047310580505221,512.0777788565955,53.9222211434045,0.9020643749116942,488.01682682722657,52.983173172773434,0.9047310580505221,512.0777788565955,53.9222211434045
1985,2098,0.9273214365902581,0.9225218291377467,0.9273214365902581,1945.5203739663616,152.4796260336384,2664,0.9225218291377467,2457.598152822957,206.40184717704278,0.9273214365902581,1945.5203739663616,152.4796260336384,0.9225218291377467,2457.598152822957,206.40184717704278
1986,1945,0.8917521477725641,0.9095370102496407,0.8917521477725641,1734.4579274176372,210.54207258236283,4609,0.9095370102496407,4192.056080240594,416.9439197594056,0.8917521477725641,1734.4579274176372,210.54207258236283,0.9095370102496407,4192.056080240594,416.9439197594056
1987,2419,0.7029912172603184,0.8384450533285863,0.7029912172603184,1700.5357545527104,718.4642454472896,7028,0.8384450533285863,5892.591834793305,1135.4081652066952,0.7029912172603184,1700.5357545527104,718.4642454472896,0.8384450533285863,5892.591834793305,1135.4081652066952
1988,1818,0.8205046203289976,0.8347579962187907,0.8205046203289976,1491.6773997581176,326.32260024188236,8846,0.8347579962187907,7384.269234551422,1461.7307654485776,0.8205046203289976,1491.6773997581176,326.32260024188236,0.8347579962187907,7384.269234551422,1461.7307654485776
1989,1787,0.86382654437573,0.8396433056852113,0.86382654437573,1543.6580347994295,243.34196520057048,10633,0.8396433056852113,8927.927269350852,1705.072730649148,0.86382654437573,1543.6580347994295,243.34196520057048,0.8396433056852113,8927.927269350852,1705.072730649148
1990,1564,0.8892557144247063,0.8460050181775103,0.8892557144247063,1390.7959373602407,173.2040626397593,12197,0.8460050181775103,10318.723206711093,1878.2767932889074,0.8892557144247063,1390.7959373602407,173.2040626397593,0.8460050181775103,10318.723206711093,1878.2767932889074
1991,1492,0.8373195712308088,0.8450583685431704,0.8373195712308088,1249.2808002763668,242.7191997236332,13689,0.8450583685431704,11568.00400698746,2120.9959930125406,0.8373195712308088,1249.2808002763668,242.7191997236332,0.8450583685431704,11568.00400698746,2120.9959930125406
1992,1256,0.9389652235211247,0.8529504401291397,0.9389652235211247,1179.3403207425326,76.65967925746736,14945,0.8529504401291397,12747.344327729992,2197.655672270008,0.9389652235211247,1179.3403207425326,76.65967925746736,0.8529504401291397,12747.344327729992,2197.655672270008
1993,1101,0.9322464603839538,0.858391354892978,0.9322464603839538,1026.403352882733,74.59664711726691,16046,0.858391354892978,13773.747680612725,2272.252319387275,0.9322464603839538,1026.403352882733,74.59664711726691,0.858391354892978,13773.747680612725,2272.252319387275
1994,1049,0.8585484769548976,0.8584009963696059,0.8585484769548976,900.6173523256875,148.38264767431247,17095,0.8584009963696059,14674.365032938413,2420.6349670615873,0.8585484769548976,900.6173523256875,148.38264767431247,0.8584009963696059,14674.365032938413,2420.6349670615873
1995,950,0.9532753802919424,0.8633957685905103,0.9532753802919424,905.6116112773452,44.38838872265478,18045,0.8633957685905103,15579.976644215758,2465.023355784242,0.9532753802919424,905.6116112773452,44.38838872265478,0.8633957685905103,15579.976644215758,2465.023355784242
1996,921,0.9563178780216801,0.8679081203139157,0.9563178780216801,880.7687656579674,40.23123434203262,18966,0.8679081203139157,16460.745409873725,2505.2545901262747,0.9563178780216801,880.7687656579674,40.23123434203262,0.8679081203139157,16460.745409873725,2505.2545901262747
1997,836,0.8793305059078838,0.8683903501066921,0.8793305059078838,735.1203029389908,100.87969706100921,19802,0.8683903501066921,17195.865712812716,2606.134287187284,0.8793305059078838,735.1203029389908,100.87969706100921,0.8683903501066921,17195.865712812716,2606.134287187284
1998,775,0.8843162887329808,0.8689901752724293,0.8843162887329808,685.3451237680601,89.65487623193985,20577,0.8689901752724293,17881.210836580776,2695.7891634192238,0.8843162887329808,685.3451237680601,89.65487623193985,0.8689901752724293,17881.210836580776,2695.7891634192238
1999,729,1.000955587914393,0.8735054660738932,1.000955587914393,729.6966235895925,-0.696623589592491,21306,0.8735054660738932,18610.90746017037,2695.0925398296313,1.000955587914393,729.6966235895925,-0.696623589592491,0.8735054660738932,18610.90746017037,2695.0925398296313
2000,776,0.8910769468149606,0.8741229585589521,0.8910769468149606,691.4757107284095,84.52428927159053,22082,0.8741229585589521,19302.38317089878,2779.616829101222,0.8910769468149606,691.4757107284095,84.52428927159053,0.8741229585589521,19302.38317089878,2779.616829101222
2001,788,0.9476974794159816,0.8766580141967019,0.9476974794159816,746.7856137797935,41.21438622020651,22870,0.8766580141967019,20049.16878467857,2820.8312153214283,0.9476974794159816,746.7856137797935,41.21438622020651,0.8766580141967019,20049.16878467857,2820.8312153214283
2002,865,0.9733893053137127,0.8801832961354511,0.9733893053137127,841.9817490963615,23.018250903638545,23735,0.8801832961354511,20891.150533774933,2843.849466225067,0.9733893053137127,841.9817490963615,23.018250903638545,0.8801832961354511,20891.150533774933,2843.849466225067
2003,881,0.9419838009900918,0.8823951195339294,0.9419838009900918,829.8877286722709,51.112271327729104,24616,0.8823951195339294,21721.038262447204,2894.961737552796,0.9419838009900918,829.8877286722709,51.112271327729104,0.8823951195339294,21721.038262447204,2894.961737552796
2004,918,0.9875939753924038,0.8861772355235149,0.9875939753924038,906.6112694102267,11.388730589773331,25534,0.8861772355235149,22627.64953185743,2906.3504681425693,0.9875939753924038,906.6112694102267,11.388730589773331,0.8861772355235149,22627.64953185743,2906.3504681425693
2005,981,0.9422663040955864,0.8882524147152631,0.9422663040955864,924.3632443177703,56.636755682229705,26515,0.8882524147152631,23552.0127761752,2962.987223824799,0.9422663040955864,924.3632443177703,56.636755682229705,0.8882524147152631,23552.0127761752,2962.987223824799
2006,1020,1.0059206144279789,0.8926112875573539,1.0059206144279789,1026.0390267165385,-6.039026716538501,27535,0.8926112875573539,24578.05180289174,2956.9481971082605,1.0059206144279789,1026.0390267165385,-6.039026716538501,0.8926112875573539,24578.05180289174,2956.9481971082605
