year,diagnoses,diagnoses_lower,diagnoses_upper,undiag,undiag_lower,undiag_upper,undiag_percent,uplower,upupper,infections,infections_lower,infections_upper,start_plhiv,start_plhiv_lower,start_plhiv_upper,deaths,deaths_lower,deaths_upper,ydf,ydf_lower,ydf_upper,cdr,cdr_lower,cdr_upper,ipr,ipr_lower,ipr_upper,imr,imr_lower,imr_upper
2000,631.3995424403247,631.1235408918297,632.0435460534796,2258.7393492137217,2144.759090134183,2440.5752754414825,18.697689243184005,16.559209802700625,21.57219357985622,638.884664,615.911454,669.822497,11768.140943749464,11037.358302927129,12575.894882803745,234.8867074426795,229.69596976684747,239.5117318792413,0.2184668509404994,0.20546400497858774,0.22761558125039344,0.9882840800829188,0.9422250577108188,1.0261922260881993,0.05428934502516623,0.04897555678858259,0.06068684902821011,2.719969431032661,2.571529374229295,2.9161264678692547
2001,641.559414691187,639.7695150183145,642.5956723965344,2246.390340763543,2119.869025452997,2417.0532167616857,18.034794770576212,15.860690032445486,20.77878762361002,685.473981,662.068777,715.368033,12080.312812114553,11313.523895504322,12952.061817493228,218.66309906897283,213.96493196110953,222.83492066148764,0.22215047664157458,0.20929231792442676,0.2326167906857849,0.9359354730798849,0.8943222027064137,0.9705874898802763,0.056743065486895596,0.05111686357965039,0.06323123012841889,3.134840692913536,2.971117700199961,3.343389154677113
2002,721.3845328308141,720.3322546367896,723.2021042568565,2265.680582601012,2129.8179109891016,2442.212533351314,17.452684193741597,15.266766328182673,20.180788400656834,728.865614,703.49661,758.704332,12455.86861031838,11632.311088329783,13365.553586360227,198.9276816734645,194.83161100111244,202.5303951541236,0.24150278114259555,0.22776981922050146,0.253486516180122,0.9897359938162951,0.949424201569986,1.0280107877944948,0.058515839946819234,0.05263505214762897,0.06522386877713206,3.6639727958847743,3.4735359572307463,3.8941541780695332
2003,721.6672708349408,721.022678402142,721.9435247347118,2289.4842518717805,2148.348599454047,2454.0683547914145,16.96236298082484,14.80569457662168,19.536287227696416,767.223254,743.427207,793.967047,12981.845986839482,12101.67058325544,13950.681272021742,186.9544448755753,183.27181059465195,190.1745366666196,0.23966488082480647,0.22708724596060673,0.25152266511505594,0.9406222596518703,0.9081267051655634,0.9711018347687561,0.05909970390788665,0.05328967041136207,0.06560805316404646,4.103797877127842,3.9091837426334592,4.332183135114226
2004,753.5141170675716,752.5430937208351,754.4851404143083,2317.0336387507955,2185.9418907161644,2476.80461481686,16.38919520900862,14.3409490346006,18.898531467836257,800.368339,776.219815,823.041322,13497.436969483177,12561.590266303538,14510.285811557316,107.86762565689988,71.99943975214383,159.23408362434768,0.2454005529273209,0.2330325383455223,0.256590329372751,0.9414591761701004,0.9143442420268117,0.9719993303885295,0.05929780156110975,0.05349445387090499,0.06552047189501223,7.41991245404597,4.874708965143391,11.431218421050193
2005,853.3236031806933,853.3236031806933,853.3236031806933,2360.903005414774,2241.9093171628447,2519.767299816173,15.93516590253592,13.987154935747366,18.41795016005806,828.273011,804.078558,847.591834,14137.568130723072,13105.804644303593,15242.658525890534,154.59913404347748,111.52488930447272,211.77883440172104,0.26548333614647457,0.25297972326288237,0.2756896250269862,1.0302443661063505,1.006762416709047,1.0612440721005936,0.058586668042294884,0.05275185799342196,0.06467300993750152,5.357552719325499,3.796784321112807,7.600023988241763
2006,857.5549187042473,857.4529623472499,858.4725259172229,2396.2326905313453,2287.5032478485236,2548.1926496704627,15.470133574895202,13.605120455839364,17.891153947824307,850.909413,826.725059,871.236815,14815.678856779645,13681.040929737374,16028.344058970377,172.33254555320693,126.81215975803184,231.26946383428043,0.2635558990605755,0.25177398356467345,0.27287957303295685,1.0078098862260998,0.9841789827800722,1.0384014813287799,0.057433035720170486,0.05157894389828233,0.0636820560273497,4.9376013698891565,3.5747264048331178,6.870293958106165
2007,846.6333826333893,846.6333826333893,846.6333826333893,2417.5358682280544,2317.113500192367,2558.009215310311,14.961439489502617,13.168694198554276,17.292401963438806,868.249685,841.700185,888.778633,15489.411768363336,14242.751792878857,16813.54645314235,166.77018183288138,121.36360715816625,225.82370262085192,0.2593717781055486,0.24867026663671832,0.2676046516961571,0.9751035874356686,0.9525807115497895,1.0058609915042245,0.05605440012727754,0.05006083560929475,0.06240217100773846,5.206264545961003,3.727244639209453,7.32327139750968
2008,722.2274582745988,721.9519041127238,722.8704179856408,2405.228903355202,2296.8144474006804,2528.9031640813546,14.419206719895586,12.600175866308083,16.661094194679055,880.265969,851.725258,902.950768,16158.444312288722,14792.67727362972,17595.620835714682,147.34109701149612,103.72270010854557,205.54448728828623,0.23093126642324333,0.22208061847364485,0.23938604530283025,0.8204650454624116,0.7995473614932722,0.8487131398252378,0.054477148417718994,0.04840552464458726,0.061040388517746694,5.974341082388699,4.143751405044561,8.705430605403293
2009,843.0785828369266,842.9770002759172,843.9928258860098,2400.1691559754413,2268.792521713465,2496.381446525793,13.79144595165699,11.907550366899908,15.852464542443917,886.930407,856.919447,912.919266,16680.72973831822,15178.493888408564,18228.43166453088,113.19594041075064,75.00083385872301,166.80379512549354,0.25994886938413475,0.25243681195209317,0.2711374963702146,0.9505577621231861,0.9233861434094406,0.9849150102039985,0.05317095959912254,0.04701004797178493,0.06014557654479629,7.835355259045711,5.13728987014536,12.172121548936918
2010,837.522642938832,836.266391781426,839.4070196749408,2384.961098948436,2251.6074496474803,2475.958073753432,13.184836265016688,11.326494690956638,15.199129552935297,888.215141,858.480797,914.97535,17403.317711491087,15747.592053222374,19053.39429023249,170.03690694854456,125.31369679040534,226.6299121864652,0.2598997264291337,0.25247877989041595,0.27156360088438747,0.9429276807822756,0.9139769631842278,0.9777819406191571,0.05103711578014392,0.045056580676551196,0.05810255605476978,5.223660891860294,3.788029517893756,7.30147919528981
2011,860.4713908592352,860.4713908592352,860.4713908592352,2360.501886199658,2231.8753802182077,2444.613278444006,12.558013940664123,10.768848763384485,14.496422471463127,884.092312,853.897163,912.825377,18088.666791232372,16290.13072840917,19879.11980787155,151.602923519733,109.17667575455948,206.32169164042395,0.2671463923615477,0.26034776018026634,0.2782583761003711,0.9732822909778173,0.9426462196824258,1.0076990861945694,0.04887548221234978,0.042954475412029146,0.056035485056487505,5.831631023163775,4.138668872917958,8.360992590140098
2012,954.8805568994875,954.4849245320806,955.4740054505978,2341.641879846199,2199.379782574764,2455.289478508514,11.947394424370302,10.134579344067228,14.019785310868976,874.534063,844.708391,903.859103,18796.777080777985,16863.56260143728,20725.29226900168,112.60088636660042,75.44069564428455,163.7563904762356,0.2896629934186468,0.279926121704984,0.30285841108618655,1.0918734870359046,1.0560107447765348,1.1311288198753051,0.04652574530419465,0.040757369306844954,0.05359834836578151,7.76667121564865,5.158323217453822,11.981054724917255
2013,851.815904176321,851.815904176321,851.815904176321,2319.3581302725133,2159.218353154267,2445.823533217801,11.432479469895968,9.572911724499084,13.560022672687202,859.503352,830.777002,887.710474,19599.603032019404,17513.031933556264,21701.737269068584,146.58645899667746,103.9710529982993,202.05940540027905,0.26861215906883235,0.2583108069721071,0.28289811120631114,0.9910559420090791,0.9595650035963427,1.0253243675807977,0.04385310001410997,0.03828158970406963,0.050688565941519305,5.863456678624603,4.111548286278649,8.538054087174828
2014,1055.8932806602256,1055.8932806602256,1055.8932806602256,2314.639003915023,2150.518166455701,2440.8562740681086,11.012199546561265,9.172467311161672,13.112290338607808,838.862123,809.108816,869.28851,20287.446274273683,18037.016546765917,22555.502602498414,209.1309865299891,158.7535283601985,270.17862198975513,0.3132719676035645,0.3019642282451821,0.3293068584850428,1.258720893111806,1.214663795176846,1.3050077564106353,0.04134882782480873,0.035871903644052565,0.04819469493450487,4.0111804420704935,2.9947181240367735,5.475711431292771
2015,1031.3993867628592,1031.3993867628592,1031.3993867628592,2320.050897898507,2164.9115347351003,2425.52682104319,10.60830076177487,8.862107992425868,12.55084571919171,812.37131,784.90734,842.335888,21018.861800754472,18615.026139874702,23445.362011144003,96.4282617091102,58.719867652176085,152.49951918569374,0.30774718380376415,0.29835736280221054,0.3226843107864773,1.2696157213662054,1.2244514349397626,1.3140396760245092,0.03864963372901762,0.033478149734984655,0.04525031991202295,8.424618422041409,5.1469496047672365,14.344989552591134
2016,1037.8523420248853,1037.8523420248853,1037.8523420248853,2335.042506570058,2200.5035189792948,2435.179370148355,10.317134639903813,8.663891600478125,12.227460786855792,779.782659,754.605668,808.046141,21870.146312766687,19325.604627059325,24428.855263165085,156.1827567188513,109.0511518435769,217.94304604892187,0.30770373480727586,0.298831806915881,0.32048742836528726,1.3309507848710513,1.284397374561418,1.375357204479526,0.03565511852770744,0.03088993159404518,0.04181220492675246,4.992757685816158,3.4623984645539596,7.409790060347665
2017,982,982,982,2342.1838086519756,2202.4296858267103,2458.202663355592,10.055683727805084,8.364467260337202,12.081126980836231,740.847921,712.963736,769.886305,22632.664863544203,19915.658799463177,25398.557835809697,219.46360765564833,165.79857852222963,284.20311089836645,0.29541086068830263,0.2854482994447054,0.30837546967065876,1.3255082077769642,1.2755130122752345,1.3773491559464113,0.03273357006197394,0.02807103224557045,0.03865733555451111,3.375721054227976,2.5086415618264017,4.643503652817968
2018,866,866,866,2337.56519466426,2207.1315692847243,2460.2064077048517,9.79692003170164,8.119454691905391,11.8920739862788,695.318844,649.859119,740.492845,23292.138774965417,20347.461517910808,26330.7825504947,179.4838350904208,128.53750493320203,244.1605005001341,0.2703238259181919,0.26035666277173614,0.2817972418283291,1.245471782438849,1.1694913811084833,1.3325965192772806,0.02985208231488533,0.02468058508150152,0.036392394419725665,3.873991458059221,2.661606269928346,5.760908813227836
