run,year,N_HIV_M,Cum_HIV_M,N_HIV_Obs_M,N_HIV_D,N_CD4_1_M,N_CD4_1_Obs_M_NoW,N_CD4_1_Obs_M,N_CD4_1_D,N_CD4_2_M,N_CD4_2_Obs_M_NoW,N_CD4_2_Obs_M,N_CD4_2_D,N_CD4_3_M,N_CD4_3_Obs_M_NoW,N_CD4_3_Obs_M,N_CD4_3_D,N_CD4_4_M,N_CD4_4_Obs_M_NoW,N_CD4_4_Obs_M,N_CD4_4_D,N_HIVAIDS_M,N_HIVAIDS_Obs_M,N_HIVAIDS_D,N_AIDS_M,N_AIDS_D,N_Dead_D,Cum_Dead_D,N_Diag_Dead_M,Cum_Diag_Dead_M,N_Und_Dead_D,Cum_Und_Dead_D,N_Und_Dead_M,Cum_Und_Dead_M,N_Emig_D,Cum_Emig_D,Cum_Inf_M,Cum_Inf_D,N_Inf_M,N_Inf_D,delta1,delta2,delta3,delta4,t_diag,t_diag_p50,t_diag_p25,t_diag_p75,D_Avg_Time,t_diag_1,t_diag_2,t_diag_3,t_diag_4,t_diag_5,t_diag_6,t_diag_7,t_diag_8,t_diag_9,t_diag_10,t_diag_11,t_diag_12,t_diag_13,t_diag_14,t_diag_15,N_Alive,N_Alive_Diag_M,N_Und,N_Und_1,N_Und_2,N_Und_Inf_p,N_Und_Alive_p,N_Und_PrimInf,N_Und_CD4_1_M,N_Und_CD4_2_M,N_Und_CD4_3_M,N_Und_CD4_4_M,N_Und_HIVAIDS_M,N_Und_500,N_Und_350,N_Und_T_1,N_Und_T_1_p,N_Und_PrimInf_T_1,N_Und_CD4_1_T_1,N_Und_CD4_2_T_1,N_Und_CD4_3_T_1,N_Und_CD4_4_T_1,N_Und_CD4_5_T_1,N_Und_T_2,N_Und_T_2_p,N_Und_PrimInf_T_2,N_Und_CD4_1_T_2,N_Und_CD4_2_T_2,N_Und_CD4_3_T_2,N_Und_CD4_4_T_2,N_Und_CD4_5_T_2,N_Und_T_3,N_Und_T_3_p,N_Und_PrimInf_T_3,N_Und_CD4_1_T_3,N_Und_CD4_2_T_3,N_Und_CD4_3_T_3,N_Und_CD4_4_T_3,N_Und_CD4_5_T_3,LL_HIV,LL_CD4_1,LL_CD4_2,LL_CD4_3,LL_CD4_4,LL_AIDS,LL_HIVAIDS,Version,Timestamp
0,1990,1246.250313,6761.680819,1246.250313,1303.700442,417.187136,417.187136,26.903706,12,249.553036,249.553036,16.093261,9,180.650866,180.650866,11.649875,20,235.80664,235.80664,15.206779,33,163.052634,163.052634,156.206194,540.569445,568.111276,640.866834,1961.873325,412.069421,1552.156069,0,0,7.189276,41.806901,0,0,11547.71684,0,789.74373,0,0.203525,0.225923,0.123441,0.634384,4.108914,3.1775,1.5135,5.8165,4.530773,15.614424,17.627064,14.555559,11.766254,9.370036,7.362248,5.715692,4.390428,3.340915,2.521318,1.888943,1.406079,1.040692,0.766363,0.56181,9544.036614,4799.807493,4744.22912,0,4744.229294,41.083698,49.708832,182.570195,1812.996549,984.036582,1353.024892,397.816132,13.78477,1995.566744,1764.625794,732.588063,15.441667,179.118274,303.221448,128.375573,99.841699,21.368653,0.662417,2451.068301,51.664206,3.450984,1042.097682,550.873945,662.782036,185.437223,6.42643,1560.57293,32.894131,0,467.678027,304.787296,590.401315,191.010278,6.696014,0,10.430835,3.725354,4.917223,15.54813,1.380005,0.291586,ECDC HIV Modelling Tool v.1.3.0,2024/10/01 00:15:02
0,1991,1206.236921,7967.917739,1206.236921,1174.221323,402.363464,402.363464,22.638127,9,241.362652,241.362652,13.579758,9,183.463632,183.463632,10.322192,6,212.912313,212.912313,11.97906,33,166.13486,166.13486,161.11994,595.450079,640.034494,713.901035,2675.77436,477.496683,2029.652752,0,0,7.325177,49.132078,0,0,12218.00506,0,670.28822,0,0.227526,0.251203,0.135535,0.567133,3.862583,2.9725,1.4175,5.4605,4.861269,16.830212,18.602878,15.010138,11.86777,9.251305,7.119696,5.416159,4.077803,3.042042,2.250927,1.653556,1.20696,0.875981,0.63255,0.454705,9493.098622,5292.14338,4200.955243,0,4200.955706,34.383316,44.252729,155.71444,1550.923765,846.826865,1235.060731,398.588151,13.84129,1706.638205,1647.490172,618.264258,14.71723,152.799139,254.609158,107.704951,84.122677,18.457081,0.571253,2038.108174,48.515351,2.913068,855.335909,451.204215,555.44532,167.405765,5.803897,1544.583274,36.76743,0,440.98012,287.918236,595.493091,212.725362,7.466465,0,10.672857,1.755113,2.133944,24.839052,3.257933,0.152926,ECDC HIV Modelling Tool v.1.3.0,2024/10/01 00:15:02
0,1992,1127.6934,9095.61114,1127.6934,1085.235663,374.837497,374.837497,74.994356,68,224.818796,224.818796,44.979867,41,179.071041,179.071041,35.827038,25.1,184.219182,184.219182,36.857035,54,164.746885,164.746885,145.072469,639.137534,691.293713,762.438719,3438.213079,536.113292,2565.766044,0,0,7.263978,56.396056,0,0,12801.004031,0,582.998971,0,0.251528,0.276483,0.147629,0.499882,3.649826,2.7965,1.3365,5.1535,5.157988,18.015592,19.498859,15.381085,11.90432,9.092665,6.860935,5.119541,3.781817,2.768497,2.010404,1.44944,1.038332,0.739592,0.524123,0.369736,9306.394895,5657.398061,3648.996834,0,3648.997086,28.505552,39.209564,136.554206,1301.748244,711.86635,1095.137283,390.12097,13.56978,1438.30245,1498.828034,534.908855,14.659066,134.068202,218.934149,92.526687,72.557331,16.318429,0.504056,1666.336073,45.665594,2.484538,690.875953,363.160727,456.144807,148.519966,5.150082,1447.752158,39.675347,0,391.939066,256.179284,566.435378,225.282614,7.915816,0,0.673611,0.363014,3.591159,6.963324,4.144884,2.449109,ECDC HIV Modelling Tool v.1.3.0,2024/10/01 00:15:02
0,1993,1029.075568,10124.686708,1029.075568,946.215956,341.17642,341.17642,129.730176,133,199.737823,199.737823,75.949044,69,166.733365,166.733365,63.399308,59,162.342302,162.342302,61.729633,50,159.085658,159.085658,128.319381,671.694641,744.810319,860.384522,4298.597601,586.080265,3151.846309,0,0,7.014365,63.410422,0,0,13326.168176,0,525.164146,0,0.27553,0.301763,0.159723,0.432631,3.465358,2.6445,1.2655,4.8875,5.407623,19.170774,20.317027,15.673495,11.883479,8.902597,6.593789,4.831929,3.506328,2.521883,1.79937,1.274664,0.897172,0.627844,0.437103,0.302901,8964.160153,5826.089107,3138.071047,0,3138.070188,23.548187,35.006861,124.28298,1085.423976,594.865291,953.020945,367.63878,12.839075,1209.706956,1333.4988,479.770121,15.288695,122.103832,194.956302,82.619499,64.895468,14.740022,0.454998,1362.374352,43.414388,2.17883,559.031372,294.114821,373.894692,128.680818,4.473819,1295.925715,41.296889,0,331.436491,218.131042,514.230835,224.217948,7.9094,0,0.081731,0.656141,0.312587,2.385158,7.684809,6.375632,ECDC HIV Modelling Tool v.1.3.0,2024/10/01 00:15:02
0,1994,924.544361,11049.231069,924.544361,765.740441,307.869502,307.869502,223.230512,208,173.082323,173.082323,125.498809,100.1,150.258673,150.258673,108.9498,80.2,145.894981,145.894981,105.785767,60,147.43888,147.43888,147.465204,693.688132,719.134353,925.624173,5224.221775,626.526886,3778.373196,0,0,6.500838,69.91126,0,0,13819.307164,0,493.138988,0,0.298425,0.311874,0.166259,0.4209,3.332382,2.5335,1.2135,4.6935,5.578269,20.109168,20.940805,15.861134,11.828474,8.727538,6.371954,4.605233,3.296943,2.339817,1.647415,1.151609,0.799826,0.552276,0.37935,0.259343,8525.17413,5825.009295,2700.164835,0,2700.164701,19.539075,31.672841,118.022572,911.066563,501.745689,823.207849,334.420365,11.701799,1029.089134,1169.330012,448.794545,16.621005,116.039303,180.972044,77.001171,60.538007,13.818074,0.425946,1135.245542,42.043564,1.983049,461.465175,244.862533,312.469612,110.61589,3.849284,1116.124613,41.335425,0,268.629475,179.882034,450.200262,209.986406,7.426436,0,1.063617,5.527076,8.358861,23.522964,0.922223,5E-06,ECDC HIV Modelling Tool v.1.3.0,2024/10/01 00:15:02
0,1995,827.581989,11876.813058,827.581989,837.04229,279.931159,279.931159,146.81481,175,151.87939,151.87939,79.655812,88,134.785504,134.785504,70.690623,57,127.852599,127.852599,67.05454,47.1,133.133336,133.133336,137.094316,705.960723,737.241462,804.97989,6029.201664,657.166993,4435.540189,0,0,5.870082,75.781342,0,0,14302.585905,0,483.278741,0,0.32132,0.321985,0.172795,0.40917,3.211504,2.4315,1.1665,4.5165,5.630208,21.03206,21.526083,16.011936,11.748614,8.540981,6.149688,4.38587,3.099536,2.171888,1.509986,1.042327,0.714859,0.487408,0.330574,0.223137,8197.602899,5847.611394,2349.991505,0,2349.991509,16.430536,28.666813,116.892303,779.914944,431.014568,712.015666,299.66104,10.492984,896.807247,1022.16969,438.177224,18.645907,115.00782,175.368993,74.912603,58.949854,13.521703,0.41625,979.303927,41.672658,1.88316,394.434465,211.800185,270.387419,97.408541,3.390158,932.510357,39.681435,0,210.112341,144.3021,382.678596,188.730827,6.686493,0,5.094512,0.845063,2.841416,6.634501,1.366003,0.116695,ECDC HIV Modelling Tool v.1.3.0,2024/10/01 00:15:02
0,1996,747.689692,12624.50275,747.689692,822.245777,259.891666,259.891666,172.508706,208,136.245553,136.245553,90.435929,91,121.430805,121.430805,80.602319,87,111.022975,111.022975,73.693898,68,119.098693,119.098693,138.275566,710.210383,627.277229,649.371244,6678.572908,678.405687,5113.945876,0,0,5.25127,81.032611,0,0,14794.524552,0,491.938647,0,0.344216,0.332095,0.17933,0.39744,3.101117,2.3385,1.1245,4.3545,5.54484,21.939723,22.074564,16.128941,11.647348,8.345954,5.929132,4.174955,2.91428,2.01752,1.385983,0.945412,0.640734,0.431705,0.289327,0.192977,8034.919032,5945.929842,2088.98919,0,2088.989191,14.120016,25.998883,120.008959,688.750005,380.6474,622.203785,267.996843,9.382197,808.758964,899.582826,444.339757,21.270563,118.14256,176.613955,75.743246,59.663009,13.754066,0.422921,882.093079,42.225833,1.865108,352.070943,191.487847,244.308521,89.254644,3.106017,762.556354,36.503605,0,160.065944,113.416621,318.232452,164.988164,5.853173,0,6.847008,0.003511,0.494879,0.451724,0,2.934245,ECDC HIV Modelling Tool v.1.3.0,2024/10/01 00:15:02
0,1997,689.200376,13313.703126,689.200376,669.001863,248.875273,248.875273,187.975642,179,126.021702,126.021702,95.184267,93.1,110.863862,110.863862,83.735541,85,96.636046,96.636046,72.989263,65,106.803493,106.803493,110.151516,708.322281,323.260981,339.802021,7018.37493,691.226825,5805.172701,0,0,4.709153,85.741764,0,0,15309.9985,0,515.473949,0,0.367111,0.342206,0.185866,0.38571,2.999892,2.2535,1.0855,4.2045,5.320708,22.832427,22.587881,16.214972,11.52776,8.145038,5.71198,3.973228,2.741082,1.875996,1.274288,0.859537,0.576065,0.383828,0.254385,0.167787,8205.881806,6295.328196,1910.55361,0,1910.553589,12.479123,23.282734,126.492937,631.836949,348.02917,554.055677,241.686068,8.45281,758.329886,804.194554,463.769636,24.274097,124.577247,183.224431,78.893061,62.214751,14.417204,0.442942,830.460288,43.466997,1.914838,328.487079,180.954985,230.714329,85.417097,2.971961,616.323665,32.258904,0,120.125989,88.18133,261.126725,141.851786,5.037833,0,0.435567,0.045976,0.018999,0.908266,0,0.103872,ECDC HIV Modelling Tool v.1.3.0,2024/10/01 00:15:02
0,1998,653.064174,13966.7673,653.064174,573.946251,246.876536,246.876536,187.705869,147,120.772038,120.772038,91.825739,92.9,103.387143,103.387143,78.607607,77,85.099811,85.099811,64.70333,43,96.928646,96.928646,100.594697,702.219706,259.833961,247.908682,7266.283612,696.997961,6502.170662,0,0,4.273754,90.015518,0,0,15860.238391,0,550.239891,0,0.390006,0.352317,0.192402,0.37398,2.906721,2.1755,1.0495,4.0675,4.982892,23.710436,23.067595,16.272647,11.392601,7.940424,5.499552,3.781128,2.579657,1.746521,1.173801,0.783471,0.51962,0.342623,0.22472,0.146682,8503.939261,6700.483688,1803.455573,0,1803.455543,11.370923,21.207296,135.463451,602.335286,330.133374,506.152546,221.631734,7.739182,737.798736,735.523462,493.018579,27.33744,133.444443,193.768207,83.772761,66.147846,15.412067,0.473255,813.373652,45.100842,2.018303,318.67868,177.825595,226.76561,85.124131,2.961333,497.063312,27.561716,0,89.888858,68.535188,213.239195,121.095552,4.304519,0,9.545313,0.012519,0.033104,8.265981,0,0.136942,ECDC HIV Modelling Tool v.1.3.0,2024/10/01 00:15:02
0,1999,637.955685,14604.722985,637.955685,654.155687,253.050973,253.050973,165.537985,164,119.837471,119.837471,78.393903,81,99.004983,99.004983,64.765945,81,76.36989,76.36989,49.95878,51,89.692368,89.692368,77.851604,693.73619,195.13454,223.536171,7489.819783,697.298834,7199.469496,0,0,3.954693,93.970211,0,0,16452.830105,0,592.591714,0,0.412901,0.362428,0.198938,0.36225,2.820672,2.1035,1.0165,3.9395,4.581035,24.57401,23.515202,16.304392,11.244326,7.733962,5.292858,3.598864,2.429585,1.62826,1.083469,0.716094,0.470311,0.307101,0.19947,0.128939,8869.040111,7114.903202,1754.136909,0,1754.136861,10.661612,19.778205,146.039677,593.231979,323.753648,475.962098,207.903878,7.245629,739.271657,691.111604,528.700588,30.140212,143.877775,206.860372,89.803079,71.010147,16.638439,0.510776,821.584961,46.836992,2.161438,318.435482,180.099826,230.131608,87.705684,3.050922,403.851312,23.022793,0,67.936429,53.850855,174.820411,103.559765,3.683853,0,0.014334,0.085692,3.766305,0.021551,0,1.636884,ECDC HIV Modelling Tool v.1.3.0,2024/10/01 00:15:02
