year,prop
2015,0.8801377902581361
2016,0.8917659152111722
2017,0.9094273062518072
2018,0.91184008155923435
2019,0.9248369483353582
2020,0.9355871411761544
2021,0.939176628362691
2022,0.9602663672815944
2023,0.9824496451954425
