run,year,N_HIV_M,Cum_HIV_M,N_HIV_Obs_M,N_HIV_D,N_CD4_1_M,N_CD4_1_Obs_M_NoW,N_CD4_1_Obs_M,N_CD4_1_D,N_CD4_2_M,N_CD4_2_Obs_M_NoW,N_CD4_2_Obs_M,N_CD4_2_D,N_CD4_3_M,N_CD4_3_Obs_M_NoW,N_CD4_3_Obs_M,N_CD4_3_D,N_CD4_4_M,N_CD4_4_Obs_M_NoW,N_CD4_4_Obs_M,N_CD4_4_D,N_HIVAIDS_M,N_HIVAIDS_Obs_M,N_HIVAIDS_D,N_AIDS_M,N_AIDS_D,N_Dead_D,Cum_Dead_D,N_Diag_Dead_M,Cum_Diag_Dead_M,N_Und_Dead_D,Cum_Und_Dead_D,N_Und_Dead_M,Cum_Und_Dead_M,N_Emig_D,Cum_Emig_D,Cum_Inf_M,Cum_Inf_D,N_Inf_M,N_Inf_D,delta1,delta2,delta3,delta4,t_diag,t_diag_p50,t_diag_p25,t_diag_p75,D_Avg_Time,t_diag_1,t_diag_2,t_diag_3,t_diag_4,t_diag_5,t_diag_6,t_diag_7,t_diag_8,t_diag_9,t_diag_10,t_diag_11,t_diag_12,t_diag_13,t_diag_14,t_diag_15,N_Alive,N_Alive_Diag_M,N_Und,N_Und_1,N_Und_2,N_Und_Inf_p,N_Und_Alive_p,N_Und_PrimInf,N_Und_CD4_1_M,N_Und_CD4_2_M,N_Und_CD4_3_M,N_Und_CD4_4_M,N_Und_HIVAIDS_M,N_Und_500,N_Und_350,N_Und_T_1,N_Und_T_1_p,N_Und_PrimInf_T_1,N_Und_CD4_1_T_1,N_Und_CD4_2_T_1,N_Und_CD4_3_T_1,N_Und_CD4_4_T_1,N_Und_CD4_5_T_1,N_Und_T_2,N_Und_T_2_p,N_Und_PrimInf_T_2,N_Und_CD4_1_T_2,N_Und_CD4_2_T_2,N_Und_CD4_3_T_2,N_Und_CD4_4_T_2,N_Und_CD4_5_T_2,N_Und_T_3,N_Und_T_3_p,N_Und_PrimInf_T_3,N_Und_CD4_1_T_3,N_Und_CD4_2_T_3,N_Und_CD4_3_T_3,N_Und_CD4_4_T_3,N_Und_CD4_5_T_3,LL_HIV,LL_CD4_1,LL_CD4_2,LL_CD4_3,LL_CD4_4,LL_AIDS,LL_HIVAIDS,Version,Timestamp
0,1990,65.07997,348.804035,65.07997,81.850682,27.929255,27.929255,10.039818,18,10.774425,10.774425,3.873117,4,10.613147,10.613147,3.815142,2,8.568871,8.568871,3.080279,4,7.194272,7.194272,3.958921,22.800097,16.726439,16.937045,46.128696,15.947516,53.950903,0,0,0.317208,1.735974,0,0,566.25803,0,77.293559,0,0.383102,0.222619,0.201926,0.481446,3.121567,2.3455,1.1215,4.3895,3.046465,22.020854,21.939286,15.969359,11.561813,8.335929,5.967249,4.234053,2.975861,2.071742,1.429153,0.977413,0.663141,0.446622,0.29878,0.198653,518.39336,302.675339,215.718021,0,215.718014,38.095358,41.612806,18.814259,76.581587,48.02108,53.880072,17.805435,0.615589,95.395846,72.301095,70.028546,32.463002,18.523008,27.629008,12.367579,9.358363,2.086251,0.064338,121.750741,56.439763,0.291273,45.340475,30.693114,33.982794,11.05756,0.385524,23.938727,11.097231,0,3.612089,4.960382,10.538911,4.661624,0.16572,0,5.096895,0.004112,1.046961,0.250751,1.784479,1.741268,ECDC HIV Modelling Tool v.1.3.0,2024/10/01 12:17:44
0,1991,68.857458,417.661492,68.857458,72.121661,28.726733,28.726733,11.336072,12,11.824071,11.824071,4.665986,6,11.354008,11.354008,4.48049,4,9.411713,9.411713,3.714027,5,7.540932,7.540932,3.70098,27.017284,20.782426,21.028155,67.156851,19.702115,73.653018,0,0,0.332493,2.068467,0,0,645.560152,0,79.302123,0,0.370434,0.235509,0.204201,0.505858,3.119236,2.3505,1.1265,4.3825,3.138753,21.89625,21.957605,16.048399,11.631293,8.377905,5.984351,4.234377,2.967037,2.059234,1.416273,0.965858,0.653569,0.439101,0.293092,0.194474,576.334835,350.504641,225.830193,0,225.830187,34.982053,39.183853,19.278145,81.193058,49.633207,56.605683,18.480365,0.639736,100.471203,75.725784,71.892834,31.834908,18.97794,28.491729,12.640379,9.592607,2.124613,0.065565,127.225627,56.336854,0.3002,48.44001,31.601664,35.233199,11.25778,0.392775,26.711726,11.828235,0,4.261323,5.391165,11.779878,5.097972,0.181388,0,0.038147,0.349496,0.053476,0.401266,1.564384,2.411573,ECDC HIV Modelling Tool v.1.3.0,2024/10/01 12:17:44
0,1992,72.038344,489.699836,72.038344,87.04884,29.302337,29.302337,16.917192,13,12.814958,12.814958,7.398492,9,11.987706,11.987706,6.920892,9.9,10.154347,10.154347,5.862434,10,7.778996,7.778996,14.473679,31.293122,35.563897,24.253584,91.410435,23.662435,97.315452,0,0,0.34299,2.411456,0,0,726.591716,0,81.031564,0,0.357765,0.248399,0.206476,0.530271,3.120094,2.3565,1.1325,4.3805,3.217934,21.765181,21.961309,16.115301,11.694349,8.418696,6.003916,4.239203,2.963504,2.051983,1.408149,0.958351,0.647295,0.43418,0.2894,0.191794,632.769825,398.289401,234.480424,0,234.480415,32.271277,37.056196,19.684364,85.561873,50.873151,58.788226,18.917302,0.655508,105.246237,78.361036,73.511473,31.350793,19.37677,29.258334,12.864597,9.790823,2.154423,0.066525,131.758469,56.191671,0.307601,51.316152,32.239979,36.157713,11.341091,0.395934,29.210473,12.457532,0,4.987382,5.768574,12.839689,5.421787,0.193041,0,0.986477,0.324055,1.129988,2.405272,0.558018,4.584178,ECDC HIV Modelling Tool v.1.3.0,2024/10/01 12:17:44
0,1993,73.966369,563.666206,73.966369,65.335271,29.6699,29.6699,11.036723,9,13.253279,13.253279,4.930006,6,12.528919,12.528919,4.660555,1,10.563708,10.563708,3.929529,6,7.950563,7.950563,6.192917,35.551182,40.253958,30.43786,121.848294,27.751097,125.06655,0,0,0.350554,2.76201,0,0,809.230372,0,82.638656,0,0.345097,0.26129,0.208751,0.554683,3.124146,2.3645,1.1385,4.3825,3.285493,21.627642,21.950365,16.170046,11.750995,8.458348,6.026003,4.248581,2.965298,2.050007,1.404786,0.954888,0.644309,0.431846,0.287691,0.190604,684.620067,441.817911,242.802156,0,242.802178,30.004083,35.465241,20.070805,89.831057,52.287415,60.572489,19.369689,0.670701,109.901862,80.612879,75.127161,30.941719,19.756678,29.990706,13.138984,9.977797,2.195233,0.067762,136.129764,56.066127,0.314083,54.069536,33.000763,36.87777,11.467623,0.399989,31.545253,12.992163,0,5.770844,6.147678,13.716929,5.706834,0.202968,0,0.401382,0.217043,4.242841,0.937937,0.596343,0.420858,ECDC HIV Modelling Tool v.1.3.0,2024/10/01 12:17:44
0,1994,75.07169,638.737896,75.07169,81.064687,29.883795,29.883795,18.909238,21,13.247942,13.247942,8.382754,8.9,13.02108,13.02108,8.239205,10.8,10.756191,10.756191,6.806076,3,8.162682,8.162682,12.002049,39.734993,41.295186,34.960297,156.808592,31.893822,156.960372,0,0,0.359907,3.121917,0,0,893.510436,0,84.280064,0,0.331657,0.253133,0.210956,0.549892,3.185408,2.4175,1.1635,4.4735,3.344174,21.103478,21.639039,16.108882,11.814808,8.574633,6.155244,4.370618,3.071198,2.137145,1.473855,1.008111,0.684416,0.461523,0.309317,0.206158,733.579926,481.929304,251.650622,0,251.650628,28.164262,34.304459,20.47526,94.155135,54.170149,62.227058,19.932935,0.690086,114.630395,82.850079,76.823518,30.527848,20.154992,30.741642,13.44495,10.171163,2.241586,0.069186,140.960242,56.014263,0.320248,56.807294,34.130915,37.60019,11.693875,0.407721,33.866867,13.457891,0,6.606212,6.594288,14.455708,5.997476,0.213182,0,0.223094,0.031279,0.724283,2.696931,0.060474,1.574956,ECDC HIV Modelling Tool v.1.3.0,2024/10/01 12:17:44
0,1995,76.227311,714.965207,76.227311,62.79632,30.020825,30.020825,20.272054,16,13.30768,13.30768,8.986229,10,13.512884,13.512884,9.124796,8,10.980414,10.980414,7.414705,3.9,8.405507,8.405507,6.670322,43.812523,31.445805,33.959188,190.76778,36.030849,192.991221,0,0,0.370614,3.492531,0,0,979.595821,0,86.085386,0,0.318218,0.244977,0.213161,0.545101,3.25019,2.4735,1.1895,4.5685,3.399633,20.573873,21.314661,16.035889,11.871329,8.688291,6.285472,4.495974,3.181635,2.229212,1.547701,1.065649,0.728236,0.494279,0.333424,0.223666,785.33551,524.197427,261.138083,0,261.13813,26.657738,33.251786,20.92352,98.671686,56.373651,63.918576,20.539655,0.710996,119.595206,85.169227,78.680382,30.1298,20.596787,31.558656,13.778442,10.383516,2.292242,0.07074,146.230869,55.997527,0.326702,59.618174,35.480221,38.419194,11.969358,0.41722,36.226878,13.872691,0,7.494876,7.114996,15.11587,6.278056,0.22308,0,0.971162,0.110294,0.144728,2.017998,3.875175,0.38576,ECDC HIV Modelling Tool v.1.3.0,2024/10/01 12:17:44
0,1996,77.43014,792.395347,77.43014,70.432928,30.113933,30.113933,23.477887,23,13.401304,13.401304,10.44813,6,14.029926,14.029926,10.938226,10,11.220178,11.220178,8.747648,9,8.664799,8.664799,8.865683,47.756559,32.408998,28.856422,219.624202,40.114274,233.105495,0,0,0.382046,3.874577,0,0,1067.658066,0,88.062244,0,0.304778,0.23682,0.215366,0.54031,3.318793,2.5325,1.2165,4.6695,3.452136,20.038768,20.976875,15.950437,11.919856,8.798725,6.416286,4.624466,3.29662,2.326364,1.626577,1.127809,0.776088,0.530423,0.360296,0.243377,844.159287,572.771145,271.388141,0,271.388148,25.419013,32.148926,21.41015,103.487928,58.842995,65.727871,21.185856,0.733341,124.898078,87.647069,80.703672,29.737361,21.076286,32.447979,14.14229,10.61693,2.347743,0.072444,151.979026,56.000614,0.333854,62.595229,36.984367,39.3532,12.284281,0.428096,38.70545,14.262027,0,8.444726,7.716341,15.757743,6.553833,0.232807,0,0.009794,2.240298,0.082881,0.007211,0,0.004622,ECDC HIV Modelling Tool v.1.3.0,2024/10/01 12:17:44
0,1997,78.692862,871.088209,78.692862,74.360637,30.17602,30.17602,24.687989,16,13.513459,13.513459,11.055802,8.9,14.584662,14.584662,11.932189,13,11.476844,11.476844,9.389582,11,8.941877,8.941877,14.590382,51.553546,28.677648,15.929941,235.554143,44.107856,277.213351,0,0,0.394263,4.26884,0,0,1157.817554,0,90.159489,0,0.291339,0.228664,0.21757,0.535519,3.391556,2.5945,1.2465,4.7765,3.50294,19.498105,20.625313,15.851869,11.959644,8.905278,6.547225,4.75586,3.416125,2.42874,1.710736,1.194904,0.828314,0.570293,0.390247,0.265572,917.994572,635.534066,282.460506,0,282.46053,24.395943,30.7693,21.922588,108.659982,61.554002,67.688015,21.878689,0.75723,130.58257,90.323934,82.847708,29.330723,21.580932,33.391875,14.528621,10.865264,2.406757,0.074258,158.219323,56.014671,0.341619,65.798693,38.620034,40.387047,12.631826,0.440104,41.3935,14.654615,0,9.469438,8.405355,16.43571,6.840106,0.24289,0,3.496678,0.450711,0.092829,0.261643,0,2.990389,ECDC HIV Modelling Tool v.1.3.0,2024/10/01 12:17:44
0,1998,80.012946,951.101155,80.012946,91.74803,30.204067,30.204067,26.390624,28,13.634052,13.634052,11.912672,13.1,15.182218,15.182218,13.265373,16,11.753284,11.753284,10.269362,13,9.239324,9.239324,11.518585,55.198819,21.534745,12.297904,247.852047,47.986785,325.200137,0,0,0.407378,4.676218,0,0,1250.141796,0,92.324241,0,0.2779,0.220507,0.219775,0.530728,3.468858,2.6605,1.2775,4.8895,3.553748,18.951823,20.259599,15.739499,11.989896,9.007234,6.677763,4.889864,3.540082,2.536452,1.800419,1.267257,0.885271,0.614253,0.423624,0.290565,997.613531,703.249108,294.364423,0,294.364427,23.546483,29.50686,22.448029,114.210498,64.492757,69.806814,22.623381,0.782944,136.658527,93.213138,85.064875,28.897811,22.098222,34.371432,14.929092,11.122108,2.467882,0.076138,164.940937,56.032905,0.349795,69.251496,40.378664,41.502287,13.005674,0.453021,44.358616,15.069286,0,10.587577,9.185004,17.18242,7.149826,0.253788,0,0.096208,0.114594,0.528558,0.66912,0,0.521015,ECDC HIV Modelling Tool v.1.3.0,2024/10/01 12:17:44
0,1999,81.373925,1032.47508,81.373925,72.531743,30.186185,30.186185,23.728507,23,13.754775,13.754775,10.812239,8,15.823671,15.823671,12.438541,16,12.050492,12.050492,9.472551,6,9.558802,9.558802,5.107869,58.694485,21.453051,12.000971,259.853018,51.736125,376.936262,0,0,0.421464,5.097682,0,0,1344.645421,0,94.503625,0,0.26446,0.212351,0.22198,0.525937,3.551127,2.7305,1.3105,5.0085,3.60616,18.399864,19.879347,15.612609,12.009761,9.103804,6.807305,5.026123,3.668373,2.649581,1.895856,1.345196,0.947339,0.662694,0.460805,0.318706,1079.694721,772.622062,307.072658,0,307.072703,22.836701,28.440693,22.973708,120.141511,67.647625,72.07815,23.421219,0.810446,143.115219,96.309814,87.307056,28.432051,22.615502,35.367441,15.335277,11.381087,2.529708,0.078041,172.130605,56.055334,0.358179,72.95152,42.256784,42.692725,13.404592,0.466806,47.635042,15.512629,0,11.822568,10.05557,18.004342,7.48692,0.265641,0,0.022599,0.804683,0.934328,1.465436,0,2.499866,ECDC HIV Modelling Tool v.1.3.0,2024/10/01 12:17:44
