year,diagnoses,diagnoses_lower,diagnoses_upper,undiag,undiag_lower,undiag_upper,undiag_percent,uplower,upupper,infections,infections_lower,infections_upper,start_plhiv,start_plhiv_lower,start_plhiv_upper,deaths,deaths_lower,deaths_upper,ydf,ydf_lower,ydf_upper,cdr,cdr_lower,cdr_upper,ipr,ipr_lower,ipr_upper,imr,imr_lower,imr_upper
2000,68.9195464052657,68.29864959080385,69.18564504003507,325.3639086065633,287.06433796892145,363.984014281687,26.486007012103713,21.540075220673295,32.17717874944216,96.644763,89.743452,103.781318,1166.7539449517974,1081.9015121375032,1266.7207967065806,13.626605776118655,13.361142717098264,13.916986111589798,0.17479695262180867,0.15799534725489178,0.1942053286730842,0.713122411043273,0.6581015823175791,0.7709269422802576,0.08283217161437816,0.070847066088540675,0.09592492184890301,7.092357743949344,6.448483262138444,7.767398357865826
2001,94.52826983007095,93.54392653400637,95.51261312613553,340.34347938966835,293.9310509469149,378.81881526924104,25.778515818482823,20.532672954465717,31.350723609866755,98.694777,92.321934,106.68627,1228.4369948927251,1131.1868486543344,1332.6988649204377,13.09982634357562,12.84761839255428,13.366758742586573,0.2173704546217973,0.19803409171710262,0.24525399162282846,0.9577839142396659,0.8768131694360144,1.034560358388241,0.08034174923934023,0.06927441482101933,0.09431356997026134,7.534052315769943,6.906830277849017,8.303972513834086
2002,81.4236649444605,79.75438707543967,81.60914026324059,351.38241868853373,305.55325191951766,391.76087525428886,25.185409206564877,20.169228291431093,30.691469468851103,100.600791,94.861386,108.359669,1320.260180167731,1208.3255875791604,1431.5284308027071,12.513627447345478,12.277664551918331,12.759515899236307,0.18812966828235522,0.1691448685698487,0.2107878810313719,0.8093740032765796,0.7360154180190387,0.8602988392267492,0.07619770141610972,0.06626580650361792,0.08967754230637037,8.039298870236104,7.434559958946226,8.825755789448513
2003,84.67761465000217,84.37980357854846,85.3725071500608,360.7995640601244,317.2411269047857,401.3544392839013,24.4874640525212,19.811416199152905,29.726201056982028,102.309928,96.319261,109.308787,1395.18248763233,1276.4487397773134,1514.9476593972222,12.005641974327029,11.792388886002138,12.207329751074749,0.19008294632552247,0.17371598732939886,0.2120457429378331,0.8276578461672084,0.7719398036916142,0.8863492749395243,0.07333085736592299,0.06357926651956027,0.08563507769146278,8.521820675544086,7.8902809184391804,9.269435400807742
2004,114.08772954253969,113.09566232912631,115.07979675595308,375.07707041247744,333.3238114165603,418.8864483081052,23.509745279113556,19.17023662658394,28.65645808907882,103.76931,97.539851,109.849661,1473.405181060294,1350.1706407574472,1601.3046402929554,7.101700262577717,4.752668555051274,10.475554801510444,0.23322963866784982,0.21259298022945802,0.25664333350252316,1.099436139091025,1.0295494888156853,1.1798233806606193,0.07042822390873187,0.060912738616778934,0.08135983533042476,14.611896611127131,9.311187125471957,23.113259367360804
2005,87.38529251915432,87.38529251915432,87.38529251915432,377.1844204072027,337.1824927100656,419.5591261392945,22.56411823885943,18.46898379760751,27.463632706698174,104.92606,98.522604,111.734907,1595.4110346984578,1461.7523456876404,1738.7568964815505,10.648905098197512,7.69324478993702,14.601442037762355,0.18809941777889105,0.1723764762030642,0.20582176877121253,0.832827350223141,0.7820769253350192,0.8869567893186656,0.06576741524157231,0.056662667564030794,0.0764390133045673,9.853225193805168,6.747457117262811,14.523768585415663
2006,125.9710421011669,125.11796506662175,126.06582843833858,387.7902734421611,350.1691219608959,427.9962346049542,21.512238908446044,17.78329741274163,25.99300280078123,105.727301,99.227265,113.249897,1671.611611029515,1527.689838485814,1825.668896594866,12.02211960477052,8.860180313245134,16.155832665042333,0.24519370822605882,0.22620638765179663,0.2647135165796963,1.191471274776672,1.1047953983271326,1.2704756947431595,0.06324872374802691,0.05435118338548302,0.07413147233619674,8.794397699890304,6.141884919042642,12.78189528837264
2007,101.20944649484827,101.20944649484827,101.20944649484827,388.388703375944,350.4793115776678,424.61339664707896,20.261475540392535,16.728602839403464,24.328075539727568,106.120155,99.885813,114.075015,1802.6495293798016,1646.5824971637776,1969.0899490327463,12.169987410545332,8.853980722775093,16.537048944424097,0.20671942188008272,0.19247822306481724,0.22406899593148535,0.9537250157130686,0.8872183492138771,1.0132514664004213,0.058868988824749786,0.050726891907129874,0.06927986614487468,8.719824550356277,6.0401232006802,12.884036974077079
2008,102.59663878254712,101.92980826121209,102.8824232916907,387.25562703908497,346.4902434105189,425.6389490565754,19.05870096174658,15.539734658282349,23.135749415883147,106.051746,99.86934,114.619277,1916.8826209210008,1745.3636887705666,2095.0901575123157,11.13584992329202,7.828644811984142,15.61475104651358,0.20944404250220455,0.19320668035657276,0.2289467760616354,0.967420553194354,0.889290274106441,1.0301702533699602,0.055325112159995235,0.04766827796975746,0.06567071249244205,9.523453237114802,6.395832998073867,14.641011280080052
2009,119.53855645692909,118.64151641315078,119.63822757290446,385.9241959875408,347.7019995147828,424.9569144373019,17.948094294165784,14.687933252330732,21.88005514212375,105.469574,99.105613,114.591795,2031.9098757903805,1839.745674131333,2229.7050176841144,8.91516032639673,5.891786065305563,13.218512654035305,0.23649330416302353,0.21825213186788944,0.25599813719963954,1.133393754457841,1.0353404134488928,1.2071791289248617,0.05190662009995597,0.04444785844494181,0.0622867587684947,11.830362005685654,7.497485957298332,19.44941546244975
