"year","male < 15 yrs","male 15-19 yrs","male 20-24 yrs","male 25-29 yrs","male 30-34 yrs","male > 34 yrs","male all","female < 15 yrs","female 15-19 yrs","female 20-24 yrs","female 25-29 yrs","female 30-34 yrs","female > 34 yrs","female all"
2012,113,5595,12640,7640,3802,6165,35988,692,16054,18628,7563,3134,3184,49321
2013,90,5301,12460,8224,3911,6337,36330,657,15150,18773,8152,3334,3453,49533
2014,77,5116,12850,8673,4339,6858,37914,623,14520,19574,8861,3670,3657,50911
2015,64,4620,12583,8930,4815,7520,38537,457,13284,18839,9279,4107,3921,49900
2016,75,4799,13498,10639,6004,9436,44458,444,13225,19785,9936,4395,4512,52311
2017,60,4893,14571,11819,7057,11121,49527,408,13162,20270,10535,4611,4743,53741
2018,68,4756,14874,12318,7578,12111,51711,405,12993,20515,10908,4887,5372,55084
2019,85,4650,14741,12707,8034,13458,53687,372,12379,20714,11101,5280,5750,55607
2020,61,4135,12457,10472,6630,10425,44186,315,10977,18490,9885,4593,4949,49213
2021,63,4170,11693,9819,6771,10706,43228,279,10946,16953,8747,4312,4467,45710
