region,context,sex,year,diagnoses,retested,prop_retested,prop_lower,prop_upper,,,,
urban,gp,female,2023,308,98,0.318181818,0.267143906,0.373838038,,,,
regional,gp,female,2023,32,10,0.3125,0.167494931,0.501362335,,,,
remote,gp,female,2023,1,0,0,0,0.945379244,,,,
regional+remote,gp,female,2023,33,10,0.303030303,0.162128384,0.488731457,,,,
urban,shc,all,2023,8485,2977,0.350854449,0.340711049,0.361133618,,,,
regional,shc,all,2023,1132,358,0.316254417,0.289395641,0.344376288,,,,
remote,shc,all,2023,21,2,0.095238095,0.016669818,0.318272408,,,,
regional+remote,shc,all,2023,1153,360,0.312228968,0.285719508,0.340005648,,,,
urban,gp,all,2023,4048,2068,0.510869565,0.49534398,0.526374375,,,,
regional,gp,all,2023,147,60,0.408163265,0.328818918,0.492382798,,,,
remote,gp,all,2023,6,0,0,0,0.483182949,,,,
regional+remote,gp,all,2023,153,60,0.392156863,0.315267749,0.474548979,,,,
