"year","stage","value","lower","upper"
2014,"unsuppressed",1186.1111100000016,0,0
2015,"unsuppressed",1021.3684199999989,0,0
2016,"unsuppressed",1066.5861699999987,0,0
2017,"unsuppressed",696.25749,0,0
2018,"unsuppressed",600.9694799999997,0,0
2019,"unsuppressed",728.4356699999989,0,0
2020,"unsuppressed",840.8855399999993,0,0
2021,"unsuppressed",570.1560299999983,0,0
2022,"unsuppressed",400.1223800000007,0,0
2004,"diagnoses_exclude",895,0,0
2005,"diagnoses_exclude",955,0,0
2006,"diagnoses_exclude",985,0,0
2007,"diagnoses_exclude",950,0,0
2008,"diagnoses_exclude",901,0,0
2009,"diagnoses_exclude",945,0,0
2010,"diagnoses_exclude",913,0,0
2011,"diagnoses_exclude",984,0,0
2012,"diagnoses_exclude",1068,0,0
2013,"diagnoses_exclude",1036,0,0
2014,"diagnoses_exclude",1079,0,0
2015,"diagnoses_exclude",1029,0,0
2016,"diagnoses_exclude",1006,0,0
2017,"diagnoses_exclude",961,0,0
2018,"diagnoses_exclude",840,0,0
2019,"diagnoses_exclude",897,0,0
2020,"diagnoses_exclude",633,0,0
2021,"diagnoses_exclude",550,0,0
2022,"diagnoses_exclude",559,0,0
2004,"diagnoses_include",918,0,0
2005,"diagnoses_include",978,0,0
2006,"diagnoses_include",1018,0,0
2007,"diagnoses_include",1055,0,0
2008,"diagnoses_include",1019,0,0
2009,"diagnoses_include",1075,0,0
2010,"diagnoses_include",1069,0,0
2011,"diagnoses_include",1151,0,0
2012,"diagnoses_include",1261,0,0
2013,"diagnoses_include",1247,0,0
2014,"diagnoses_include",1338,0,0
2015,"diagnoses_include",1251,0,0
2016,"diagnoses_include",1266,0,0
2017,"diagnoses_include",1251,0,0
2018,"diagnoses_include",1131,0,0
2019,"diagnoses_include",1242,0,0
2020,"diagnoses_include",955,0,0
2021,"diagnoses_include",743,0,0
2022,"diagnoses_include",898,0,0
2004,"infections",869,851,900
2005,"infections",927,904,960
2006,"infections",981,951,1013
2007,"infections",1027,992,1057
2008,"infections",1063,1024,1094
2009,"infections",1085,1047,1118
2010,"infections",1094,1057,1127
2011,"infections",1089,1057,1121
2012,"infections",1072,1045,1099
2013,"infections",1041,1012,1068
2014,"infections",998,967,1026
2015,"infections",942,909,971
2016,"infections",874,839,905
2017,"infections",794,753,830
2018,"infections",703,650,751
2019,"infections",600,533,658
2020,"infections",486,404,556
2021,"infections",361,262,443
2022,"infections",226,108,321
2004,"propdiagnosed",0.8456385579786793,0,0
2005,"propdiagnosed",0.8459951341496659,0,0
2006,"propdiagnosed",0.8464707158711204,0,0
2007,"propdiagnosed",0.8479970460422527,0,0
2008,"propdiagnosed",0.8503564807659044,0,0
2009,"propdiagnosed",0.854246546317497,0,0
2010,"propdiagnosed",0.8590678195213564,0,0
2011,"propdiagnosed",0.8649007463619095,0,0
2012,"propdiagnosed",0.870286498055119,0,0
2013,"propdiagnosed",0.8752530237777255,0,0
2014,"propdiagnosed",0.8803529713455029,0,0
2015,"propdiagnosed",0.8859789938577634,0,0
2016,"propdiagnosed",0.8913295886434693,0,0
2017,"propdiagnosed",0.8968306076674164,0,0
2018,"propdiagnosed",0.9028432550330794,0,0
2019,"propdiagnosed",0.9094744391928142,0,0
2020,"propdiagnosed",0.9140902005599737,0,0
2021,"propdiagnosed",0.919281665551837,0,0
2022,"propdiagnosed",0.9300684135887659,0,0
2004,"proptreated",0.5878143156390981,0,0
2005,"proptreated",0.6217459953359188,0,0
2006,"proptreated",0.6598337958509486,0,0
2007,"proptreated",0.6583188747103648,0,0
2008,"proptreated",0.6490344516132719,0,0
2009,"proptreated",0.6585784888169344,0,0
2010,"proptreated",0.7148135760511856,0,0
2011,"proptreated",0.7423595407444776,0,0
2012,"proptreated",0.7727922281592485,0,0
2013,"proptreated",0.8237204508396269,0,0
2014,"proptreated",0.8573617072628772,0,0
2015,"proptreated",0.8867546249946457,0,0
2016,"proptreated",0.8970191510099712,0,0
2017,"proptreated",0.9149780083173084,0,0
2018,"proptreated",0.9141020986172577,0,0
2019,"proptreated",0.9253639467906627,0,0
2020,"proptreated",0.9335569373629082,0,0
2021,"proptreated",0.9383156834007166,0,0
2022,"proptreated",0.9471386902437529,0,0
2004,"propsuppressed",0.6008827238747039,0,0
2005,"propsuppressed",0.6611987381994557,0,0
2006,"propsuppressed",0.7325581394906477,0,0
2007,"propsuppressed",0.7653123104802174,0,0
2008,"propsuppressed",0.8033373062745098,0,0
2009,"propsuppressed",0.8233236151376147,0,0
2010,"propsuppressed",0.8514963298387097,0,0
2011,"propsuppressed",0.8647668390253678,0,0
2012,"propsuppressed",0.8934010151633673,0,0
2013,"propsuppressed",0.9235863472836291,0,0
2014,"propsuppressed",0.9338624339243894,0,0
2015,"propsuppressed",0.9473684211068742,0,0
2016,"propsuppressed",0.9478594950136879,0,0
2017,"propsuppressed",0.9678135405880177,0,0
2018,"propsuppressed",0.9730700179243592,0,0
2019,"propsuppressed",0.9688809095181136,0,0
2020,"propsuppressed",0.9653614458724666,0,0
2021,"propsuppressed",0.9769503545439846,0,0
2022,"propsuppressed",0.9842657341722375,0,0
2004,"propoverall",0.29868585315738705,0,0
2005,"propoverall",0.34778662644706315,0,0
2006,"propoverall",0.4091556870495302,0,0
2007,"propoverall",0.42723748084202184,0,0
2008,"propoverall",0.4433704166182072,0,0
2009,"propoverall",0.4631923149527009,0,0
2010,"propoverall",0.5228811953831833,0,0
2011,"propoverall",0.5552385275005365,0,0
2012,"propoverall",0.600857426283812,0,0
2013,"propoverall",0.6658723367380971,0,0
2014,"propoverall",0.7048615531072779,0,0
2015,"propoverall",0.7442961825755913,0,0
2016,"propoverall",0.7578513065933976,0,0
2017,"propoverall",0.7941687092219949,0,0
2018,"propoverall",0.8030658446229744,0,0
2019,"propoverall",0.8154051900664093,0,0
2020,"propoverall",0.8237962561566046,0,0
2021,"propoverall",0.8426943239533333,0,0
2022,"propoverall",0.8670434048547676,0,0
2004,"ydf",0.26888213607008693,0.2605877219775252,0.27831765854325835
2005,"ydf",0.2724825978265552,0.2649828445891114,0.28106822788764335
2006,"ydf",0.27757147034758073,0.2699504865356265,0.2863916485596012
2007,"ydf",0.2588231901709311,0.2510664082830361,0.2662552034609444
2008,"ydf",0.2293045831876448,0.2220111359524452,0.23539149455484032
2009,"ydf",0.2540195151106628,0.2458124109172484,0.26089339446925636
2010,"ydf",0.24390032594869232,0.23537221421159854,0.2505127953285335
2011,"ydf",0.2534689988119356,0.2435347487327785,0.2612667335715172
2012,"ydf",0.27864241700267217,0.26733191825462355,0.2878715473329616
2013,"ydf",0.25287103110962716,0.24184694860450756,0.26118974626050434
2014,"ydf",0.2645913661046885,0.2533069059822988,0.27226552988820135
2015,"ydf",0.26206004122281573,0.2513184238304883,0.2710532325622167
2016,"ydf",0.2672391791219011,0.25719620795376463,0.27792334224520043
2017,"ydf",0.26068749107299055,0.2518908949877682,0.27173854934740316
2018,"ydf",0.241618820361815,0.2325670030320559,0.253671545659837
2019,"ydf",0.26245911034139285,0.25128213819575984,0.2776504986863494
2020,"ydf",0.20546586027089603,0.1924567967426696,0.22153209729679152
2021,"ydf",0.191988830582092,0.17410019942993865,0.2147600114602615
2022,"ydf",0.215939892914902,0.18819878709008772,0.25598444147964655
2004,"cdr",0.9983248680081096,0.9645898676749818,1.0192904966357033
2005,"cdr",0.9995816794973713,0.9659328260843218,1.0258094067480155
2006,"cdr",1.0188454839486523,0.9870468991677611,1.0505230432324177
2007,"cdr",0.9196047904403243,0.8931792790999923,0.9517058920506781
2008,"cdr",0.7743549123793356,0.7521041890298767,0.8032282014166507
2009,"cdr",0.8861154679369969,0.8600302644624085,0.9186845435890089
2010,"cdr",0.8390915239856237,0.8145090687455406,0.868098967405636
2011,"cdr",0.8868118546452569,0.8616847667838696,0.9140292609208657
2012,"cdr",1.0305904475519894,1.0046598497092978,1.0567828093809188
2013,"cdr",0.9289254932302068,0.905212562573418,0.9552539188122914
2014,"cdr",1.025391904302213,0.9968721725272374,1.0582790413700618
2015,"cdr",1.0620918001119553,1.0303742247500502,1.0999701001208544
2016,"cdr",1.1604909781070143,1.1208853741454279,1.2083527221047081
2017,"cdr",1.207913301268328,1.1554354531339712,1.2731795598389912
2018,"cdr",1.1914575483106142,1.1151835057575132,1.2883026380940987
2019,"cdr",1.4940158620297694,1.3612335612778688,1.6807215726378197
2020,"cdr",1.3007569217726578,1.1372979441291802,1.564053357719895
2021,"cdr",1.5226984533309507,1.240599271613491,2.097596184901212
2022,"cdr",2.460389749543696,1.7299594796507154,5.165147269542904
2004,"ipr",0.06003397920747551,0.05464314153636489,0.06581741138059216
2005,"ipr",0.06066904989575827,0.05479226285707428,0.06667341857343267
2006,"ipr",0.06104009159937769,0.054663922038826356,0.06713602868731115
2007,"ipr",0.06061772165286008,0.05385623876660878,0.06676038609227229
2008,"ipr",0.059721323083556696,0.052688013947252366,0.06596078852195755
2009,"ipr",0.05871816603267865,0.05157362385995248,0.06510640628453554
2010,"ipr",0.056467672098022545,0.04950504685759105,0.06279072678470711
2011,"ipr",0.053951477476043855,0.047247401644547514,0.06012203829351105
2012,"ipr",0.0508796090085912,0.0445757973942406,0.05671021237941059
2013,"ipr",0.04722349967652018,0.04110765677218927,0.05279209083037397
2014,"ipr",0.043556734946799076,0.03762405024192997,0.048921047712672944
2015,"ipr",0.03963286624738134,0.03399427412052956,0.04470727113820351
2016,"ipr",0.03537357613911827,0.03009944023485112,0.04019205606473854
2017,"ipr",0.031031457006467568,0.025997309438007717,0.03572616921747159
2018,"ipr",0.026648409184140742,0.021684651532566077,0.03145791137507896
2019,"ipr",0.022179079231174122,0.017273070362161847,0.026998350319879714
2020,"ipr",0.01746866420150019,0.01267634036050463,0.022243979257964598
2021,"ipr",0.012697011642046974,0.008018302391261323,0.01740955370554751
2022,"ipr",0.007880231647389897,0.003243391292821638,0.012618055779258813
2004,"imr",7.591914357232458,4.960251843024175,11.717710287537074
2005,"imr",5.615306609353668,3.9278440529007543,8.014921824285246
2006,"imr",5.341811668550421,3.7924080872921953,7.44932389113834
2007,"imr",5.762036607204783,4.0336190415250766,8.101119470501164
