"year","male < 15 yrs","male 15-19 yrs","male 20-24 yrs","male 25-29 yrs","male 30-34 yrs","male > 34 yrs","male all","female < 15 yrs","female 15-19 yrs","female 20-24 yrs","female 25-29 yrs","female 30-34 yrs","female > 34 yrs","female all"
2013,90,5304,12457,8220,3914,6337,36325,661,15146,18773,8149,3329,3453,49519
2014,78,5116,12853,8670,4343,6855,37917,624,14521,19569,8862,3667,3656,50902
2015,66,4621,12572,8930,4820,7519,38530,456,13289,18844,9276,4102,3922,49899
2016,79,4795,13491,10638,6003,9437,44448,448,13224,19790,9931,4393,4515,52311
2017,60,4894,14564,11814,7058,11134,49531,406,13160,20267,10531,4605,4743,53724
2018,72,4758,14872,12313,7578,12112,51708,406,12990,20524,10908,4888,5365,55085
2019,92,4654,14734,12692,8031,13459,53665,374,12374,20713,11103,5283,5750,55602
2020,60,4133,12451,10466,6625,10418,44158,318,10969,18481,9881,4603,4949,49202
2021,68,4189,11747,9854,6802,10757,43420,280,10989,17013,8783,4324,4474,45868
2022,54,4535,12385,10697,7682,12810,48165,276,11125,18097,8959,4331,4852,47644
