"year","male15_29_low","male15_29_high","female15_29_low","female15_29_high"
2001,67989,69907,53469,55403
2002,79149,82223,63188,64884
2003,93386,96717,73108,75300
2004,106284,110468,81049,83534
2005,115851,119288,86789,89264
2006,127152,130865,90370,93022
2007,139291,143366,94902,97683
2008,151236,155342,97695,100942
2009,159774,164660,99474,102615
2010,166725,172135,101778,105665
2011,167962,173675,102836,106968
2012,166275,170864,103837,106992
2013,162089,166794,102714,105487
2014,159691,165663,99121,101519
2015,160015,165394,97179,99390
2016,162925,167746,97934,100371
2017,165626,169948,99846,102331
2018,164427,168740,99859,103024
2019,161702,166599,97922,101100
2020,156440,162191,92172,95596
2021,151048,158796,87545,91461
2022,153882,167335,88341,93683
