region,context,sex,year,diagnoses,retested,prop_retested,prop_lower,prop_upper
urban,shc,male,2018,6535,3733,0.571231829,0.559117764,0.583261665
regional,shc,male,2018,718,341,0.474930362,0.43794415,0.512188476
remote,shc,male,2018,16,5,0.3125,0.121287185,0.585165367
regional+remote,shc,male,2018,734,346,0.471389646,0.434845077,0.50823773
urban,gp,male,2018,3751,2878,0.767262063,0.75333372,0.780638166
regional,gp,male,2018,159,110,0.691823899,0.61297135,0.761235077
remote,gp,male,2018,2,2,1,0.197867456,1
regional+remote,gp,male,2018,161,112,0.695652174,0.617475148,0.764317297
urban,shc,female,2018,2072,813,0.392374517,0.37132932,0.413822616
regional,shc,female,2018,384,133,0.346354167,0.299250416,0.396584373
remote,shc,female,2018,8,5,0.625,0.258947686,0.897592003
regional+remote,shc,female,2018,392,138,0.352040816,0.305180567,0.401849878
urban,gp,female,2018,274,100,0.364963504,0.308452461,0.425327242
regional,gp,female,2018,40,13,0.325,0.190744872,0.492431003
remote,gp,female,2018,0,0,0,0,0
regional+remote,gp,female,2018,40,13,0.325,0.190744872,0.492431003
urban,shc,all,2018,8684,4593,0.528903731,0.518337044,0.539444717
regional,shc,all,2018,1104,476,0.43115942,0.401787111,0.46101653
remote,shc,all,2018,24,10,0.416666667,0.227987626,0.630594233
regional+remote,shc,all,2018,1128,486,0.430851064,0.401797576,0.460381121
urban,gp,all,2018,4054,2999,0.739763197,0.7259091,0.753159195
regional,gp,all,2018,200,124,0.62,0.548532011,0.686778709
remote,gp,all,2018,2,2,1,0.197867456,1
regional+remote,gp,all,2018,202,126,0.623762376,0.552720197,0.690015745
urban,shc,male,2019,7255,3888,0.535906272,0.524345662,0.547428649
regional,shc,male,2019,900,409,0.454444444,0.421626613,0.48765611
remote,shc,male,2019,17,8,0.470588235,0.238572447,0.71466144
regional+remote,shc,male,2019,917,417,0.45474373,0.422230469,0.487640955
urban,gp,male,2019,3869,2919,0.754458516,0.740516832,0.767890601
regional,gp,male,2019,167,117,0.700598802,0.624146217,0.767646632
remote,gp,male,2019,2,2,1,0.197867456,1
regional+remote,gp,male,2019,169,119,0.704142012,0.628325216,0.770499627
urban,shc,female,2019,2240,801,0.357589286,0.337780229,0.377891436
regional,shc,female,2019,491,185,0.376782077,0.334044906,0.421477597
remote,shc,female,2019,17,5,0.294117647,0.113765984,0.559519924
regional+remote,shc,female,2019,508,190,0.374015748,0.332077252,0.417889369
urban,gp,female,2019,265,109,0.411320755,0.351934277,0.473321609
regional,gp,female,2019,31,11,0.35483871,0.198341479,0.546223945
remote,gp,female,2019,0,0,0,0,0
regional+remote,gp,female,2019,31,11,0.35483871,0.198341479,0.546223945
urban,shc,all,2019,9571,4743,0.495559503,0.485494437,0.50562815
regional,shc,all,2019,1396,597,0.42765043,0.401576827,0.45412659
remote,shc,all,2019,34,13,0.382352941,0.226872248,0.563752582
regional+remote,shc,all,2019,1430,610,0.426573427,0.400823754,0.452721898
urban,gp,all,2019,4168,3049,0.731525912,0.717741512,0.744880131
regional,gp,all,2019,201,128,0.63681592,0.565807054,0.702503231
remote,gp,all,2019,2,2,1,0.197867456,1
regional+remote,gp,all,2019,203,130,0.640394089,0.569823751,0.705557026
urban,shc,male,2020,5002,2434,0.486605358,0.472669846,0.500561576
regional,shc,male,2020,639,294,0.460093897,0.421030511,0.499643848
remote,shc,male,2020,5,3,0.6,0.170423581,0.92741596
regional+remote,shc,male,2020,644,297,0.461180124,0.422256683,0.500573197
urban,gp,male,2020,2907,2019,0.694530444,0.677364553,0.711177617
regional,gp,male,2020,109,60,0.550458716,0.452432054,0.644884013
remote,gp,male,2020,2,2,1,0.197867456,1
regional+remote,gp,male,2020,111,62,0.558558559,0.461317069,0.651694694
urban,shc,female,2020,1319,401,0.304018196,0.279423413,0.329768571
regional,shc,female,2020,284,111,0.39084507,0.334222545,0.450470857
remote,shc,female,2020,4,1,0.25,0.013191162,0.78057348
regional+remote,shc,female,2020,288,112,0.388888889,0.332733861,0.44805856
urban,gp,female,2020,234,81,0.346153846,0.286111187,0.4113388
regional,gp,female,2020,33,9,0.272727273,0.139401047,0.457864948
remote,gp,female,2020,0,0,0,0,0
regional+remote,gp,female,2020,33,9,0.272727273,0.139401047,0.457864948
urban,shc,all,2020,6392,2874,0.449624531,0.437385362,0.4619246
regional,shc,all,2020,928,408,0.439655172,0.407502161,0.472314096
remote,shc,all,2020,9,4,0.444444444,0.153430558,0.77347077
regional+remote,shc,all,2020,937,412,0.439701174,0.407703114,0.472199885
urban,gp,all,2020,3169,2114,0.667087409,0.650326729,0.683439605
regional,gp,all,2020,142,69,0.485915493,0.401759135,0.570845182
remote,gp,all,2020,3,2,0.666666667,0.125334472,0.982347206
regional+remote,gp,all,2020,145,71,0.489655172,0.406266665,0.573599997
urban,shc,male,2021,4703,2508,0.533276632,0.518890573,0.547607969
regional,shc,male,2021,580,185,0.318965517,0.281502864,0.358864388
remote,shc,male,2021,6,3,0.5,0.187616306,0.812383694
regional+remote,shc,male,2021,586,188,0.320819113,0.283475961,0.36054866
urban,gp,male,2021,3245,2253,0.694298921,0.678069545,0.710064353
regional,gp,male,2021,95,39,0.410526316,0.31208976,0.516280193
remote,gp,male,2021,5,3,0.6,0.170423581,0.92741596
regional+remote,gp,male,2021,100,42,0.42,0.323323648,0.522895404
urban,shc,female,2021,926,324,0.349892009,0.319323903,0.38172215
regional,shc,female,2021,324,83,0.25617284,0.210259035,0.307984794
remote,shc,female,2021,7,4,0.571428571,0.202371694,0.881916989
regional+remote,shc,female,2021,331,87,0.262839879,0.216928284,0.314365161
urban,gp,female,2021,207,82,0.396135266,0.329679959,0.466511232
regional,gp,female,2021,23,7,0.304347826,0.140563316,0.530057763
remote,gp,female,2021,1,0,0,0,0.945379244
regional+remote,gp,female,2021,24,7,0.291666667,0.134382357,0.512475708
urban,shc,all,2021,5674,2854,0.502996123,0.489900771,0.516087392
regional,shc,all,2021,909,272,0.299229923,0.269824895,0.330355874
remote,shc,all,2021,13,7,0.538461538,0.261203344,0.79598248
regional+remote,shc,all,2021,922,279,0.302603037,0.27329487,0.333579149
urban,gp,all,2021,3478,2346,0.674525589,0.658623186,0.690039338
regional,gp,all,2021,118,46,0.389830508,0.30269927,0.484237612
remote,gp,all,2021,6,3,0.5,0.187616306,0.812383694
regional+remote,gp,all,2021,124,49,0.39516129,0.30974413,0.48716955
urban,shc,male,2022,5366,2188,0.407752516,0.394582007,0.421055943
regional,shc,male,2022,611,165,0.2700491,0.235582383,0.307455758
remote,shc,male,2022,7,0,0,0,0.439066128
regional+remote,shc,male,2022,618,165,0.266990291,0.232858714,0.304067245
urban,gp,male,2022,3444,1939,0.56300813,0.54623565,0.579638977
regional,gp,male,2022,103,50,0.485436893,0.386540923,0.585431805
remote,gp,male,2022,3,0,0,0,0.690011894
regional+remote,gp,male,2022,106,50,0.471698113,0.374827832,0.570644508
urban,shc,female,2022,1102,228,0.206896552,0.183585183,0.232282809
regional,shc,female,2022,386,63,0.163212435,0.128529707,0.204763618
remote,shc,female,2022,7,4,0.571428571,0.202371694,0.881916989
regional+remote,shc,female,2022,393,67,0.170483461,0.13538533,0.212177529
urban,gp,female,2022,197,59,0.299492386,0.237527303,0.369428509
regional,gp,female,2022,13,1,0.076923077,0.004028557,0.379120138
remote,gp,female,2022,0,0,0,0,0
regional+remote,gp,female,2022,13,1,0.076923077,0.004028557,0.379120138
urban,shc,all,2022,6545,2445,0.373567609,0.36184945,0.385435061
regional,shc,all,2022,998,228,0.228456914,0.203000739,0.256035442
remote,shc,all,2022,14,4,0.285714286,0.095817612,0.579968271
regional+remote,shc,all,2022,1012,232,0.229249012,0.203930776,0.256653927
urban,gp,all,2022,3658,2004,0.54784035,0.531532887,0.564046589
regional,gp,all,2022,116,51,0.439655172,0.34862585,0.534734738
remote,gp,all,2022,3,0,0,0,0.690011894
regional+remote,gp,all,2022,119,51,0.428571429,0.339301191,0.522516772
