"step","indicator","break0","break1","break1ci","break2","break2ci","break3","break3ci"
"Proportion diagnosed","bic",-146.3336731053434,-177.28106319125095,"NA",-190.54313214037512,"NA",-189.46871311666968,"NA"
"Proportion diagnosed treated","breakpoint1",NA,2012,"(2011, 2013)",2007,"(2006, 2008)",2006,"(2005, 2007)"
"Proportion diagnosed treated","breakpoint2",NA,NA,"NA",2014,"(2013, 2015)",2009,"(2008, 2010)"
"Proportion diagnosed treated","breakpoint3",NA,NA,"NA",NA,"NA",2014,"(2013, 2015)"
"Proportion diagnosed treated","rss",0.004935281963792666,0.004935281963792666,"NA",9.617543581042051e-4,"NA",2.3519169141861875e-4,"NA"
"Proportion diagnosed treated","bic",-76.05610859775258,-91.40961994574029,"NA",-115.13054337912054,"NA",-134.31051022354254,"NA"
"Proportion treated suppressed","breakpoint1",NA,2012,"(2011, 2013)",2006,"(2005, 2007)",2006,"(2005, 2007)"
"Proportion treated suppressed","breakpoint2",NA,NA,"NA",2014,"(2013, 2015)",2012,"(2011, 2013)"
"Proportion treated suppressed","breakpoint3",NA,NA,"NA",NA,"NA",2018,"(2017, 2019)"
"Proportion treated suppressed","rss",0.004961874423262831,0.004961874423262831,"NA",6.476600595349427e-4,"NA",3.6343202827143555e-4,"NA"
"Proportion treated suppressed","bic",-58.95758566766742,-91.30214453594134,"NA",-123.03840565581827,"NA",-125.60668227727794,"NA"
"Yearly diagnosed fraction","breakpoint1",NA,2019,"(2018, 2020)",2016,"(2015, 2017)",2007,"(2004, 2008)"
"Yearly diagnosed fraction","breakpoint2",NA,NA,"NA",2020,"(2019, 2021)",2015,"(2014, 2016)"
"Yearly diagnosed fraction","breakpoint3",NA,NA,"NA",NA,"NA",2020,"(2019, 2021)"
"Yearly diagnosed fraction","rss",0.006876718930610844,0.006876718930610844,"NA",0.004224533861462707,"NA",0.0029763954992887837,"NA"
"Yearly diagnosed fraction","bic",-69.01464169475639,-84.77498330977282,"NA",-85.53244073905763,"NA",-83.54916235174153,"NA"
"Case detection rate","breakpoint1",NA,2020,"(2018, 2021)",2013,"(2011, 2014)",2007,"(2005, 2008)"
"Case detection rate","breakpoint2",NA,NA,"NA",2020,"(2019, 2021)",2017,"(2014, 2018)"
"Case detection rate","breakpoint3",NA,NA,"NA",NA,"NA",2020,"(2019, 2021)"
"Case detection rate","rss",0.24675231664642513,0.24675231664642513,"NA",0.16558863704169385,"NA",0.13553554795176814,"NA"
"Case detection rate","bic",-0.4638018773816537,-13.17011474306145,"NA",-12.160486806571168,"NA",-7.1787433914789105,"NA"
"Incidence mortality ratio","breakpoint1",NA,2015,"(2014, 2019)",2014,"(2013, 2015)",2011,"(NA, NA)"
"Incidence mortality ratio","breakpoint2",NA,NA,"NA",2017,"(2016, 2018)",2014,"(NA, NA)"
"Incidence mortality ratio","breakpoint3",NA,NA,"NA",NA,"NA",2017,"(2016, 2018)"
"Incidence mortality ratio","rss",24.434025244585634,24.434025244585634,"NA",17.992449034815376,"NA",10.624314200903985,"NA"
"Incidence mortality ratio","bic",80.4526450258865,78.73682226154764,"NA",81.60352975542148,"NA",80.05458647835576,"NA"
