"year","indicator","value"
2004,"unsuppressed","3,030 (0‒0)"
2005,"unsuppressed","2,860 (0‒0)"
2006,"unsuppressed","2,530 (0‒0)"
2007,"unsuppressed","2,330 (0‒0)"
2008,"unsuppressed","2,010 (0‒0)"
2009,"unsuppressed","1,930 (0‒0)"
2010,"unsuppressed","1,840 (0‒0)"
2011,"unsuppressed","1,840 (0‒0)"
2012,"unsuppressed","1,600 (0‒0)"
2013,"unsuppressed","1,260 (0‒0)"
2014,"unsuppressed","1,180 (0‒0)"
2015,"unsuppressed","1,020 (0‒0)"
2016,"unsuppressed","1,070 (0‒0)"
2017,"unsuppressed","700 (0‒0)"
2018,"unsuppressed","600 (0‒0)"
2019,"unsuppressed","730 (0‒0)"
2020,"unsuppressed","840 (0‒0)"
2021,"unsuppressed","570 (0‒0)"
2022,"unsuppressed","400 (0‒0)"
2023,"unsuppressed","670 (0‒0)"
2004,"diagnoses_exclude","890 (0‒0)"
2005,"diagnoses_exclude","960 (0‒0)"
2006,"diagnoses_exclude","980 (0‒0)"
2007,"diagnoses_exclude","950 (0‒0)"
2008,"diagnoses_exclude","900 (0‒0)"
2009,"diagnoses_exclude","950 (0‒0)"
2010,"diagnoses_exclude","910 (0‒0)"
2011,"diagnoses_exclude","980 (0‒0)"
2012,"diagnoses_exclude","1,070 (0‒0)"
2013,"diagnoses_exclude","1,040 (0‒0)"
2014,"diagnoses_exclude","1,080 (0‒0)"
2015,"diagnoses_exclude","1,030 (0‒0)"
2016,"diagnoses_exclude","1,010 (0‒0)"
2017,"diagnoses_exclude","960 (0‒0)"
2018,"diagnoses_exclude","840 (0‒0)"
2019,"diagnoses_exclude","900 (0‒0)"
2020,"diagnoses_exclude","630 (0‒0)"
2021,"diagnoses_exclude","540 (0‒0)"
2022,"diagnoses_exclude","550 (0‒0)"
2023,"diagnoses_exclude","720 (0‒0)"
2004,"diagnoses_include","920 (0‒0)"
2005,"diagnoses_include","980 (0‒0)"
2006,"diagnoses_include","1,020 (0‒0)"
2007,"diagnoses_include","1,060 (0‒0)"
2008,"diagnoses_include","1,020 (0‒0)"
2009,"diagnoses_include","1,080 (0‒0)"
2010,"diagnoses_include","1,070 (0‒0)"
2011,"diagnoses_include","1,150 (0‒0)"
2012,"diagnoses_include","1,260 (0‒0)"
2013,"diagnoses_include","1,250 (0‒0)"
2014,"diagnoses_include","1,340 (0‒0)"
2015,"diagnoses_include","1,250 (0‒0)"
2016,"diagnoses_include","1,270 (0‒0)"
2017,"diagnoses_include","1,250 (0‒0)"
2018,"diagnoses_include","1,130 (0‒0)"
2019,"diagnoses_include","1,240 (0‒0)"
2020,"diagnoses_include","950 (0‒0)"
2021,"diagnoses_include","730 (0‒0)"
2022,"diagnoses_include","890 (0‒0)"
2023,"diagnoses_include","1,300 (0‒0)"
2004,"diagnoses_os","20 (0‒0)"
2005,"diagnoses_os","20 (0‒0)"
2006,"diagnoses_os","40 (0‒0)"
2007,"diagnoses_os","100 (0‒0)"
2008,"diagnoses_os","120 (0‒0)"
2009,"diagnoses_os","130 (0‒0)"
2010,"diagnoses_os","160 (0‒0)"
2011,"diagnoses_os","170 (0‒0)"
2012,"diagnoses_os","190 (0‒0)"
2013,"diagnoses_os","210 (0‒0)"
2014,"diagnoses_os","260 (0‒0)"
2015,"diagnoses_os","220 (0‒0)"
2016,"diagnoses_os","260 (0‒0)"
2017,"diagnoses_os","290 (0‒0)"
2018,"diagnoses_os","290 (0‒0)"
2019,"diagnoses_os","340 (0‒0)"
2020,"diagnoses_os","320 (0‒0)"
2021,"diagnoses_os","190 (0‒0)"
2022,"diagnoses_os","340 (0‒0)"
2023,"diagnoses_os","580 (0‒0)"
2004,"infections","910 (890‒930)"
2005,"infections","940 (920‒960)"
2006,"infections","960 (940‒980)"
2007,"infections","980 (960‒1,000)"
2008,"infections","990 (970‒1,010)"
2009,"infections","1,000 (980‒1,030)"
2010,"infections","1,000 (970‒1,030)"
2011,"infections","1,000 (970‒1,030)"
2012,"infections","990 (960‒1,020)"
2013,"infections","970 (940‒1,000)"
2014,"infections","940 (920‒980)"
2015,"infections","910 (890‒940)"
2016,"infections","880 (860‒900)"
2017,"infections","830 (800‒860)"
2018,"infections","780 (740‒820)"
2019,"infections","720 (660‒770)"
2020,"infections","650 (570‒720)"
2021,"infections","570 (470‒670)"
2022,"infections","480 (360‒600)"
2023,"infections","380 (230‒540)"
2004,"propdiagnosed","83% (0‒0%)"
2005,"propdiagnosed","83·5% (0‒0%)"
2006,"propdiagnosed","84% (0‒0%)"
2007,"propdiagnosed","84·5% (0‒0%)"
2008,"propdiagnosed","85·1% (0‒0%)"
2009,"propdiagnosed","85·8% (0‒0%)"
2010,"propdiagnosed","86·5% (0‒0%)"
2011,"propdiagnosed","87·2% (0‒0%)"
2012,"propdiagnosed","87·8% (0‒0%)"
2013,"propdiagnosed","88·4% (0‒0%)"
2014,"propdiagnosed","88·9% (0‒0%)"
2015,"propdiagnosed","89·3% (0‒0%)"
2016,"propdiagnosed","89·7% (0‒0%)"
2017,"propdiagnosed","90% (0‒0%)"
2018,"propdiagnosed","90·3% (0‒0%)"
2019,"propdiagnosed","90·6% (0‒0%)"
2020,"propdiagnosed","90·8% (0‒0%)"
2021,"propdiagnosed","90·7% (0‒0%)"
2022,"propdiagnosed","91% (0‒0%)"
2023,"propdiagnosed","92·1% (0‒0%)"
2004,"proptreated","58·8% (0‒0%)"
2005,"proptreated","62·1% (0‒0%)"
2006,"proptreated","66% (0‒0%)"
2007,"proptreated","65·8% (0‒0%)"
2008,"proptreated","64·9% (0‒0%)"
2009,"proptreated","65·8% (0‒0%)"
2010,"proptreated","71·5% (0‒0%)"
2011,"proptreated","74·7% (0‒0%)"
2012,"proptreated","78·1% (0‒0%)"
2013,"proptreated","82·4% (0‒0%)"
2014,"proptreated","85·6% (0‒0%)"
2015,"proptreated","88·6% (0‒0%)"
2016,"proptreated","89·6% (0‒0%)"
2017,"proptreated","91·4% (0‒0%)"
2018,"proptreated","91·3% (0‒0%)"
2019,"proptreated","92·5% (0‒0%)"
2020,"proptreated","93·2% (0‒0%)"
2021,"proptreated","93·8% (0‒0%)"
2022,"proptreated","94·7% (0‒0%)"
2023,"proptreated","96·6% (0‒0%)"
2004,"propsuppressed","60·1% (0‒0%)"
2005,"propsuppressed","66·1% (0‒0%)"
2006,"propsuppressed","73·3% (0‒0%)"
2007,"propsuppressed","76·5% (0‒0%)"
2008,"propsuppressed","80·3% (0‒0%)"
2009,"propsuppressed","82·3% (0‒0%)"
2010,"propsuppressed","85·1% (0‒0%)"
2011,"propsuppressed","86·5% (0‒0%)"
