"year","male15_29_low","male15_29_high","female15_29_low","female15_29_high"
2001,59241,61718,52464,54753
2002,71584,73742,62429,64736
2003,85832,88528,72309,74656
2004,98523,101961,79639,82486
2005,109485,113043,85068,87826
2006,119101,123180,88491,91454
2007,128564,132647,91527,94446
2008,137386,142330,94944,98461
2009,147831,153024,98643,103091
2010,155156,161394,101666,105954
2011,154638,160717,102618,106693
2012,150906,156048,101391,105268
2013,146671,152272,99692,103345
2014,145639,152158,98735,102305
2015,150207,159639,99577,105067
