"region","context","sex","year","diagnoses","retested","prop_retested","prop_lower","prop_upper"
"urban","shc","male","2020",4961,2459,0.495666196331385,0.481661364904402,0.509677782730215
"regional","shc","male","2020",626,294,0.469648562300319,0.430066887409448,0.509608010035103
"remote","shc","male","2020",7,5,0.714285714285714,0.302560029813928,0.948875693954224
"regional+remote","shc","male","2020",633,299,0.472353870458136,0.432964848349422,0.512083171645366
"urban","gp","male","2020",2846,1968,0.691496837666901,0.674101094480364,0.708370981744421
"regional","gp","male","2020",108,60,0.555555555555556,0.456976855812641,0.65013264655942
"remote","gp","male","2020",3,3,1,0.309988106441957,1
"regional+remote","gp","male","2020",111,63,0.567567567567568,0.470212500307854,0.660185203829386
"urban","shc","female","2020",1274,410,0.32182103610675,0.296353303060922,0.348376416844803
"regional","shc","female","2020",275,106,0.385454545454545,0.328141690701068,0.446022500009041
"remote","shc","female","2020",4,1,0.25,0.0131911618237266,0.780573479934637
"regional+remote","shc","female","2020",279,107,0.383512544802867,0.326687748949161,0.443600200721529
"urban","gp","female","2020",202,73,0.361386138613861,0.295961952304901,0.432175356057978
"regional","gp","female","2020",29,9,0.310344827586207,0.159756990989153,0.509531228007781
"remote","gp","female","2020",0,0,0,0,0
"regional+remote","gp","female","2020",29,9,0.310344827586207,0.159756990989153,0.509531228007781
"urban","shc","all","2020",6278,2888,0.460019114367633,0.447639250004303,0.472448192574938
"regional","shc","all","2020",905,403,0.445303867403315,0.412676331848664,0.478401650678535
"remote","shc","all","2020",11,6,0.545454545454545,0.24562185286073,0.818621333323537
"regional+remote","shc","all","2020",916,409,0.446506550218341,0.414063023485438,0.479404437209465
"urban","gp","all","2020",3057,2045,0.668956493294079,0.651906380806141,0.685578358500829
"regional","gp","all","2020",138,70,0.507246376811594,0.421242954937737,0.592840477807332
"remote","gp","all","2020",3,3,1,0.309988106441957,1
"regional+remote","gp","all","2020",141,73,0.517730496453901,0.43241250146653,0.602068104801902
"urban","shc","male","2021",4583,2459,0.536548112590007,0.521977184300911,0.551057360705499
"regional","shc","male","2021",616,265,0.430194805194805,0.390850804058757,0.470421945547172
"remote","shc","male","2021",8,4,0.5,0.215216062213878,0.784783937786122
"regional+remote","shc","male","2021",624,269,0.431089743589744,0.391984163968401,0.471055915491425
"urban","gp","male","2021",3200,2243,0.7009375,0.684682515153888,0.716705887316797
