"year","male < 15 yrs","male 15-19 yrs","male 20-24 yrs","male 25-29 yrs","male 30-34 yrs","male > 34 yrs","male all","female < 15 yrs","female 15-19 yrs","female 20-24 yrs","female 25-29 yrs","female 30-34 yrs","female > 34 yrs","female all"
2015,67,4620,12572,8933,4820,7521,38535,456,13287,18841,9275,4102,3920,49892
2016,79,4793,13489,10644,6004,9438,44452,448,13223,19786,9931,4392,4513,52305
2017,60,4893,14564,11822,7061,11131,49538,406,13157,20262,10530,4603,4741,53710
2018,70,4757,14876,12316,7582,12105,51709,407,13014,20549,10920,4894,5380,55169
2019,91,4657,14740,12684,8029,13464,53667,373,12397,20765,11140,5298,5768,55744
2020,59,4135,12453,10471,6627,10415,44166,318,10996,18526,9914,4622,4977,49353
2021,64,4201,11747,9856,6809,10749,43428,280,11005,17047,8819,4344,4490,45989
2022,56,4551,12454,10749,7721,12849,48382,282,11208,18240,9044,4371,4876,48026
2023,69,4979,14197,12212,9123,15824,56410,335,12169,20847,10997,5306,5994,55652
2024,58,4344,12611,11390,8633,15225,52264,273,10225,18586,10843,5302,6276,51509
