"year","male15_29_low","male15_29_high","female15_29_low","female15_29_high"
2001,63878,65252,54945,57001
2002,75267,76357,62172,65511
2003,87840,89091,72865,75315
2004,100658,103538,81761,84813
2005,112503,115846,88129,91113
2006,123918,126538,92547,94893
2007,130465,134208,96376,99023
2008,140695,144190,99109,103548
2009,152668,157844,105580,108919
2010,157939,164234,108732,112219
2011,157440,162257,109973,112987
2012,158095,162233,109885,111361
2013,156823,160486,107448,110969
2014,158127,162446,104109,107565
2015,159757,164199,101917,104598
2016,160577,162971,102770,105434
2017,162079,167314,102653,105142
2018,162545,168445,101453,104393
2019,165171,169609,99855,102602
2020,163298,169616,96211,99220
2021,161023,169530,93884,97161
2022,165635,171284,96019,99551
2023,168596,173504,101944,105196
2024,171407,179935,104773,110315
