"step","indicator","break0","break1","break1ci","break2","break2ci","break3","break3ci"
"Yearly diagnosed fraction","rss",0.0070517757887864595,0.0070517757887864595,"NA",0.004228233802245528,"NA",0.003180926418872753,"NA"
"Yearly diagnosed fraction","bic",-66.44975069774428,-84.27222668039684,"NA",-85.514931960081,"NA",-82.219972818802745,"NA"
"Case detection rate","breakpoint1",NA,2020,"(2017, 2021)",2013,"(2011, 2014)",2007,"(2005, 2008)"
"Case detection rate","breakpoint2",NA,NA,"NA",2020,"(2018, 2021)",2017,"(2015, 2018)"
"Case detection rate","breakpoint3",NA,NA,"NA",NA,"NA",2020,"(2019, 2021)"
"Case detection rate","rss",0.29136567600710706,0.29136567600710706,"NA",0.1769517301920503,"NA",0.14397143956810723,"NA"
"Case detection rate","bic",-2.6299212335804683,-9.846234143845653,"NA",-10.833079568507618,"NA",-5.971123568444547,"NA"
"Incidence mortality ratio","breakpoint1",NA,2015,"(2014, 2019)",2014,"(2013, 2015)",2011,"(NA, NA)"
"Incidence mortality ratio","breakpoint2",NA,NA,"NA",2017,"(2016, 2018)",2014,"(NA, NA)"
"Incidence mortality ratio","breakpoint3",NA,NA,"NA",NA,"NA",2017,"(2016, 2018)"
"Incidence mortality ratio","rss",22.455441358538607,22.455441358538607,"NA",16.352913290410942,"NA",9.580899354319486,"NA"
"Incidence mortality ratio","bic",78.87680391456273,77.04794873027262,"NA",79.69260760649955,"NA",77.98711245771348,"NA"
