"year","stage","value","lower","upper"
2011,"noART",4677.989192316327,0,0
2012,"noART",4321.139144981904,0,0
2013,"noART",3246.127032890068,0,0
2014,"noART",2707.26168572835,0,0
2015,"noART",2291.5954148681813,0,0
2016,"noART",2142.2168014185445,0,0
2017,"noART",1815.4771885356386,0,0
2018,"noART",1818.3730510311252,0,0
2019,"noART",1566.984701715155,0,0
2020,"noART",1415.2316720483177,0,0
2021,"noART",1216.34527128029,0,0
2022,"noART",876.275625026381,0,0
2023,"noART",412.2577758235748,0,0
2004,"unsuppressed",2589.9886561562093,0,0
2005,"unsuppressed",2438.13080726534,0,0
2006,"unsuppressed",2155.268801053089,0,0
2007,"unsuppressed",1995.334687627921,0,0
2008,"unsuppressed",1722.2578250181296,0,0
2009,"unsuppressed",1625.5218565098694,0,0
2010,"unsuppressed",1579.6719865211307,0,0
2011,"unsuppressed",1514.8712027454003,0,0
2012,"unsuppressed",1329.4192780870999,0,0
2013,"unsuppressed",1076.8156926608008,0,0
2014,"unsuppressed",1049.742511937,0,0
2015,"unsuppressed",891.0350338044991,0,0
2016,"unsuppressed",933.0166095661007,0,0
2017,"unsuppressed",638.2098826436013,0,0
2018,"unsuppressed",528.2645218945981,0,0
2019,"unsuppressed",626.5426251691024,0,0
2020,"unsuppressed",755.5683630194981,0,0
2021,"unsuppressed",468.57418010309993,0,0
2022,"unsuppressed",351.9566611388,0,0
2023,"unsuppressed",553.0612805616001,0,0
2004,"diagnoses_exclude",775,0,0
2005,"diagnoses_exclude",864,0,0
2006,"diagnoses_exclude",845,0,0
2007,"diagnoses_exclude",843,0,0
2008,"diagnoses_exclude",790,0,0
2009,"diagnoses_exclude",827,0,0
2010,"diagnoses_exclude",801,0,0
2011,"diagnoses_exclude",881,0,0
2012,"diagnoses_exclude",965,0,0
2013,"diagnoses_exclude",927,0,0
2014,"diagnoses_exclude",974,0,0
2015,"diagnoses_exclude",919,0,0
2016,"diagnoses_exclude",913,0,0
2017,"diagnoses_exclude",845,0,0
2018,"diagnoses_exclude",755,0,0
2019,"diagnoses_exclude",791,0,0
2020,"diagnoses_exclude",540,0,0
2021,"diagnoses_exclude",475,0,0
2022,"diagnoses_exclude",460,0,0
2023,"diagnoses_exclude",619,0,0
2004,"diagnoses_include",790,0,0
2005,"diagnoses_include",883,0,0
2006,"diagnoses_include",866,0,0
2007,"diagnoses_include",915,0,0
2008,"diagnoses_include",872,0,0
2009,"diagnoses_include",929,0,0
2010,"diagnoses_include",909,0,0
2011,"diagnoses_include",1005,0,0
2012,"diagnoses_include",1101,0,0
2013,"diagnoses_include",1082,0,0
2014,"diagnoses_include",1151,0,0
2015,"diagnoses_include",1083,0,0
2016,"diagnoses_include",1099,0,0
2017,"diagnoses_include",1074,0,0
2018,"diagnoses_include",978,0,0
2019,"diagnoses_include",1060,0,0
2020,"diagnoses_include",780,0,0
2021,"diagnoses_include",610,0,0
2022,"diagnoses_include",727,0,0
2023,"diagnoses_include",1086,0,0
2004,"diagnoses_os",15,0,0
2005,"diagnoses_os",19,0,0
2006,"diagnoses_os",21,0,0
2007,"diagnoses_os",72,0,0
2008,"diagnoses_os",82,0,0
2009,"diagnoses_os",102,0,0
2010,"diagnoses_os",108,0,0
2011,"diagnoses_os",124,0,0
2012,"diagnoses_os",136,0,0
2013,"diagnoses_os",155,0,0
2014,"diagnoses_os",177,0,0
2015,"diagnoses_os",164,0,0
2016,"diagnoses_os",186,0,0
2017,"diagnoses_os",229,0,0
2018,"diagnoses_os",223,0,0
2019,"diagnoses_os",269,0,0
2020,"diagnoses_os",240,0,0
2021,"diagnoses_os",135,0,0
2022,"diagnoses_os",267,0,0
2023,"diagnoses_os",467,0,0
2004,"infections",800,776,823
2005,"infections",828,804,848
2006,"infections",851,827,871
2007,"infections",868,842,889
2008,"infections",880,852,903
2009,"infections",887,857,913
2010,"infections",888,858,915
2011,"infections",884,854,913
2012,"infections",875,845,904
2013,"infections",860,831,888
2014,"infections",839,809,869
2015,"infections",812,785,842
2016,"infections",780,755,808
2017,"infections",741,713,770
2018,"infections",695,650,740
2019,"infections",643,597,712
2020,"infections",583,514,674
2021,"infections",517,419,626
2022,"infections",442,314,572
2023,"infections",360,198,513
2004,"propdiagnosed",0.8361080479099138,0,0
2005,"propdiagnosed",0.8406483409746407,0,0
2006,"propdiagnosed",0.8452986642510479,0,0
2007,"propdiagnosed",0.8503856051049739,0,0
2008,"propdiagnosed",0.8558079328010444,0,0
2009,"propdiagnosed",0.8620855404834303,0,0
2010,"propdiagnosed",0.8681516373498331,0,0
2011,"propdiagnosed",0.8744198605933587,0,0
2012,"propdiagnosed",0.8805260557562969,0,0
2013,"propdiagnosed",0.8856752053010403,0,0
2014,"propdiagnosed",0.8898780045343875,0,0
2015,"propdiagnosed",0.8939169923822514,0,0
2016,"propdiagnosed",0.8968286536009619,0,0
2017,"propdiagnosed",0.899443162721949,0,0
2018,"propdiagnosed",0.9020307996829835,0,0
2019,"propdiagnosed",0.9047553055750835,0,0
2020,"propdiagnosed",0.9057586093732566,0,0
2021,"propdiagnosed",0.9033915877181634,0,0
2022,"propdiagnosed",0.9053221187290642,0,0
2023,"propdiagnosed",0.9156842292156435,0,0
2004,"proptreated",0.5550768114632822,0,0
2005,"proptreated",0.586092094309442,0,0
2006,"proptreated",0.6241294025068203,0,0
2007,"proptreated",0.6242461892158001,0,0
2008,"proptreated",0.6170206916748681,0,0
2009,"proptreated",0.6273862534290109,0,0
2010,"proptreated",0.6818839181957581,0,0
2011,"proptreated",0.7153862942219774,0,0
2012,"proptreated",0.7496147368231986,0,0
2013,"proptreated",0.8193393194159156,0,0
2014,"proptreated",0.8552593328718363,0,0
2015,"proptreated",0.8827834153113451,0,0
2016,"proptreated",0.8944597173135163,0,0
2017,"proptreated",0.9133421913576978,0,0
2018,"proptreated",0.9155134744212673,0,0
2019,"proptreated",0.929241167946077,0,0
2020,"proptreated",0.9374486418428507,0,0
2021,"proptreated",0.9466329298737604,0,0
2022,"proptreated",0.961873796898635,0,0
2023,"proptreated",0.9824496451954425,0,0
2004,"propsuppressed",0.6052631578947362,0,0
2005,"propsuppressed",0.6659932659932656,0,0
2006,"propsuppressed",0.7362565445026176,0,0
2007,"propsuppressed",0.7673814165042236,0,0
2008,"propsuppressed",0.8044728434504795,0,0
2009,"propsuppressed",0.8273067331670818,0,0
2010,"propsuppressed",0.8524788391777546,0,0
2011,"propsuppressed",0.8711656441717801,0,0
2012,"propsuppressed",0.8972375690607706,0,0
2013,"propsuppressed",0.9268565047459543,0,0
2014,"propsuppressed",0.9343786295005821,0,0
2015,"propsuppressed",0.9483712354025843,0,0
2016,"propsuppressed",0.9486094316807704,0,0
2017,"propsuppressed",0.9666460778258188,0,0
2018,"propsuppressed",0.9731903485254667,0,0
2019,"propsuppressed",0.9695534506089332,0,0
2020,"propsuppressed",0.9643765903307893,0,0
2021,"propsuppressed",0.9782823297137218,0,0
2022,"propsuppressed",0.9840796019900475,0,0
2023,"propsuppressed",0.9760348583877999,0,0
2004,"propoverall",0.28090516719132486,0,0
2005,"propoverall",0.3281331151013127,0,0
2006,"propoverall",0.3884310988489346,0,0
2007,"propoverall",0.4073644045011296,0,0
2008,"propoverall",0.42480285247342753,0,0
2009,"propoverall",0.4474576304627362,0,0
2010,"propoverall",0.5046492638999269,0,0
2011,"propoverall",0.5449559121489902,0,0
2012,"propoverall",0.5922264195933695,0,0
2013,"propoverall",0.6725905879910365,0,0
2014,"propoverall",0.7111335875778759,0,0
2015,"propoverall",0.7483930254568532,0,0
2016,"propoverall",0.7609527667124448,0,0
2017,"propoverall",0.7940991625472428,0,0
2018,"propoverall",0.8036813688400858,0,0
2019,"propoverall",0.8151383704584014,0,0
2020,"propoverall",0.8188542634495892,0,0
2021,"propoverall",0.8366077033320916,0,0
2022,"propoverall",0.8569420516387056,0,0
2023,"propoverall",0.8780542776788219,0,0
2004,"ydf",0.2454005529273209,0.2330325383455223,0.256590329372751
2005,"ydf",0.26548333614647457,0.25297972326288237,0.2756896250269862
2006,"ydf",0.2635558990605755,0.25177398356467345,0.27287957303295685
