"year","male15_29_low","male15_29_high","female15_29_low","female15_29_high"
2001,58255,60757,53240,55749
2002,70406,72871,64109,66470
2003,84640,87890,75064,77738
2004,97761,101251,83825,86642
2005,108708,112364,89408,92329
2006,120409,124671,93946,96916
2007,130480,134740,97819,100805
2008,140453,145433,100419,103676
2009,151443,157057,103395,107208
2010,158634,164714,106650,110780
2011,161592,168007,106914,111183
2012,158344,164824,105406,109207
2013,153320,159188,103027,106269
2014,148678,157048,100324,106415
