"year","state","arrivals","departures","nom","grouping","erp","depart_rate"
2022,"wa",7510,9660,-2150,"australian",2834117,0.00340846902227396
2022,"tas",680,900,-220,"australian",572352,0.00157245890640725
2022,"nt",430,860,-430,"australian",251248,0.00342291281920652
2022,"act",1780,2820,-1040,"australian",461126,0.00611546518738913
2022,"all",66360,90400,-24040,"australian",26315575,0.00343522799710818
2022,"nsw",223110,80710,142400,"total",8249295,0.0097838663788845
2022,"vic",189050,58470,130580,"total",6719487,0.0087015571277986
2022,"qld",106830,41190,65640,"total",5386914,0.00764630732920555
2022,"sa",34940,9280,25660,"total",1836096,0.00505420195893897
2022,"wa",66950,22760,44190,"total",2834117,0.00803071997380489
2022,"tas",6680,2510,4170,"total",572352,0.00438541317231354
2022,"nt",6140,3630,2510,"total",251248,0.0144478762019996
2022,"act",12290,5290,7000,"total",461126,0.0114719187380456
2022,"all",646110,223880,422230,"total",26315575,0.00850750933620109
