"year","state","erp","arrivals","departures","nom","grouping","depart_rate"
2014,"act",391981,9310,6100,3210,"Total",0.0155619787693791
2014,"all",23640331,458760,276410,182350,"Total",0.0116923066770935
2015,"nsw",7671401,164230,91390,72840,"Total",0.0119130781978416
2015,"vic",6093049,132710,68520,64190,"Total",0.0112456013401501
2015,"qld",4804933,79920,60440,19480,"Total",0.0125787393913713
2015,"sa",1705937,23550,12300,11250,"Total",0.00721011385531822
2015,"wa",2547745,52470,39720,12740,"Total",0.0155902572667202
2015,"tas",515694,4040,2620,1410,"Total",0.00508053225362327
2015,"nt",244090,6880,5340,1540,"Total",0.0218771764513089
2015,"act",398874,9460,6190,3270,"Total",0.0155186850985524
2015,"all",23984581,473250,286520,186730,"Total",0.0119460081458167
2016,"nsw",7801785,186750,90550,96200,"Total",0.0116063182976716
2016,"vic",6244863,150750,67850,82910,"Total",0.0108649301033505
2016,"qld",4883821,86130,53700,32430,"Total",0.0109954889829091
2016,"sa",1717400,23990,11890,12110,"Total",0.00692325608477932
2016,"wa",2563708,50620,38650,11960,"Total",0.0150758198671612
2016,"tas",519810,4610,2330,2280,"Total",0.0044824070333391
2016,"nt",246183,6790,4710,2090,"Total",0.0191321090408355
2016,"act",407489,10000,6150,3850,"Total",0.0150924319429482
2016,"all",24389684,519650,275820,243830,"Total",0.0113088796066402
2017,"nsw",7922369,194250,99210,95040,"Total",0.0125227693888028
2017,"vic",6386605,159750,72990,86750,"Total",0.0114286072177628
2017,"qld",4962593,86120,58820,27310,"Total",0.0118526745997506
2017,"sa",1728324,23850,11580,12270,"Total",0.00670013261402376
2017,"wa",2582857,46080,33890,12180,"Total",0.0131211290443102
2017,"tas",525061,4930,2330,2600,"Total",0.00443757963360448
2017,"nt",246802,5760,4580,1180,"Total",0.0185573860827708
2017,"act",416341,10490,6030,4450,"Total",0.0144833201630394
2017,"all",24775564,531260,289480,241770,"Total",0.011684093246071
