"year","state","arrivals","departures"
"1983","nt",11213,9847
"1984","nt",10586,10404
"1985","nt",13563,12537
"1986","nt",14290,15277
"1987","nt",13909,15461
"1988","nt",15645,17969
"1989","nt",15626,17627
"1990","nt",16142,16779
"1991","nt",15529,16727
"1992","nt",17046,17655
"1993","nt",15839,16658
"1994","nt",15650,16588
"1995","nt",18847,17431
"1996","nt",19086,18626
"1997","nt",18079,17538
"1998","nt",16813,17501
"1999","nt",15979,16796
"2000","nt",16414,18035
"2001","nt",14890,16641
"2002","nt",15405,17845
"2003","nt",15049,17332
"2004","nt",16102,16584
"2005","nt",16436,15710
"2006","nt",16163,16494
"2007","nt",17218,16141
"2008","nt",17136,16255
"2009","nt",15980,15613
"2010","nt",15707,17306
"2011","nt",15484,17657
"2012","nt",14790,15929
"2013","nt",15169,17393
"2014","nt",13810,17202
"2015","nt",14320,17052
"2016","nt",14524,17702
"1982","act",14068,13927
"1983","act",14652,12781
"1984","act",15307,15108
"1985","act",19589,16402
"1986","act",18372,17230
"1987","act",19139,17049
"1988","act",19317,18992
"1989","act",19846,18683
"1990","act",19245,17463
"1991","act",18973,17054
"1992","act",19819,18695
"1993","act",18456,17175
"1994","act",17183,17926
"1995","act",18744,19923
"1996","act",20394,20641
"1997","act",17774,20955
"1998","act",17955,19247
"1999","act",19469,19091
"2000","act",19965,20183
"2001","act",19927,19574
"2002","act",19996,20374
"2003","act",18729,20543
"2004","act",17843,18974
"2005","act",18773,18303
"2006","act",18696,17945
"2007","act",19888,18996
"2008","act",19687,19139
"2009","act",17909,18010
"2010","act",19471,17731
"2011","act",18764,18281
"2012","act",17621,17571
"2013","act",18442,18820
"2014","act",16512,18060
"2015","act",18877,19412
"2016","act",20655,20034
"1982","all",277613,277613
"1983","all",243346,243346
"1984","all",254671,254671
"1985","all",282397,282397
"1986","all",290021,290021
"1987","all",313425,313425
"1988","all",346405,346405
"1989","all",362974,362974
"1990","all",340327,340327
"1991","all",326988,326988
"1992","all",365837,365837
"1993","all",339743,339743
"1994","all",336402,336402
"1995","all",361009,361009
"1996","all",382502,382502
"1997","all",368799,368799
"1998","all",360175,360175
