"year","state","arrivals","departures"
1982,"nsw",68553,85128
1983,"nsw",60685,74867
1984,"nsw",69833,78098
1985,"nsw",70914,83146
1986,"nsw",73236,82381
1987,"nsw",78360,89155
1988,"nsw",81485,104770
1989,"nsw",79474,121949
1990,"nsw",79248,107171
1991,"nsw",83933,96317
1992,"nsw",92948,108704
1993,"nsw",82550,97321
1994,"nsw",82343,94700
1995,"nsw",86636,101077
1996,"nsw",92965,107344
1997,"nsw",94327,105045
1998,"nsw",91429,103392
1999,"nsw",91387,105289
2000,"nsw",96797,111505
2001,"nsw",94431,113953
2002,"nsw",94729,125803
2003,"nsw",91508,123454
2004,"nsw",87191,115119
2005,"nsw",82329,108813
2006,"nsw",80263,105808
2007,"nsw",85398,108312
2008,"nsw",86227,107754
2009,"nsw",85185,97876
2010,"nsw",83675,94524
2011,"nsw",84350,100419
2012,"nsw",80990,97912
2013,"nsw",89231,100551
2014,"nsw",88129,93711
2015,"nsw",90858,99761
2016,"nsw",96317,109364
2017,"nsw",95558,114857
2018,"nsw",97035,118932
2019,"nsw",95315,117762
2020,"nsw",87140,106013
1982,"vic",39838,46856
1983,"vic",36080,38858
1984,"vic",36053,38288
1985,"vic",38468,44599
1986,"vic",39012,48495
1987,"vic",43437,52906
1988,"vic",48390,57122
1989,"vic",48568,58169
1990,"vic",45802,51647
1991,"vic",39027,52976
1992,"vic",43914,59805
1993,"vic",40434,62679
1994,"vic",39272,59115
1995,"vic",43771,59278
1996,"vic",45344,53964
1997,"vic",47694,50461
1998,"vic",47792,48076
1999,"vic",48742,46777
2000,"vic",51635,47797
2001,"vic",52866,48991
2002,"vic",54121,53250
2003,"vic",52527,53529
2004,"vic",49168,51197
2005,"vic",46082,48959
2006,"vic",45511,45818
2007,"vic",48236,49492
2008,"vic",47989,48325
2009,"vic",47977,46284
2010,"vic",45989,43659
2011,"vic",48183,45279
2012,"vic",48912,47396
2013,"vic",53879,47722
2014,"vic",53701,46749
2015,"vic",55513,46765
2016,"vic",62338,49402
2017,"vic",62689,50724
2018,"vic",63736,54172
2019,"vic",63974,55990
2020,"vic",47496,53697
1982,"qld",41075,27490
1983,"qld",32414,25497
1984,"qld",30192,26245
1985,"qld",34289,28691
1986,"qld",37394,29513
1987,"qld",43146,32554
1988,"qld",50501,35060
1989,"qld",64407,36165
1990,"qld",55089,37717
1991,"qld",51294,36762
1992,"qld",53959,36291
1993,"qld",61213,34807
1994,"qld",57773,35247
1995,"qld",62445,41514
1996,"qld",56627,41554
1997,"qld",47464,39589
1998,"qld",45788,38633
1999,"qld",46064,37660
2000,"qld",48357,38533
2001,"qld",49257,39776
2002,"qld",56867,40028
2003,"qld",57545,40159
2004,"qld",55695,39164
2005,"qld",51093,36543
2006,"qld",47520,35504
2007,"qld",50483,39239
2008,"qld",48430,39730
2009,"qld",46386,40500
2010,"qld",41200,39133
2011,"qld",42193,38715
2012,"qld",44865,38992
2013,"qld",45465,41643
2014,"qld",44091,41401
2015,"qld",44186,40814
2016,"qld",49338,42721
2017,"qld",49859,40484
2018,"qld",52202,40639
2019,"qld",53333,42735
2020,"qld",48494,35476
1982,"sa",5765,6367
1983,"sa",5457,5317
1984,"sa",5388,5573
1985,"sa",6007,6163
1986,"sa",6294,6385
1987,"sa",6754,7548
1988,"sa",8348,8807
1989,"sa",8938,8365
1990,"sa",8556,8289
1991,"sa",8530,7955
1992,"sa",8456,8406
1993,"sa",7498,9634
1994,"sa",7252,8697
1995,"sa",7111,9325
1996,"sa",7993,9458
1997,"sa",7365,8075
1998,"sa",7089,7372
