year,pldhiv,duplicates,deaths,emigrants,diag_departs,inter_departs,inter_arrivals
1980,2.0,0.0,0.0,0.0,0.0,0.0,0.0
1981,2.956703823279705,0.0,1.23463768115942,0.004872909155551162,0.020000000000000018,0.0,-0.0
1982,3.697193232964734,0.0,0.0,0.006800705230507517,0.040000000000000036,0.0,-0.0
1983,23.65039252773423,0.0,3.7039130434782517,0.04900571842132469,0.40000000000000036,0.0,-0.0
1984,550.7835358404882,8.713937925346496,20.988840579710164,0.9695045860933268,10.625721241493078,0.0,-0.0
1985,2502.069157073075,111.13031236011629,88.89391304347818,3.617743787142954,39.67739375279771,0.0,-0.0
1986,4110.496239177775,199.3838673118808,190.13420289855077,5.921723069056118,34.812322653762415,0.0,-0.0
1987,5590.102995173497,708.5249953829091,253.10072463768134,8.612644151410809,34.20950009234185,0.0,-0.0
1988,6793.024774800636,315.1553514914272,300.01695652173936,10.238953724914332,29.976892970171484,0.0,-0.0
1989,8000.739628952494,239.05234263131638,517.3131884057972,14.507674160082395,30.9589531473737,0.0,-0.0
1990,8832.365422713541,165.5943905256997,665.469710144928,19.302946007326632,27.88811218948603,0.0,-0.0
1991,9376.729621997732,234.97503237406787,743.2518840579708,19.919503508841174,25.140499352518663,0.0,-0.0
1992,9787.081846688248,58.33588839015317,797.5759420289852,19.371571567077908,23.973282232196958,0.0,-0.0
1993,9976.167261435698,65.99378942429018,902.5201449275357,19.509239298860884,20.600124211514213,0.0,-0.0
1994,9936.080438709012,146.45731428877494,972.894492753623,18.52503505757938,18.050853714224516,0.0,-0.0
1995,9837.55210922407,40.05794795951458,855.6039130434777,18.6710378392967,18.218841040809725,0.0,-0.0
1996,9832.53290545803,35.52541184245663,691.3971014492756,18.857134556921746,17.749491763150882,0.0,-0.0
1997,9843.331317460286,96.19786022839604,361.74884057970996,19.891795139035427,14.776042795432092,0.0,-0.0
1998,10130.035706926215,88.87893201989188,264.2124637681157,22.37028014429641,13.662421359602174,0.0,-0.0
1999,10549.8505287968,4.940012857401357,241.98898550724587,26.33738231951153,14.401199742851986,0.0,-0.0
2000,10950.786778158827,90.33618306836422,250.63144927536246,30.95646920709923,13.673276338632729,0.0,-0.0
2001,11388.591488225436,51.93409511229364,233.34652173912994,34.43323254225441,14.661318097754139,0.0,-0.0
2002,11958.160730638023,11.989685208274565,212.35768115942042,36.84796411262045,17.040206295834523,0.0,-0.0
2003,12513.910468381648,56.00441068849996,200.01130434782627,42.02576655613369,16.439911786230017,0.0,-0.0
2004,13158.12208562686,16.311400064597983,107.62131710155414,49.63439283837694,18.053771998708054,0.0,-0.0
2005,13907.81975234278,51.99285134543954,157.0822387319343,53.44208234447494,18.500142973091226,0.0,-0.0
2006,14711.801215554158,-14.005927260877602,176.41560344133475,59.47211927065755,20.66011854521757,0.0,-0.0
2007,15487.216056217205,20.03731807974275,168.05827106078718,65.83451161277559,20.63925363840516,0.0,-0.0
2008,16133.737996049731,113.94602385550411,146.24731599221013,70.44658241846598,18.021079522889934,0.0,-0.0
2009,16985.363990379457,-12.340972263289178,111.7458157261806,75.20825298468127,21.7268194452658,0.0,-0.0
2010,17888.90844462632,-49.22534240298754,177.1880788889295,82.5785148428357,22.244506848059768,0.0,-0.0
2011,18774.830781987894,-22.93343794139914,153.05568572272742,84.37938375620266,23.358668758828003,0.0,-0.0
2012,19745.411302206332,25.625741543800714,135.75913042005885,87.5731051027821,24.627485169124007,0.0,-0.0
2013,20650.871211212696,85.58037030167137,111.84224253654843,92.08682460083021,23.068392593966593,0.0,-0.0
2014,21665.19629715877,97.67745432257968,198.20983088092748,86.64908894929387,24.82645091354843,0.0,-0.0
2015,22576.61453182507,26.896394589930544,92.30014117671733,94.31313422815266,24.42207210820141,0.0,-0.0
2016,23647.715703261198,-15.136518949198695,81.05472391863302,104.56720036136824,25.642730378983998,0.0,-0.0
