year,pldhiv,duplicates,deaths,emigrants,diag_departs,inter_departs,inter_arrivals
1980,2.0,0.0,0.0,0.0,0.0,0.0,0.0
1981,2.9134076465594094,0.0,1.2617235772789979,0.009603106461319101,0.040000000000000036,0.0,-0.0
1982,3.602080962819093,0.0,0.0,0.013251506914022819,0.08000000000000007,0.0,-0.0
1983,23.508829455905072,0.0,3.8620390237769815,0.09742477427214204,0.8000000000000007,0.0,-0.0
1984,550.0354277325094,8.713937925346496,22.000802665630847,1.9363754905517292,21.251442482986157,0.0,-0.0
1985,2488.7164947332244,111.13031236011629,92.5152927843097,7.196874324060386,79.35478750559543,0.0,-0.0
1986,4050.2656728073775,199.3838673118808,194.80172489509442,11.669905663393616,69.62464530752483,0.0,-0.0
1987,5484.644401558456,708.5249953829091,257.98920966107687,16.900329231298745,68.4190001846837,0.0,-0.0
1988,6640.180510989969,315.1553514914272,304.6820962436021,20.0171508955228,59.95378594034297,0.0,-0.0
1989,7803.4751352791845,239.05234263131638,524.7408483157001,28.299952211732574,61.9179062947474,0.0,-0.0
1990,8582.922037931305,165.5943905256997,673.8794703866005,37.51558563399708,55.77622437897206,0.0,-0.0
1991,9072.775725157668,234.97503237406787,751.729308409181,38.547594988390586,50.28099870503733,0.0,-0.0
1992,9430.881934664907,58.33588839015317,806.1410858247696,37.333090128359956,47.946564464393916,0.0,-0.0
1993,9569.467404823094,65.99378942429018,911.3139508869532,37.42780662570316,41.20024842302843,0.0,-0.0
1994,9482.068084598634,146.45731428877494,981.6909731669954,35.35712996066829,36.10170742844903,0.0,-0.0
1995,9339.860326083008,40.05794795951458,863.2874366626073,35.452902028042374,36.43768208161945,0.0,-0.0
1996,9292.156893468282,35.52541184245663,697.4733621524953,35.64156958313213,35.498983526301764,0.0,-0.0
1997,9262.345117977957,96.19786022839604,364.67204875301223,37.43543027288857,29.552085590864184,0.0,-0.0
1998,9513.8066213413,88.87893201989188,266.28369373919145,42.01890803061059,27.324842719204348,0.0,-0.0
1999,9898.239163994893,4.940012857401357,243.9251281916773,49.421308565558775,28.802399485703972,0.0,-0.0
2000,10259.754144683588,90.33618306836422,252.6008808613039,58.006017227139495,27.346552677265457,0.0,-0.0
2001,10654.866598805585,51.93409511229364,235.22594669758482,64.42965307565704,29.322636195508277,0.0,-0.0
2002,11177.898677628562,11.989685208274565,214.15836900319775,68.88731780841167,34.080412591669045,0.0,-0.0
2003,11682.768167536784,56.00441068849996,201.6800949999309,78.46904274708704,32.87982357246003,0.0,-0.0
2004,12272.427806152707,16.311400064597983,159.5509878300226,92.58684466479997,36.10754399741611,0.0,-0.0
2005,12909.18957831503,51.99285134543954,216.29277336934197,99.20950727428524,37.00028594618245,0.0,-0.0
2006,13589.6929389861,-14.005927260877602,238.20420053381085,109.87204455488553,41.32023709043514,0.0,-0.0
2007,14232.259138727226,20.03731807974275,229.13374961172028,120.99964592002067,41.27850727681032,0.0,-0.0
2008,14741.90121206317,113.94602385550411,205.41576872031277,128.7384930875619,36.04215904577987,0.0,-0.0
2009,15458.045763472806,-12.340972263289178,168.70585493774894,136.89110425735063,43.4536388905316,0.0,-0.0
2010,16221.22050779016,-49.22534240298754,240.3401070535377,149.760316859785,44.489013696119535,0.0,-0.0
2011,16954.56450812212,-22.93343794139914,214.72029635790003,152.39718766707895,46.717337517656006,0.0,-0.0
2012,17772.10394503568,25.625741543800714,196.83222756706164,157.64253302763788,49.254970338248015,0.0,-0.0
2013,18521.793843801064,85.58037030167137,172.47246438491916,165.1855908200868,46.136785187933185,0.0,-0.0
2014,19379.321549085544,97.67745432257968,269.9312377613964,155.0136480327109,49.65290182709686,0.0,-0.0
2015,20125.82736687441,26.896394589930544,156.43927609865625,168.15008780248786,48.84414421640282,0.0,-0.0
2016,21034.53037770606,-15.136518949198695,147.9108312676726,186.02405239585562,51.285460757967996,0.0,-0.0
