"year","male < 15 yrs","male 15-19 yrs","male 20-24 yrs","male 25-29 yrs","male 30-34 yrs","male > 34 yrs","male all","female < 15 yrs","female 15-19 yrs","female 20-24 yrs","female 25-29 yrs","female 30-34 yrs","female > 34 yrs","female all"
2010,109,5502,11275,6674,3082,5345,32013,647,15111,16440,6711,2660,2832,44442
2011,111,5674,12530,7253,3280,5543,34432,657,16715,18035,7370,2921,3002,48761
2012,113,5592,12650,7651,3807,6176,36022,692,16054,18631,7564,3136,3181,49324
2013,89,5301,12459,8222,3907,6340,36325,654,15155,18777,8158,3338,3450,49547
2014,77,5112,12855,8672,4334,6865,37916,624,14523,19581,8865,3675,3650,50923
2015,62,4617,12579,8927,4819,7522,38533,457,13287,18850,9284,4111,3920,49921
2016,74,4785,13478,10625,5999,9431,44400,443,13201,19777,9925,4387,4508,52255
2017,59,4884,14580,11838,7073,11127,49569,403,13156,20263,10526,4611,4741,53711
2018,67,4762,14888,12324,7587,12120,51754,404,12984,20518,10910,4894,5364,55081
2019,84,4536,14359,12354,7835,13139,52320,373,12119,20156,10790,5157,5614,54219
