"year","male15_29_low","male15_29_high","female15_29_low","female15_29_high"
2001,61863,64321,53513,55853
2002,74751,77054,62364,64131
2003,87574,90441,71970,74221
2004,101029,103965,81221,83571
2005,112303,115714,87404,89821
2006,121275,124816,90027,92526
2007,131184,134872,92544,95387
2008,142056,146525,95029,98640
2009,153940,159474,100544,104514
2010,164722,170221,105418,109732
2011,164846,170272,107099,110778
2012,162102,166520,104631,107893
2013,159145,163200,101261,104532
2014,154837,159947,99052,102155
2015,153766,158267,98054,101136
2016,155750,160139,97741,100344
2017,160689,165374,97947,100850
2018,159306,164864,98612,101376
2019,154814,163142,95353,100241
