"region","context","sex","year","diagnoses","period","retested","prop_retested","prop_lower","prop_upper"
"regional","shc","all","2016",325,"42-120",76,0.233846153846154,0.1896841898382,0.28443262413005
"regional","shc","females","2016",116,"42-120",32,0.275862068965517,0.198909718083367,0.367929918378353
"regional","shc","males","2016",209,"42-120",44,0.210526315789474,0.15860762752936,0.273340271911586
"remote","shc","all","2016",7,"42-120",1,0.142857142857143,0.00750281623486836,0.579921656849474
"remote","shc","females","2016",5,"42-120",0,0,0,0.537056017467523
"remote","shc","males","2016",2,"42-120",1,0.5,0.0945312057342307,0.905468794265769
"urban","shc","all","2016",1860,"42-120",527,0.283333333333333,0.263055186590528,0.304516307937811
"urban","shc","females","2016",600,"42-120",148,0.246666666666667,0.213069029217674,0.283565107018404
"urban","shc","males","2016",1260,"42-120",379,0.300793650793651,0.275722161034813,0.327095063054861
"regional","shc","all","2016",325,"42-180",91,0.28,0.232533401947734,0.332767408475485
"regional","shc","females","2016",116,"42-180",35,0.301724137931034,0.221808619665005,0.394994377129355
"regional","shc","males","2016",209,"42-180",56,0.267942583732057,0.210300987398336,0.334290647937132
"remote","shc","all","2016",7,"42-180",1,0.142857142857143,0.00750281623486836,0.579921656849474
"remote","shc","females","2016",5,"42-180",0,0,0,0.537056017467523
"remote","shc","males","2016",2,"42-180",1,0.5,0.0945312057342307,0.905468794265769
"urban","shc","all","2016",1860,"42-180",667,0.358602150537634,0.336854182470539,0.380940153644348
"urban","shc","females","2016",600,"42-180",186,0.31,0.273499493545657,0.34897218784727
"urban","shc","males","2016",1260,"42-180",481,0.381746031746032,0.35492893328742,0.409292615783784
"regional","shc","all","2016",325,"7-180",108,0.332307692307692,0.281856056544523,0.386794146886461
"regional","shc","females","2016",116,"7-180",44,0.379310344827586,0.292237985305078,0.474491243703618
"regional","shc","males","2016",209,"7-180",64,0.30622009569378,0.245480713812545,0.374219279656263
"remote","shc","all","2016",7,"7-180",1,0.142857142857143,0.00750281623486836,0.579921656849474
"remote","shc","females","2016",5,"7-180",0,0,0,0.537056017467523
"remote","shc","males","2016",2,"7-180",1,0.5,0.0945312057342307,0.905468794265769
"urban","shc","all","2016",1860,"7-180",787,0.423118279569892,0.400580399741863,0.445976862871321
"urban","shc","females","2016",600,"7-180",224,0.373333333333333,0.334740846437973,0.413572034364225
"urban","shc","males","2016",1260,"7-180",563,0.446825396825397,0.419183721946562,0.474794986770019
